t,S,E,I,R
0,19980,0,20,0
1,19966,14,18,2
2,19951,27,18,4
3,19934,39,23,4
4,19903,57,36,4
5,19876,68,49,7
6,19821,99,64,16
7,19778,113,81,28
8,19705,162,96,37
9,19621,191,138,50
10,19508,249,169,74
11,19343,335,229,93
12,19163,412,296,129
13,18904,549,383,164
14,18598,702,487,213
15,18184,923,629,264
16,17680,1170,807,343
17,17081,1423,1041,455
18,16282,1831,1279,608
19,15381,2237,1611,771
20,14321,2696,2005,978
21,13126,3111,2489,1274
22,11813,3568,3030,1589
23,10361,4019,3632,1988
24,8908,4344,4261,2487
25,7385,4586,5006,3023
26,6050,4619,5629,3702
27,4776,4621,6155,4448
28,3707,4356,6683,5254
29,2861,3967,7043,6129
30,2171,3580,7192,7057
31,1680,3042,7216,8062
32,1291,2546,7162,9001
33,989,2171,6902,9938
34,786,1765,6629,10820
35,647,1422,6263,11668
36,573,1161,5780,12486
37,500,948,5364,13188
38,441,791,4893,13875
39,412,625,4470,14493
40,407,497,4079,15017
41,402,407,3665,15526
42,392,341,3322,15945
43,406,272,2998,16324
44,415,231,2681,16673
45,438,198,2358,17006
46,456,179,2128,17237
47,482,146,1881,17491
48,503,147,1678,17672
49,524,136,1471,17869
50,561,128,1299,18012
51,602,118,1156,18124
52,646,115,1015,18224
53,705,110,895,18290
54,740,100,789,18371
55,783,87,720,18410
56,822,72,646,18460
57,866,64,589,18481
58,920,59,530,18491
59,966,59,482,18493
60,1034,56,430,18480
61,1098,64,375,18463
62,1143,61,352,18444
63,1200,60,320,18420
64,1242,63,296,18399
65,1300,47,281,18372
66,1358,45,252,18345
67,1431,38,233,18298
68,1480,36,207,18277
69,1540,33,190,18237
70,1591,34,167,18208
71,1635,34,156,18175
72,1688,31,136,18145
73,1740,26,130,18104
74,1791,20,126,18063
75,1843,28,114,18015
76,1910,32,102,17956
77,1958,27,103,17912
78,2005,29,99,17867
79,2058,25,99,17818
80,2102,29,91,17778
81,2157,35,86,17722
82,2192,33,84,17691
83,2246,35,73,17646
84,2292,38,65,17605
85,2337,30,67,17566
86,2389,29,62,17520
87,2437,29,60,17474
88,2474,26,60,17440
89,2542,23,60,17375
90,2592,21,59,17328
91,2636,22,55,17287
92,2680,24,51,17245
93,2730,21,49,17200
94,2782,23,46,17149
95,2829,21,45,17105
96,2884,23,42,17051
97,2951,20,41,16988
98,3000,20,38,16942
99,3047,16,41,16896
100,3096,21,41,16842
101,3148,18,44,16790
102,3183,19,42,16756
103,3233,15,48,16704
104,3286,16,43,16655
105,3332,14,43,16611
106,3393,15,43,16549
107,3445,19,37,16499
108,3481,17,32,16470
109,3519,22,29,16430
110,3572,24,30,16374
111,3613,24,32,16331
112,3666,18,39,16277
113,3711,16,40,16233
114,3756,16,37,16191
115,3809,14,33,16144
116,3839,21,35,16105
117,3877,21,37,16065
118,3922,14,40,16024
119,3954,20,36,15990
120,3996,20,36,15948
121,4041,23,40,15896
122,4085,17,37,15861
123,4125,23,31,15821
124,4183,19,37,15761
125,4235,21,37,15707
126,4281,21,41,15657
127,4323,24,41,15612
128,4364,25,42,15569
129,4408,19,47,15526
130,4443,22,43,15492
131,4482,26,43,15449
132,4537,25,47,15391
133,4569,29,43,15359
134,4597,28,50,15325
135,4635,35,48,15282
136,4672,32,56,15240
137,4696,30,63,15211
138,4740,33,64,15163
139,4763,39,66,15132
140,4790,46,61,15103
141,4822,52,67,15059
142,4855,46,69,15030
143,4881,48,67,15004
144,4913,34,77,14976
145,4951,34,80,14935
146,4974,36,78,14912
147,5004,40,86,14870
148,5033,41,86,14840
149,5063,46,89,14802
150,5095,45,90,14770
151,5136,47,83,14734
152,5166,55,85,14694
153,5189,55,87,14669
154,5220,48,94,14638
155,5247,52,90,14611
156,5289,47,96,14568
157,5301,57,90,14552
158,5336,53,95,14516
159,5359,58,94,14489
160,5390,56,102,14452
161,5407,57,109,14427
162,5425,59,103,14413
163,5444,60,112,14384
164,5461,79,117,14343
165,5469,93,125,14313
166,5488,87,140,14285
167,5492,96,139,14273
168,5524,92,154,14230
169,5537,98,166,14199
170,5548,102,173,14177
171,5576,104,184,14136
172,5585,114,192,14109
173,5579,131,196,14094
174,5563,135,215,14087
175,5560,137,224,14079
176,5552,156,228,14064
177,5541,160,238,14061
178,5525,167,247,14061
179,5523,170,249,14058
180,5515,168,254,14063
181,5517,181,250,14052
182,5494,187,269,14050
183,5476,186,306,14032
184,5476,196,313,14015
185,5437,226,325,14012
186,5391,243,361,14005
187,5365,252,384,13999
188,5314,277,403,14006
189,5259,284,431,14026
190,5220,292,448,14040
191,5166,317,457,14060
192,5107,311,501,14081
193,5080,302,518,14100
194,5049,302,533,14116
195,4981,333,540,14146
196,4941,334,567,14158
197,4866,350,589,14195
198,4814,356,595,14235
199,4773,349,618,14260
200,4729,339,637,14295
201,4651,357,647,14345
202,4602,346,677,14375
203,4533,353,700,14414
204,4491,354,708,14447
205,4421,377,715,14487
206,4352,393,723,14532
207,4292,414,721,14573
208,4240,421,746,14593
209,4171,424,779,14626
210,4104,433,782,14681
211,4047,437,799,14717
212,3966,446,821,14767
213,3871,469,832,14828
214,3792,473,842,14893
215,3727,471,847,14955
216,3666,452,878,15004
217,3625,426,898,15051
218,3578,409,912,15101
219,3522,413,907,15158
220,3469,404,914,15213
221,3409,431,910,15250
222,3357,426,932,15285
223,3284,454,911,15351
224,3237,418,936,15409
225,3195,400,952,15453
226,3142,401,913,15544
227,3099,368,894,15639
228,3083,349,864,15704
229,3082,340,836,15742
230,3040,321,818,15821
231,3041,318,794,15847
232,3024,308,784,15884
233,3012,304,769,15915
234,3020,299,765,15916
235,2993,317,733,15957
236,2995,287,716,16002
237,2988,296,692,16024
238,2982,294,659,16065
239,2972,287,678,16063
240,2966,286,678,16070
241,2964,290,654,16092
242,2981,271,658,16090
243,3000,255,632,16113
244,3022,244,615,16119
245,3042,246,592,16120
246,3053,246,582,16119
247,3065,245,570,16120
248,3078,244,546,16132
249,3111,230,548,16111
250,3132,228,531,16109
251,3154,230,521,16095
252,3186,233,506,16075
253,3198,235,505,16062
254,3254,224,507,16015
255,3266,241,491,16002
256,3299,231,488,15982
257,3323,228,493,15956
258,3347,229,479,15945
259,3358,229,475,15938
260,3371,220,472,15937
261,3404,224,443,15929
262,3420,237,432,15911
263,3475,229,441,15855
264,3502,223,449,15826
265,3518,226,445,15811
266,3541,225,468,15766
267,3560,208,473,15759
268,3563,215,465,15757
269,3612,217,471,15700
270,3607,226,474,15693
271,3635,201,484,15680
272,3665,184,471,15680
273,3701,188,458,15653
274,3716,190,464,15630
275,3740,191,454,15615
276,3764,200,442,15594
277,3791,212,434,15563
278,3813,197,435,15555
279,3825,199,447,15529
280,3834,213,438,15515
281,3865,208,447,15480
282,3871,230,448,15451
283,3883,224,465,15428
284,3914,230,455,15401
285,3906,231,462,15401
286,3926,229,461,15384
287,3937,226,467,15370
288,3942,238,452,15368
289,3947,226,471,15356
290,3983,241,473,15303
291,3998,245,479,15278
292,3976,259,489,15276
293,4006,239,497,15258
294,4015,253,485,15247
295,4022,260,488,15230
296,4039,263,492,15206
297,4038,287,509,15166
298,4056,279,517,15148
299,4055,269,534,15142
300,4041,287,552,15120
301,4054,291,537,15118
302,4069,272,558,15101
303,4053,282,583,15082
304,4052,304,589,15055
305,4067,307,601,15025
306,4052,307,607,15034
307,4078,288,612,15022
308,4075,285,605,15035
309,4090,286,602,15022
310,4098,285,606,15011
311,4092,290,599,15019
312,4085,305,588,15022
313,4075,315,586,15024
314,4052,325,611,15012
315,4049,322,626,15003
316,4038,334,646,14982
317,4011,325,654,15010
318,3998,326,657,15019
319,3981,328,668,15023
320,3944,348,683,15025
321,3944,344,698,15014
322,3923,345,696,15036
323,3929,334,696,15041
324,3923,334,695,15048
325,3906,357,679,15058
326,3922,340,683,15055
327,3916,355,684,15045
328,3869,366,715,15050
329,3859,365,718,15058
330,3854,390,704,15052
331,3858,377,724,15041
332,3842,364,738,15056
333,3808,359,740,15093
334,3772,377,730,15121
335,3763,371,738,15128
336,3762,358,740,15140
337,3746,375,731,15148
338,3748,363,731,15158
339,3733,366,739,15162
340,3716,363,753,15168
341,3703,375,730,15192
342,3722,347,740,15191
343,3719,355,726,15200
344,3729,344,705,15222
345,3739,344,693,15224
346,3747,325,694,15234
347,3741,336,696,15227
348,3745,328,697,15230
349,3725,334,706,15235
350,3734,324,691,15251
351,3751,324,671,15254
352,3746,308,701,15245
353,3761,290,689,15260
354,3741,326,666,15267
355,3750,310,675,15265
356,3730,337,690,15243
357,3721,346,709,15224
358,3711,355,713,15221
359,3695,363,719,15223
360,3701,366,693,15240
361,3672,388,681,15259
362,3671,368,696,15265
363,3672,350,718,15260
364,3677,358,730,15235
365,3644,367,735,15254
366,3645,369,750,15236
367,3609,377,750,15264
368,3599,375,757,15269
369,3597,347,763,15293
370,3581,368,727,15324
371,3557,386,726,15331
372,3542,383,728,15347
373,3542,360,763,15335
374,3526,367,740,15367
375,3538,362,754,15346
376,3550,354,745,15351
377,3559,338,769,15334
378,3557,329,744,15370
379,3566,334,729,15371
380,3560,347,703,15390
381,3565,349,698,15388
382,3571,335,710,15384
383,3567,337,709,15387
384,3553,346,716,15385
385,3536,382,685,15397
386,3548,354,707,15391
387,3563,336,723,15378
388,3557,348,703,15392
389,3573,327,688,15412
390,3578,337,683,15402
391,3582,328,702,15388
392,3577,336,711,15376
393,3585,340,693,15382
394,3565,332,709,15394
395,3567,352,700,15381
396,3560,360,705,15375
397,3580,350,714,15356
398,3577,338,723,15362
399,3581,350,701,15368
400,3595,322,704,15379
401,3571,340,702,15387
402,3592,316,722,15370
403,3586,318,709,15387
404,3578,326,709,15387
405,3599,328,709,15364
406,3577,311,701,15411
407,3582,318,688,15412
408,3613,306,701,15380
409,3651,283,721,15345
410,3645,293,712,15350
411,3658,307,694,15341
