t,S,E,I,R
0,19980,0,20,0
1,19972,8,17,3
2,19960,20,13,7
3,19948,27,14,11
4,19933,32,22,13
5,19917,42,25,16
6,19894,51,37,18
7,19855,78,46,21
8,19811,108,52,29
9,19762,130,72,36
10,19719,137,98,46
11,19635,184,117,64
12,19517,254,155,74
13,19375,328,198,99
14,19224,388,268,120
15,18995,501,352,152
16,18690,677,430,203
17,18341,832,568,259
18,17879,1048,742,331
19,17319,1308,937,436
20,16615,1650,1207,528
21,15769,2039,1546,646
22,14696,2542,1893,869
23,13538,2986,2373,1103
24,12190,3504,2874,1432
25,10747,3914,3542,1797
26,9334,4245,4141,2280
27,7915,4476,4752,2857
28,6506,4606,5415,3473
29,5187,4574,6029,4210
30,4051,4425,6523,5001
31,3096,4109,6925,5870
32,2354,3759,7086,6801
33,1796,3264,7152,7788
34,1396,2744,7147,8713
35,1122,2278,6949,9651
36,898,1871,6658,10573
37,744,1540,6267,11449
38,612,1268,5898,12222
39,520,1023,5480,12977
40,476,822,5039,13663
41,421,653,4639,14287
42,404,531,4209,14856
43,396,438,3828,15338
44,402,364,3409,15825
45,422,307,3029,16242
46,428,263,2706,16603
47,446,213,2425,16916
48,463,181,2147,17209
49,489,156,1908,17447
50,513,138,1689,17660
51,524,134,1507,17835
52,548,127,1310,18015
53,588,116,1173,18123
54,639,109,1024,18228
55,670,84,935,18311
56,706,81,837,18376
57,771,73,731,18425
58,820,73,635,18472
59,861,68,573,18498
60,914,66,524,18496
61,952,54,473,18521
62,1005,54,429,18512
63,1054,50,392,18504
64,1100,61,353,18486
65,1161,54,315,18470
66,1219,54,281,18446
67,1273,44,253,18430
68,1331,32,226,18411
69,1383,30,202,18385
70,1441,35,178,18346
71,1502,32,155,18311
72,1562,33,137,18268
73,1619,31,126,18224
74,1667,32,118,18183
75,1728,27,116,18129
76,1807,17,112,18064
77,1871,20,99,18010
78,1916,18,94,17972
79,1967,23,80,17930
80,2033,20,74,17873
81,2095,21,76,17808
82,2143,16,72,17769
83,2201,16,65,17718
84,2260,22,61,17657
85,2314,20,50,17616
86,2369,19,47,17565
87,2431,17,44,17508
88,2489,12,43,17456
89,2539,12,34,17415
90,2583,13,30,17374
91,2635,14,27,17324
92,2693,13,25,17269
93,2747,14,24,17215
94,2804,12,26,17158
95,2850,8,30,17112
96,2892,8,31,17069
97,2955,10,30,17005
98,3008,10,29,16953
99,3063,12,28,16897
100,3123,11,25,16841
101,3167,9,27,16797
102,3224,6,27,16743
103,3269,9,24,16698
104,3315,11,22,16652
105,3367,12,19,16602
106,3405,17,14,16564
107,3446,17,16,16521
108,3506,13,23,16458
109,3553,11,23,16413
110,3596,13,23,16368
111,3659,10,27,16304
112,3708,9,27,16256
113,3758,13,24,16205
114,3805,12,21,16162
115,3856,7,25,16112
116,3902,10,20,16068
117,3961,8,20,16011
118,4014,9,16,15961
119,4054,8,16,15922
120,4099,4,19,15878
121,4138,9,17,15836
122,4180,12,17,15791
123,4239,10,19,15732
124,4288,12,20,15680
125,4324,13,19,15644
126,4367,14,18,15601
127,4409,13,17,15561
128,4457,14,19,15510
129,4494,15,21,15470
130,4537,15,23,15425
131,4573,18,20,15389
132,4609,17,22,15352
133,4654,20,20,15306
134,4692,12,20,15276
135,4736,8,23,15233
136,4774,11,22,15193
137,4816,12,18,15154
138,4850,15,18,15117
139,4899,11,21,15069
140,4942,9,21,15028
141,4971,12,20,14997
142,5006,11,23,14960
143,5051,12,23,14914
144,5086,18,20,14876
145,5117,21,25,14837
146,5145,21,24,14810
147,5186,20,26,14768
148,5236,15,29,14720
149,5277,12,30,14681
150,5318,17,29,14636
151,5364,16,30,14590
152,5405,22,25,14548
153,5442,20,29,14509
154,5466,19,35,14480
155,5497,22,34,14447
156,5525,17,38,14420
157,5550,23,37,14390
158,5577,22,43,14358
159,5607,23,37,14333
160,5633,30,39,14298
161,5665,26,41,14268
162,5699,32,40,14229
163,5721,28,53,14198
164,5752,23,52,14173
165,5779,26,51,14144
166,5813,31,50,14106
167,5853,33,53,14061
168,5879,42,55,14024
169,5900,43,62,13995
170,5930,43,71,13956
171,5958,51,78,13913
172,5968,55,88,13889
173,6005,57,94,13844
174,6014,71,90,13825
175,6017,79,103,13801
176,6043,77,105,13775
177,6069,80,112,13739
178,6085,83,117,13715
179,6089,92,128,13691
180,6096,93,135,13676
181,6092,105,144,13659
182,6094,105,167,13634
183,6095,114,176,13615
184,6113,115,186,13586
185,6123,118,188,13571
186,6110,128,199,13563
187,6079,158,209,13554
188,6075,164,216,13545
189,6068,168,232,13532
190,6048,183,249,13520
191,6020,191,269,13520
192,6009,203,288,13500
193,5988,202,316,13494
194,5954,217,318,13511
195,5927,214,348,13511
196,5891,237,364,13508
197,5867,241,374,13518
198,5835,246,404,13515
199,5792,266,424,13518
200,5746,293,441,13520
201,5680,330,453,13537
202,5609,343,498,13550
203,5560,350,517,13573
204,5500,350,546,13604
205,5447,347,580,13626
206,5365,362,604,13669
207,5287,382,620,13711
208,5227,403,651,13719
209,5136,438,661,13765
210,5048,450,683,13819
211,4945,452,732,13871
212,4851,443,776,13930
213,4759,453,801,13987
214,4656,486,807,14051
215,4549,483,856,14112
216,4479,489,892,14140
217,4364,511,918,14207
218,4272,531,931,14266
219,4163,551,920,14366
220,4055,544,971,14430
221,3941,544,1008,14507
222,3844,535,1028,14593
223,3734,555,1035,14676
224,3655,557,1037,14751
225,3557,557,1066,14820
226,3477,558,1084,14881
227,3415,530,1099,14956
228,3321,523,1089,15067
229,3239,519,1096,15146
230,3167,510,1071,15252
231,3102,512,1047,15339
232,3066,479,1058,15397
233,3021,461,1059,15459
234,2979,437,1043,15541
235,2909,444,1015,15632
236,2863,419,1018,15700
237,2818,411,1006,15765
238,2794,376,983,15847
239,2742,375,949,15934
240,2713,369,916,16002
241,2696,357,905,16042
242,2672,364,865,16099
243,2668,351,829,16152
244,2643,328,834,16195
245,2634,321,822,16223
246,2644,284,815,16257
247,2640,275,800,16285
248,2650,286,760,16304
249,2636,284,737,16343
250,2640,272,724,16364
251,2631,268,712,16389
252,2624,271,684,16421
253,2634,266,669,16431
254,2659,249,651,16441
255,2684,226,654,16436
256,2679,226,637,16458
257,2692,240,616,16452
258,2715,209,602,16474
259,2707,223,574,16496
260,2732,218,544,16506
261,2757,207,538,16498
262,2792,207,528,16473
263,2810,201,514,16475
264,2851,206,484,16459
265,2904,204,472,16420
266,2948,200,471,16381
267,2982,190,473,16355
268,3038,190,441,16331
269,3067,173,454,16306
270,3093,174,450,16283
271,3134,174,434,16258
272,3156,172,423,16249
273,3175,166,440,16219
274,3211,168,426,16195
275,3243,186,424,16147
276,3291,174,423,16112
277,3326,171,419,16084
278,3361,176,400,16063
279,3410,177,400,16013
280,3424,175,413,15988
281,3432,190,401,15977
282,3479,194,403,15924
283,3509,194,394,15903
284,3545,203,378,15874
285,3596,181,407,15816
286,3641,187,391,15781
287,3666,194,379,15761
288,3695,191,374,15740
289,3717,197,384,15702
290,3738,208,390,15664
291,3778,197,394,15631
292,3807,193,393,15607
293,3823,214,382,15581
294,3844,209,393,15554
295,3852,214,403,15531
296,3876,234,401,15489
297,3898,243,418,15441
298,3932,245,419,15404
299,3961,237,429,15373
300,3977,223,441,15359
301,3990,222,453,15335
302,4002,239,470,15289
303,4038,222,483,15257
304,4062,225,478,15235
305,4073,234,475,15218
306,4092,243,475,15190
307,4111,246,478,15165
308,4123,245,486,15146
309,4136,264,479,15121
310,4136,275,500,15089
311,4132,261,519,15088
312,4147,274,522,15057
313,4170,262,538,15030
314,4205,274,529,14992
315,4202,287,542,14969
316,4202,290,565,14943
317,4223,299,561,14917
318,4237,293,603,14867
319,4223,316,598,14863
320,4198,313,629,14860
321,4211,294,650,14845
322,4171,324,659,14846
323,4140,332,647,14881
324,4107,350,653,14890
325,4093,370,665,14872
326,4068,362,684,14886
327,4053,377,675,14895
328,4024,381,698,14897
329,4002,370,716,14912
330,3975,378,723,14924
331,3970,366,742,14922
332,3947,402,707,14944
333,3943,409,723,14925
334,3910,411,720,14959
335,3913,403,732,14952
336,3856,404,760,14980
337,3860,389,779,14972
338,3817,400,773,15010
339,3780,397,783,15040
340,3765,385,804,15046
341,3734,400,808,15058
342,3732,404,820,15044
343,3681,415,837,15067
344,3655,422,831,15092
345,3616,435,841,15108
346,3590,450,839,15121
347,3534,453,876,15137
348,3538,436,875,15151
349,3506,438,895,15161
350,3469,448,881,15202
351,3436,443,903,15218
352,3395,439,905,15261
353,3346,455,896,15303
354,3304,445,906,15345
355,3282,433,912,15373
356,3265,421,913,15401
357,3243,419,902,15436
358,3223,383,920,15474
359,3211,370,899,15520
360,3193,366,882,15559
361,3200,357,881,15562
362,3179,358,872,15591
363,3169,381,848,15602
364,3181,371,836,15612
365,3193,366,822,15619
366,3195,361,823,15621
367,3173,367,812,15648
368,3167,361,815,15657
369,3191,334,815,15660
370,3180,349,789,15682
371,3185,333,776,15706
372,3166,346,771,15717
373,3166,350,768,15716
374,3158,357,753,15732
375,3192,333,748,15727
376,3221,326,728,15725
377,3227,323,719,15731
378,3250,311,699,15740
379,3275,298,703,15724
380,3322,291,696,15691
381,3346,285,676,15693
382,3341,301,646,15712
383,3343,309,647,15701
384,3337,319,652,15692
385,3354,309,671,15666
386,3362,303,669,15666
387,3376,302,652,15670
388,3404,281,652,15663
389,3433,274,647,15646
390,3464,287,643,15606
391,3483,302,619,15596
392,3540,305,614,15541
393,3566,313,594,15527
394,3599,293,616,15492
395,3631,290,606,15473
396,3628,317,592,15463
397,3666,313,603,15418
398,3687,314,589,15410
399,3701,323,571,15405
400,3725,298,589,15388
401,3777,282,583,15358
402,3810,280,583,15327
403,3833,283,581,15303
404,3847,300,574,15279
405,3841,309,591,15259
406,3833,321,597,15249
407,3833,319,610,15238
408,3855,302,632,15211
409,3862,294,635,15209
410,3861,300,625,15214
411,3881,304,626,15189
412,3926,306,632,15136
413,3928,317,626,15129
414,3935,311,615,15139
415,3951,329,604,15116
416,3973,324,607,15096
417,3977,314,616,15093
418,3987,304,616,15093
419,3983,320,629,15068
420,3961,325,646,15068
421,3941,340,655,15064
422,3933,346,670,15051
423,3907,355,674,15064
424,3912,355,665,15068
425,3911,365,672,15052
426,3910,361,692,15037
427,3886,377,688,15049
428,3847,373,704,15076
429,3864,351,721,15064
430,3841,343,725,15091
431,3799,367,712,15122
432,3776,373,713,15138
433,3767,368,729,15136
434,3765,370,733,15132
435,3764,363,736,15137
436,3747,364,727,15162
437,3750,358,751,15141
438,3745,356,743,15156
439,3732,369,734,15165
440,3723,370,743,15164
441,3716,365,751,15168
442,3696,360,749,15195
443,3689,360,758,15193
444,3668,358,780,15194
445,3643,378,766,15213
446,3646,390,748,15216
447,3613,395,730,15262
448,3626,354,767,15253
449,3608,337,763,15292
450,3631,337,755,15277
451,3634,336,748,15282
452,3634,349,727,15290
453,3634,359,729,15278
454,3630,349,741,15280
455,3617,361,741,15281
456,3600,359,735,15306
457,3586,356,739,15319
458,3569,365,743,15323
459,3566,365,776,15293
460,3533,366,764,15337
461,3514,363,762,15361
462,3489,378,766,15367
463,3472,363,789,15376
464,3465,354,795,15386
465,3440,356,791,15413
466,3445,344,782,15429
467,3442,359,747,15452
468,3412,372,748,15468
469,3417,351,744,15488
470,3424,356,730,15490
471,3417,341,729,15513
472,3453,327,706,15514
473,3424,320,710,15546
474,3439,322,713,15526
475,3440,320,701,15539
476,3451,308,709,15532
477,3487,300,703,15510
478,3481,300,703,15516
479,3483,284,710,15523
480,3487,279,721,15513
481,3499,294,692,15515
482,3511,296,682,15511
483,3518,301,666,15515
484,3498,328,655,15519
485,3507,333,661,15499
486,3525,324,646,15505
487,3537,321,633,15509
488,3536,320,652,15492
489,3568,291,663,15478
490,3576,298,641,15485
491,3567,307,635,15491
492,3565,293,656,15486
493,3590,293,647,15470
494,3609,299,638,15454
495,3608,303,632,15457
496,3602,309,636,15453
497,3615,306,656,15423
498,3639,308,657,15396
499,3663,304,638,15395
500,3681,295,633,15391
501,3684,307,620,15389
502,3676,318,623,15383
503,3687,321,625,15367
504,3705,337,621,15337
505,3719,338,599,15344
506,3701,324,620,15355
507,3707,327,607,15359
508,3712,326,611,15351
509,3730,315,620,15335
510,3745,302,625,15328
511,3766,304,619,15311
512,3743,295,624,15338
513,3717,336,609,15338
514,3741,320,617,15322
515,3754,302,617,15327
516,3747,320,610,15323
517,3736,336,605,15323
518,3740,305,612,15343
519,3755,309,616,15320
520,3752,310,625,15313
521,3749,309,637,15305
522,3742,313,629,15316
523,3723,320,648,15309
524,3717,340,623,15320
525,3727,310,641,15322
526,3745,320,635,15300
527,3738,338,623,15301
528,3726,342,623,15309
529,3734,328,655,15283
530,3718,340,669,15273
531,3714,340,663,15283
532,3730,322,660,15288
533,3744,302,662,15292
534,3735,330,645,15290
535,3721,333,657,15289
536,3744,314,663,15279
537,3750,319,647,15284
538,3765,318,650,15267
539,3752,348,638,15262
540,3738,343,667,15252
541,3751,342,674,15233
542,3748,328,687,15237
543,3801,307,692,15200
544,3803,306,686,15205
545,3820,295,691,15194
546,3788,341,672,15199
547,3798,343,689,15170
548,3789,345,697,15169
549,3788,353,694,15165
550,3774,359,693,15174
551,3760,372,689,15179
552,3758,336,710,15196
553,3757,339,708,15196
554,3734,361,700,15205
555,3725,349,722,15204
556,3719,355,711,15215
