t,S,E,I,R
0,19980,0,20,0
1,19970,10,18,2
2,19956,21,19,4
3,19948,20,25,7
4,19923,42,25,10
5,19903,53,31,13
6,19881,62,41,16
7,19852,76,53,19
8,19800,109,63,28
9,19749,125,88,38
10,19671,169,108,52
11,19577,221,135,67
12,19453,292,169,86
13,19312,347,236,105
14,19130,434,298,138
15,18857,563,394,186
16,18534,732,492,242
17,18139,938,603,320
18,17670,1170,762,398
19,17046,1450,1008,496
20,16310,1767,1294,629
21,15441,2130,1615,814
22,14414,2561,2014,1011
23,13171,3051,2495,1283
24,11761,3607,3019,1613
25,10310,4039,3620,2031
26,8877,4309,4319,2495
27,7416,4552,4931,3101
28,6005,4659,5642,3694
29,4745,4615,6188,4452
30,3698,4362,6676,5264
31,2815,4042,6991,6152
32,2155,3561,7252,7032
33,1649,3121,7234,7996
34,1294,2636,7130,8940
35,997,2220,6901,9882
36,790,1826,6625,10759
37,665,1445,6293,11597
38,571,1137,5917,12375
39,501,946,5404,13149
40,452,780,4963,13805
41,437,645,4485,14433
42,412,507,4098,14983
43,411,418,3682,15489
44,418,344,3373,15865
45,421,280,2999,16300
46,437,232,2671,16660
47,441,207,2387,16965
48,470,186,2090,17254
49,506,166,1841,17487
50,518,168,1635,17679
51,570,129,1515,17786
52,607,109,1322,17962
53,665,97,1180,18058
54,705,94,1058,18143
55,746,90,931,18233
56,798,91,844,18267
57,847,94,750,18309
58,891,89,653,18367
59,925,81,587,18407
60,968,78,539,18415
61,1033,72,481,18414
62,1074,71,409,18446
63,1150,63,363,18424
64,1216,57,322,18405
65,1259,52,288,18401
66,1307,50,243,18400
67,1366,50,222,18362
68,1432,35,209,18324
69,1487,37,186,18290
70,1537,31,170,18262
71,1591,32,149,18228
72,1651,30,134,18185
73,1715,22,132,18131
74,1777,21,119,18083
75,1824,26,108,18042
76,1885,17,99,17999
77,1927,17,96,17960
78,1990,23,87,17900
79,2050,28,76,17846
80,2108,24,70,17798
81,2153,17,70,17760
82,2210,15,69,17706
83,2263,13,67,17657
84,2319,19,61,17601
85,2371,20,61,17548
86,2412,24,53,17511
87,2460,28,51,17461
88,2513,25,46,17416
89,2565,22,51,17362
90,2614,20,49,17317
91,2671,18,46,17265
92,2715,19,43,17223
93,2766,20,39,17175
94,2826,20,38,17116
95,2876,16,47,17061
96,2931,21,44,17004
97,2990,16,44,16950
98,3034,18,43,16905
99,3077,21,43,16859
100,3131,20,48,16801
101,3183,20,42,16755
102,3234,19,44,16703
103,3284,14,48,16654
104,3321,15,40,16624
105,3363,18,38,16581
106,3405,20,43,16532
107,3443,19,41,16497
108,3486,19,39,16456
109,3536,21,38,16405
110,3583,20,39,16358
111,3630,21,38,16311
112,3674,17,42,16267
113,3698,17,41,16244
114,3738,21,39,16202
115,3787,19,39,16155
116,3844,14,38,16104
117,3891,17,37,16055
118,3937,17,35,16011
119,3991,13,36,15960
120,4033,14,38,15915
121,4070,16,35,15879
122,4116,11,33,15840
123,4159,12,27,15802
124,4194,13,30,15763
125,4237,14,29,15720
126,4271,15,34,15680
127,4314,13,34,15639
128,4350,25,32,15593
129,4387,23,34,15556
130,4423,23,34,15520
131,4460,25,34,15481
132,4502,23,38,15437
133,4533,23,44,15400
134,4564,31,34,15371
135,4593,32,42,15333
136,4634,37,40,15289
137,4673,35,43,15249
138,4711,40,46,15203
139,4741,35,47,15177
140,4767,40,48,15145
141,4792,34,60,15114
142,4829,33,60,15078
143,4846,35,62,15057
144,4886,36,62,15016
145,4923,33,72,14972
146,4955,37,70,14938
147,4988,39,60,14913
148,5027,38,66,14869
149,5051,47,65,14837
150,5082,50,65,14803
