t,S,E,I,R
0,19980,0,20,0
1,19958,22,18,2
2,19938,36,24,2
3,19919,40,37,4
4,19891,61,41,7
5,19845,88,56,11
6,19802,113,69,16
7,19732,153,90,25
8,19641,190,134,35
9,19525,262,163,50
10,19386,336,199,79
11,19190,444,263,103
12,18951,548,363,138
13,18653,702,459,186
14,18267,911,576,246
15,17790,1120,769,321
16,17186,1408,991,415
17,16456,1713,1296,535
18,15519,2157,1616,708
19,14465,2614,2002,919
20,13278,3063,2501,1158
21,11880,3599,3038,1483
22,10483,4012,3615,1890
23,8966,4416,4209,2409
24,7583,4532,4902,2983
25,6171,4638,5554,3637
26,4884,4540,6201,4375
27,3765,4379,6653,5203
28,2885,4004,7061,6050
29,2217,3527,7294,6962
30,1652,3121,7295,7932
31,1271,2638,7210,8881
32,995,2174,7012,9819
33,779,1821,6704,10696
34,619,1503,6310,11568
35,526,1191,5908,12375
36,455,956,5466,13123
37,410,743,5079,13768
38,390,602,4612,14396
39,376,465,4216,14943
40,366,379,3734,15521
41,383,300,3352,15965
42,397,238,2994,16371
43,412,188,2649,16751
44,430,158,2364,17048
45,461,139,2062,17338
46,486,124,1827,17563
47,518,134,1576,17772
48,557,119,1408,17916
49,615,114,1252,18019
50,648,117,1109,18126
51,692,98,979,18231
52,746,91,909,18254
53,789,93,808,18310
54,830,90,737,18343
55,870,91,659,18380
56,920,75,604,18401
57,967,70,542,18421
58,1021,71,480,18428
59,1074,73,415,18438
60,1119,68,375,18438
61,1169,66,337,18428
62,1220,60,298,18422
63,1275,57,266,18402
64,1311,62,246,18381
65,1376,51,225,18348
66,1441,38,212,18309
67,1501,41,192,18266
68,1556,40,177,18227
69,1604,45,158,18193
70,1669,43,144,18144
71,1726,44,135,18095
72,1776,42,124,18058
73,1826,28,118,18028
74,1871,30,104,17995
75,1923,29,97,17951
76,1973,29,95,17903
77,2039,29,82,17850
78,2093,25,87,17795
79,2142,31,82,17745
80,2202,31,74,17693
81,2242,34,64,17660
82,2296,26,66,17612
83,2360,20,63,17557
84,2414,21,56,17509
85,2471,18,56,17455
86,2519,19,55,17407
87,2577,15,49,17359
88,2630,13,44,17313
89,2693,12,41,17254
90,2748,11,36,17205
91,2797,11,36,17156
92,2833,12,30,17125
93,2885,11,28,17076
94,2936,12,27,17025
95,2992,8,30,16970
96,3041,7,27,16925
97,3091,9,22,16878
98,3129,10,20,16841
99,3181,8,19,16792
100,3237,6,20,16737
101,3291,6,20,16683
102,3352,5,20,16623
103,3406,8,20,16566
104,3464,6,21,16509
105,3507,8,22,16463
106,3557,6,22,16415
107,3618,6,18,16358
108,3667,7,17,16309
109,3711,7,19,16263
110,3751,10,20,16219
111,3797,9,19,16175
112,3846,11,18,16125
113,3896,8,18,16078
114,3938,6,19,16037
115,3983,8,17,15992
116,4027,8,18,15947
117,4076,8,22,15894
118,4115,11,20,15854
