t,S,E,I,R
0,19980,0,20,0
1,19973,7,18,2
2,19957,22,17,4
3,19937,35,22,6
4,19921,39,32,8
5,19898,53,36,13
6,19878,60,47,15
7,19841,82,58,19
8,19795,106,74,25
9,19728,142,95,35
10,19648,180,125,47
11,19534,248,150,68
12,19408,307,196,89
13,19246,378,270,106
14,19036,483,342,139
15,18765,622,429,184
16,18423,815,518,244
17,17965,1059,666,310
18,17432,1307,864,397
19,16776,1595,1123,506
20,15940,1941,1471,648
21,14945,2389,1833,833
22,13827,2838,2252,1083
23,12517,3343,2735,1405
24,11054,3866,3314,1766
25,9580,4266,3953,2201
26,8075,4558,4661,2706
27,6708,4634,5289,3369
28,5345,4710,5872,4073
29,4235,4460,6435,4870
30,3322,4154,6792,5732
31,2569,3758,7064,6609
32,1983,3257,7228,7532
33,1521,2783,7208,8488
34,1188,2374,7009,9429
35,952,1979,6744,10325
36,759,1632,6444,11165
37,602,1331,6034,12033
38,528,1079,5668,12725
39,452,874,5222,13452
40,410,705,4778,14107
41,385,582,4296,14737
42,388,472,3903,15237
43,391,395,3503,15711
44,409,313,3201,16077
45,413,263,2899,16425
46,417,229,2599,16755
47,452,204,2309,17035
48,461,181,2075,17283
49,486,160,1828,17526
50,529,136,1602,17733
51,580,123,1402,17895
52,617,116,1247,18020
53,630,117,1102,18151
54,677,101,1000,18222
55,711,99,890,18300
56,780,76,813,18331
57,843,68,724,18365
58,898,62,655,18385
59,947,66,582,18405
60,989,69,515,18427
61,1029,72,449,18450
62,1074,61,397,18468
63,1131,68,346,18455
64,1183,58,318,18441
65,1238,52,282,18428
66,1293,49,259,18399
67,1346,40,239,18375
68,1410,39,212,18339
69,1476,39,189,18296
70,1533,34,180,18253
71,1576,33,171,18220
72,1627,33,149,18191
73,1692,30,136,18142
74,1758,28,125,18089
75,1814,27,119,18040
76,1872,31,110,17987
77,1925,34,103,17938
78,1972,36,98,17894
79,2021,31,96,17852
80,2064,30,90,17816
81,2107,32,80,17781
82,2172,20,76,17732
83,2236,18,68,17678
84,2284,23,55,17638
85,2338,18,54,17590
86,2389,16,55,17540
87,2441,20,50,17489
88,2504,17,45,17434
89,2551,14,44,17391
90,2604,12,45,17339
91,2648,11,41,17300
92,2705,9,37,17249
93,2745,13,38,17204
94,2798,14,31,17157
95,2862,11,30,17097
96,2925,12,30,17033
97,2971,13,24,16992
98,3020,10,24,16946
99,3083,12,23,16882
100,3141,12,25,16822
101,3188,11,25,16776
102,3231,10,25,16734
103,3271,8,23,16698
104,3322,10,23,16645
105,3362,10,24,16604
106,3406,12,23,16559
107,3470,8,25,16497
108,3502,7,25,16466
109,3550,6,23,16421
110,3593,4,25,16378
111,3638,4,24,16334
112,3677,6,20,16297
113,3729,8,20,16243
114,3777,9,17,16197
115,3826,7,16,16151
116,3873,7,17,16103
117,3921,10,18,16051
118,3974,10,17,15999
119,4023,11,16,15950
120,4080,7,18,15895
121,4130,7,17,15846
122,4184,8,15,15793
123,4225,9,15,15751
124,4269,11,15,15705
125,4317,9,18,15656
126,4373,10,18,15599
127,4403,10,18,15569
128,4443,6,19,15532
129,4475,7,18,15500
130,4523,9,18,15450
131,4556,6,22,15416
132,4594,7,18,15381
133,4641,8,19,15332
134,4665,13,19,15303
135,4712,15,22,15251
136,4762,10,25,15203
137,4801,15,24,15160
138,4852,16,24,15108
139,4895,22,23,15060
140,4923,17,27,15033
141,4958,18,29,14995
142,5003,21,27,14949
143,5038,22,25,14915
144,5078,20,27,14875
145,5109,25,27,14839
146,5147,31,30,14792
147,5192,26,36,14746
148,5223,29,43,14705
149,5259,33,43,14665
150,5287,29,48,14636
151,5318,37,49,14596
152,5350,36,58,14556
153,5367,41,65,14527
154,5395,35,68,14502
155,5418,38,70,14474
156,5441,50,68,14441
157,5475,47,67,14411
158,5509,45,69,14377
159,5537,49,65,14349
160,5579,43,69,14309
161,5605,44,75,14276
162,5639,50,72,14239
163,5657,55,74,14214
164,5669,52,74,14205
165,5688,53,74,14185
166,5727,54,80,14139
167,5745,62,82,14111
168,5775,60,87,14078
169,5802,61,96,14041
170,5813,64,109,14014
171,5826,82,104,13988
172,5838,92,112,13958
173,5859,80,131,13930
174,5887,88,141,13884
175,5891,111,146,13852
176,5891,122,158,13829
177,5902,117,173,13808
178,5898,130,170,13802
179,5907,126,174,13793
180,5889,138,187,13786
181,5857,167,194,13782
182,5868,161,217,13754
183,5878,155,229,13738
184,5858,157,254,13731
185,5839,177,261,13723
186,5830,177,273,13720
187,5805,197,282,13716
188,5771,226,301,13702
189,5745,225,309,13721
190,5709,241,328,13722
191,5673,244,365,13718
192,5620,258,372,13750
193,5576,260,392,13772
194,5535,274,411,13780
195,5465,298,451,13786
196,5400,312,479,13809
197,5354,321,488,13837
198,5283,364,502,13851
199,5216,381,547,13856
200,5127,403,572,13898
201,5057,414,605,13924
202,4994,399,637,13970
203,4923,406,668,14003
204,4813,452,677,14058
205,4719,474,705,14102
206,4644,474,722,14160
207,4587,445,753,14215
208,4494,442,788,14276
209,4421,440,795,14344
210,4330,452,813,14405
211,4243,460,830,14467
212,4176,434,863,14527
213,4088,455,860,14597
214,4015,425,910,14650
215,3917,468,898,14717
216,3866,463,910,14761
217,3797,461,909,14833
218,3720,444,941,14895
219,3629,468,935,14968
220,3562,462,937,15039
221,3497,460,956,15087
222,3431,466,947,15156
223,3371,432,964,15233
224,3311,432,971,15286
225,3278,390,987,15345
226,3223,402,945,15430
227,3158,406,936,15500
228,3127,393,941,15539
229,3104,386,916,15594
230,3066,384,899,15651
231,3030,387,882,15701
232,3005,396,859,15740
233,2981,379,859,15781
234,2959,364,839,15838
235,2957,355,824,15864
236,2931,340,814,15915
237,2934,337,785,15944
238,2915,336,768,15981
239,2895,328,771,16006
240,2886,322,744,16048
241,2879,322,714,16085
242,2869,300,719,16112
243,2879,290,710,16121
244,2880,286,693,16141
245,2862,281,670,16187
246,2866,274,663,16197
247,2882,259,639,16220
248,2901,233,652,16214
249,2915,231,640,16214
250,2933,220,600,16247
251,2932,227,585,16256
252,2949,221,559,16271
253,2968,226,522,16284
254,2996,220,521,16263
255,3041,213,509,16237
256,3037,226,485,16252
257,3067,218,463,16252
258,3094,224,453,16229
259,3141,215,461,16183
260,3179,199,450,16172
261,3217,191,431,16161
262,3246,185,445,16124
263,3283,176,439,16102
264,3322,183,427,16068
265,3384,180,409,16027
266,3418,184,384,16014
267,3460,182,391,15967
268,3482,197,399,15922
269,3526,186,397,15891
270,3566,199,397,15838
271,3609,193,397,15801
272,3629,203,386,15782
273,3664,221,378,15737
274,3698,208,376,15718
275,3735,191,374,15700
276,3762,197,377,15664
277,3794,194,378,15634
278,3840,182,398,15580
279,3858,181,409,15552
280,3886,191,403,15520
281,3925,189,396,15490
282,3942,201,395,15462
283,3951,215,410,15424
284,3978,201,427,15394
285,3984,206,434,15376
286,4009,216,434,15341
287,4019,228,421,15332
288,4042,214,430,15314
289,4046,223,426,15305
290,4077,230,431,15262
291,4107,218,446,15229
292,4129,211,441,15219
293,4139,225,437,15199
294,4159,235,433,15173
295,4162,240,457,15141
296,4164,243,460,15133
297,4172,259,468,15101
298,4174,271,475,15080
299,4176,272,497,15055
300,4157,288,514,15041
301,4162,283,523,15032
302,4150,294,538,15018
303,4153,296,532,15019
304,4128,307,552,15013
305,4126,298,571,15005
306,4141,276,591,14992
307,4123,297,591,14989
308,4127,301,605,14967
309,4109,293,629,14969
310,4099,319,608,14974
311,4089,325,613,14973
312,4087,313,621,14979
313,4117,303,623,14957
314,4113,325,612,14950
315,4110,333,607,14950
316,4132,319,610,14939
317,4129,310,628,14933
318,4115,318,617,14950
319,4130,307,613,14950
320,4125,312,614,14949
321,4119,298,620,14963
322,4109,298,630,14963
323,4094,306,612,14988
324,4099,310,630,14961
325,4081,306,652,14961
326,4060,310,656,14974
327,4047,311,662,14980
328,4044,321,663,14972
329,4017,341,677,14965
330,4014,329,704,14953
331,4030,344,683,14943
