t,S,E,I,R
0,19980,0,20,0
1,19965,15,17,3
2,19949,27,20,4
3,19934,39,23,4
4,19910,52,31,7
5,19886,62,39,13
6,19845,82,56,17
7,19794,106,78,22
8,19720,141,111,28
9,19616,202,142,40
10,19490,272,181,57
11,19325,366,229,80
12,19127,476,286,111
13,18871,585,395,149
14,18530,769,506,195
15,18130,961,644,265
16,17599,1217,840,344
17,16955,1493,1097,455
18,16144,1884,1366,606
19,15178,2293,1752,777
20,14049,2785,2159,1007
21,12740,3325,2643,1292
22,11316,3750,3305,1629
23,9802,4207,3927,2064
24,8362,4469,4563,2606
25,6905,4730,5140,3225
26,5550,4773,5761,3916
27,4390,4583,6344,4683
28,3355,4317,6818,5510
29,2572,3876,7143,6409
30,1981,3383,7297,7339
31,1492,2901,7261,8346
32,1114,2474,7152,9260
33,878,1998,6940,10184
34,711,1680,6485,11124
35,590,1346,6082,11982
36,502,1090,5629,12779
37,451,856,5188,13505
38,414,713,4701,14172
39,393,583,4225,14799
40,384,470,3846,15300
41,388,362,3506,15744
42,398,294,3129,16179
43,436,238,2791,16535
44,452,212,2502,16834
45,472,199,2216,17113
46,515,170,1980,17335
47,527,165,1783,17525
48,557,147,1608,17688
49,588,125,1437,17850
50,617,113,1277,17993
51,666,96,1138,18100
52,691,97,1004,18208
53,729,90,898,18283
54,770,85,781,18364
55,813,80,712,18395
56,861,70,638,18431
57,901,78,571,18450
58,952,64,511,18473
59,1005,60,448,18487
60,1059,54,405,18482
61,1133,48,379,18440
62,1180,53,344,18423
63,1222,59,304,18415
64,1272,53,285,18390
65,1320,48,260,18372
66,1381,42,236,18341
67,1439,34,218,18309
68,1481,36,198,18285
69,1549,39,179,18233
70,1595,42,166,18197
71,1637,49,140,18174
72,1686,36,140,18138
73,1749,32,130,18089
74,1798,33,119,18050
75,1853,30,108,18009
76,1920,23,104,17953
77,1978,26,95,17901
78,2030,29,85,17856
79,2089,30,86,17795
80,2139,36,76,17749
81,2186,35,72,17707
82,2226,34,71,17669
83,2285,29,76,17610
84,2329,25,75,17571
85,2373,24,73,17530
86,2423,25,74,17478
87,2470,24,67,17439
88,2513,26,63,17398
89,2570,20,63,17347
90,2629,17,62,17292
91,2679,15,62,17244
92,2739,11,57,17193
93,2790,11,58,17141
94,2843,15,45,17097
95,2891,16,40,17053
96,2955,16,39,16990
97,3009,13,35,16943
98,3054,17,34,16895
99,3100,13,41,16846
100,3139,15,34,16812
101,3193,15,36,16756
102,3245,16,31,16708
103,3284,14,32,16670
104,3345,11,30,16614
105,3387,12,29,16572
106,3433,13,24,16530
107,3467,17,26,16490
108,3497,8,32,16463
109,3536,7,26,16431
110,3573,11,25,16391
111,3620,13,26,16341
112,3668,11,25,16296
113,3715,14,27,16244
114,3757,14,23,16206
115,3803,17,23,16157
116,3836,16,26,16122
117,3884,16,28,16072
118,3925,16,26,16033
119,3969,13,30,15988
120,4010,16,28,15946
121,4054,18,29,15899
122,4096,13,27,15864
123,4150,10,29,15811
124,4187,8,28,15777
125,4224,9,29,15738
126,4282,9,26,15683
127,4319,17,24,15640
128,4370,14,26,15590
129,4402,13,27,15558
130,4449,14,30,15507
131,4483,20,27,15470
132,4524,21,27,15428
133,4565,21,33,15381
134,4606,17,38,15339
135,4638,19,35,15308
136,4686,14,37,15263
137,4726,12,38,15224
138,4762,15,33,15190
139,4796,9,34,15161
140,4836,19,31,15114
141,4861,16,33,15090
142,4898,18,34,15050
143,4935,22,35,15008
144,4980,22,39,14959
145,5017,21,39,14923
146,5062,23,39,14876
147,5090,29,39,14842
148,5125,26,41,14808
149,5167,24,45,14764
150,5205,25,47,14723
151,5234,31,50,14685
152,5273,29,59,14639
153,5297,30,63,14610
154,5325,39,66,14570
155,5353,47,68,14532
156,5366,50,74,14510
157,5388,52,80,14480
158,5411,60,77,14452
159,5431,61,91,14417
160,5458,59,95,14388
161,5492,57,98,14353
162,5506,56,108,14330
163,5528,64,109,14299
164,5545,76,106,14273
165,5557,86,120,14237
166,5568,81,135,14216
167,5581,91,132,14196
168,5598,77,154,14171
169,5598,79,165,14158
170,5610,97,153,14140
171,5620,101,167,14112
172,5634,108,169,14089
173,5646,115,172,14067
174,5653,120,183,14044
175,5637,143,190,14030
176,5639,138,205,14018
177,5648,144,208,14000
178,5649,152,219,13980
179,5636,153,245,13966
180,5620,180,252,13948
181,5604,176,283,13937
182,5565,197,297,13941
183,5540,208,307,13945
184,5506,222,318,13954
185,5464,232,340,13964
186,5430,254,347,13969
187,5388,271,369,13972
188,5359,284,401,13956
189,5300,313,424,13963
190,5240,315,465,13980
191,5203,299,484,14014
192,5135,331,490,14044
193,5074,336,520,14070
194,4996,346,552,14106
195,4931,356,587,14126
196,4875,349,610,14166
197,4796,396,616,14192
198,4741,393,644,14222
199,4661,409,678,14252
200,4579,430,681,14310
201,4491,442,707,14360
202,4411,441,715,14433
203,4334,428,754,14484
204,4256,439,758,14547
205,4209,416,784,14591
206,4112,436,808,14644
207,4034,441,802,14723
208,3959,431,829,14781
209,3882,439,846,14833
210,3809,425,884,14882
211,3743,438,867,14952
212,3677,440,887,14996
213,3605,439,882,15074
214,3546,441,892,15121
215,3477,439,905,15179
216,3424,424,917,15235
217,3386,408,928,15278
218,3322,430,899,15349
219,3274,401,893,15432
220,3249,391,896,15464
221,3210,383,903,15504
222,3159,389,908,15544
223,3133,383,865,15619
224,3090,377,846,15687
225,3090,347,827,15736
226,3076,346,791,15787
227,3057,346,769,15828
228,3042,347,742,15869
229,3032,332,738,15898
230,2990,336,733,15941
231,2966,333,741,15960
232,2970,312,729,15989
233,2952,328,707,16013
234,2915,332,684,16069
235,2936,302,668,16094
236,2930,314,654,16102
237,2936,295,657,16112
238,2923,283,654,16140
239,2919,282,648,16151
240,2935,262,647,16156
241,2946,251,642,16161
242,2947,256,648,16149
243,2941,253,624,16182
244,2971,241,619,16169
245,2988,236,598,16178
246,2999,243,572,16186
247,3026,245,556,16173
248,3067,241,538,16154
249,3097,231,525,16147
250,3118,214,525,16143
251,3140,228,518,16114
252,3148,241,511,16100
253,3166,245,499,16090
254,3194,237,505,16064
255,3222,239,493,16046
256,3261,224,511,16004
257,3276,224,512,15988
258,3280,208,519,15993
259,3282,225,494,15999
260,3306,233,495,15966
261,3337,238,480,15945
262,3352,232,480,15936
263,3392,207,475,15926
264,3404,197,481,15918
265,3423,211,453,15913
266,3461,203,439,15897
267,3486,197,453,15864
268,3488,225,444,15843
269,3529,206,471,15794
270,3539,236,454,15771
271,3553,244,457,15746
