t,S,E,I,R
0,19980,0,20,0
1,19965,15,17,3
2,19951,28,16,5
3,19935,37,20,8
4,19917,45,29,9
5,19899,52,35,14
6,19870,72,41,17
7,19837,83,53,27
8,19784,114,68,34
9,19729,140,85,46
10,19654,172,119,55
11,19544,233,152,71
12,19393,325,192,90
13,19197,428,255,120
14,18951,558,341,150
15,18670,701,434,195
16,18256,900,588,256
17,17744,1176,737,343
18,17156,1430,966,448
19,16406,1767,1236,591
20,15544,2117,1591,748
21,14521,2559,1960,960
22,13359,2994,2433,1214
23,12046,3469,2971,1514
24,10519,3979,3599,1903
25,8998,4394,4255,2353
26,7518,4676,4940,2866
27,6100,4735,5593,3572
28,4876,4614,6219,4291
29,3782,4445,6669,5104
30,2880,4078,7070,5972
31,2172,3622,7321,6885
32,1634,3134,7419,7813
33,1263,2583,7373,8781
34,962,2168,7132,9738
35,766,1792,6775,10667
36,625,1410,6417,11548
37,522,1117,5995,12366
38,462,902,5493,13143
39,412,732,5024,13832
40,396,580,4587,14437
41,380,478,4141,15001
42,397,385,3741,15477
43,403,326,3329,15942
44,406,287,2971,16336
45,424,223,2674,16679
46,433,200,2383,16984
47,461,176,2090,17273
48,478,172,1857,17493
49,498,155,1648,17699
50,534,140,1457,17869
51,594,124,1297,17985
52,620,117,1155,18108
53,659,104,1023,18214
54,688,98,938,18276
55,732,91,824,18353
56,777,85,754,18384
57,814,72,686,18428
58,855,74,610,18461
59,908,76,535,18481
60,961,65,491,18483
61,1008,62,442,18488
62,1071,58,396,18475
63,1131,52,356,18461
64,1205,46,325,18424
65,1254,40,280,18426
66,1312,35,252,18401
67,1365,37,229,18369
68,1407,30,212,18351
69,1462,35,203,18300
70,1528,39,184,18249
71,1575,31,174,18220
72,1627,27,155,18191
73,1678,28,141,18153
74,1721,28,129,18122
75,1766,27,127,18080
76,1806,31,113,18050
77,1871,28,109,17992
78,1925,34,94,17947
79,1981,35,82,17902
80,2034,35,72,17859
81,2097,26,79,17798
82,2153,24,67,17756
83,2216,22,63,17699
84,2262,21,54,17663
85,2316,21,51,17612
86,2374,26,45,17555
87,2413,24,45,17518
88,2466,26,48,17460
89,2513,22,51,17414
90,2581,21,44,17354
91,2618,25,44,17313
92,2657,27,41,17275
93,2708,27,33,17232
94,2764,21,40,17175
95,2815,21,40,17124
96,2860,22,39,17079
97,2915,19,42,17024
98,2960,16,42,16982
99,3010,13,40,16937
100,3060,13,32,16895
101,3098,17,32,16853
102,3145,15,27,16813
103,3194,13,28,16765
104,3229,12,28,16731
105,3285,13,25,16677
106,3335,14,20,16631
107,3396,12,19,16573
108,3437,11,22,16530
109,3475,10,23,16492
110,3520,11,27,16442
111,3568,11,26,16395
112,3610,13,28,16349
113,3671,13,29,16287
114,3713,11,29,16247
115,3762,16,25,16197
116,3811,16,27,16146
117,3859,25,23,16093
118,3908,16,30,16046
119,3964,17,27,15992
120,4002,13,34,15951
121,4049,15,30,15906
122,4084,18,27,15871
123,4126,20,30,15824
124,4173,12,33,15782
125,4211,11,31,15747
126,4253,10,31,15706
127,4292,9,30,15669
128,4334,15,27,15624
129,4376,14,31,15579
130,4409,18,32,15541
131,4442,21,32,15505
132,4480,17,38,15465
133,4526,16,38,15420
134,4565,15,38,15382
135,4608,20,37,15335
136,4646,18,36,15300
137,4683,22,34,15261
138,4715,23,36,15226
139,4744,21,41,15194
140,4778,21,44,15157
141,4804,26,43,15127
142,4834,27,49,15090
143,4869,34,44,15053
144,4901,32,46,15021
145,4941,26,50,14983
146,4979,29,49,14943
147,5020,30,49,14901
148,5054,36,49,14861
149,5086,41,52,14821
150,5114,44,61,14781
151,5165,43,61,14731
152,5189,46,60,14705
153,5226,43,67,14664
154,5275,38,66,14621
155,5299,51,61,14589
156,5335,47,70,14548
157,5374,55,65,14506
158,5397,60,72,14471
159,5431,54,76,14439
160,5449,58,87,14406
161,5474,61,88,14377
162,5495,58,97,14350
163,5515,62,98,14325
164,5531,79,100,14290
165,5552,73,110,14265
166,5569,78,117,14236
167,5599,72,136,14193
168,5609,81,140,14170
169,5619,90,155,14136
170,5636,95,158,14111
171,5645,101,164,14090
172,5649,98,186,14067
173,5644,116,190,14050
174,5653,111,201,14035
175,5654,129,205,14012
176,5641,135,228,13996
177,5640,145,235,13980
178,5641,155,240,13964
179,5620,180,240,13960
180,5609,186,261,13944
181,5582,191,279,13948
182,5574,191,301,13934
183,5550,204,311,13935
184,5527,208,340,13925
185,5523,208,350,13919
186,5484,206,380,13930
187,5446,211,399,13944
188,5408,237,388,13967
189,5366,251,409,13974
190,5342,275,413,13970
191,5289,295,424,13992
192,5263,289,466,13982
193,5226,288,498,13988
194,5182,317,505,13996
195,5131,309,535,14025
196,5082,327,552,14039
197,4999,354,584,14063
198,4929,369,592,14110
199,4854,398,610,14138
200,4800,401,622,14177
201,4753,387,652,14208
202,4662,427,656,14255
203,4598,414,702,14286
204,4527,433,704,14336
205,4455,431,720,14394
206,4391,422,735,14452
207,4304,447,745,14504
208,4223,444,785,14548
209,4125,454,814,14607
210,4056,452,845,14647
211,3968,459,868,14705
212,3902,443,888,14767
213,3809,463,892,14836
214,3720,464,917,14899
215,3672,462,908,14958
216,3607,461,930,15002
217,3537,474,912,15077
218,3457,477,912,15154
219,3395,446,942,15217
220,3324,431,969,15276
221,3285,414,972,15329
222,3235,430,921,15414
223,3193,393,944,15470
224,3134,428,923,15515
225,3112,403,938,15547
226,3081,383,929,15607
227,3034,388,889,15689
228,3023,364,888,15725
229,2987,355,876,15782
230,2965,352,877,15806
231,2944,358,858,15840
232,2914,373,845,15868
233,2904,338,848,15910
234,2878,325,825,15972
235,2864,321,796,16019
236,2851,307,793,16049
237,2836,306,772,16086
238,2833,309,751,16107
239,2828,305,741,16126
240,2838,299,730,16133
241,2842,274,720,16164
242,2818,285,692,16205
243,2832,274,693,16201
244,2826,287,665,16222
245,2836,292,658,16214
246,2846,288,644,16222
247,2851,285,628,16236
248,2861,269,636,16234
249,2880,251,654,16215
250,2900,244,626,16230
251,2919,253,614,16214
252,2954,245,602,16199
253,2983,226,600,16191
254,2999,235,593,16173
255,3013,245,567,16175
256,3024,231,588,16157
257,3057,224,575,16144
258,3053,230,558,16159
259,3071,228,559,16142
260,3090,224,547,16139
261,3115,230,521,16134
262,3133,230,522,16115
263,3151,235,496,16118
264,3192,225,477,16106
265,3216,234,470,16080
266,3238,236,477,16049
267,3263,226,487,16024
268,3291,217,471,16021
269,3329,210,455,16006
270,3367,200,443,15990
271,3407,187,452,15954
