t,S,E,I,R
0,19980,0,20,0
1,19964,16,18,2
2,19945,31,21,3
3,19928,39,25,8
4,19907,50,34,9
5,19874,72,43,11
6,19845,79,61,15
7,19794,108,77,21
8,19708,157,106,29
9,19617,202,140,41
10,19490,270,187,53
11,19340,336,251,73
12,19146,432,313,109
13,18894,565,393,148
14,18572,718,511,199
15,18132,947,661,260
16,17584,1217,851,348
17,16902,1582,1060,456
18,16102,1931,1369,598
19,15164,2331,1708,797
20,14100,2737,2145,1018
21,12776,3300,2612,1312
22,11397,3736,3187,1680
23,9931,4182,3770,2117
24,8463,4493,4434,2610
25,7048,4650,5131,3171
26,5769,4600,5772,3859
27,4548,4519,6294,4639
28,3561,4237,6753,5449
29,2752,3851,7084,6313
30,2093,3416,7274,7217
31,1606,2963,7254,8177
32,1233,2530,7095,9142
33,967,2082,6838,10113
34,770,1708,6526,10996
35,626,1424,6165,11785
36,522,1156,5758,12564
37,482,894,5329,13295
38,456,719,4869,13956
39,416,580,4411,14593
40,434,461,3973,15132
41,424,393,3533,15650
42,435,336,3145,16084
43,434,299,2846,16421
44,458,245,2526,16771
45,482,203,2293,17022
46,512,189,2039,17260
47,528,174,1802,17496
48,541,168,1626,17665
49,573,152,1461,17814
50,601,142,1298,17959
51,630,125,1156,18089
52,664,116,1019,18201
53,685,104,939,18272
54,718,98,853,18331
55,758,93,743,18406
56,816,81,681,18422
57,867,67,611,18455
58,929,61,547,18463
59,982,57,483,18478
60,1031,53,433,18483
61,1093,46,388,18473
62,1145,53,348,18454
63,1195,57,319,18429
64,1245,56,293,18406
65,1301,55,254,18390
66,1350,53,219,18378
67,1411,42,199,18348
68,1453,44,181,18322
69,1501,47,167,18285
70,1564,39,158,18239
71,1615,41,132,18212
72,1670,34,129,18167
73,1713,33,112,18142
74,1778,25,111,18086
75,1849,27,103,18021
76,1900,28,87,17985
77,1970,21,80,17929
78,2036,22,68,17874
79,2100,20,65,17815
80,2154,19,58,17769
81,2215,15,55,17715
82,2256,18,50,17676
83,2313,17,44,17626
84,2369,20,42,17569
85,2411,16,44,17529
86,2461,14,44,17481
87,2513,13,44,17430
88,2571,13,40,17376
89,2629,9,39,17323
90,2680,9,42,17269
91,2731,7,35,17227
92,2780,8,32,17180
93,2832,10,26,17132
94,2888,10,24,17078
95,2941,10,22,17027
96,2988,10,25,16977
97,3051,7,23,16919
98,3103,8,19,16870
99,3149,6,16,16829
100,3208,6,15,16771
101,3268,4,16,16712
102,3327,5,16,16652
103,3377,8,17,16598
104,3429,8,13,16550
105,3488,7,15,16490
106,3540,8,15,16437
107,3580,7,17,16396
108,3624,10,16,16350
109,3674,7,18,16301
110,3718,9,18,16255
111,3755,7,18,16220
112,3805,5,21,16169
113,3842,9,19,16130
114,3901,10,18,16071
115,3940,11,18,16031
116,3991,9,21,15979
117,4035,12,23,15930
118,4076,13,22,15889
119,4123,15,21,15841
120,4173,14,22,15791
121,4228,13,22,15737
122,4273,11,22,15694
123,4309,8,26,15657
124,4360,14,23,15603
125,4395,16,24,15565
126,4440,13,27,15520
127,4470,19,27,15484
128,4505,20,31,15444
129,4548,23,28,15401
130,4600,21,26,15353
131,4638,16,30,15316
132,4676,17,27,15280
133,4712,15,24,15249
134,4752,17,25,15206
135,4796,13,28,15163
136,4837,17,26,15120
137,4881,14,26,15079
138,4915,16,23,15046
139,4953,10,23,15014
140,4999,11,21,14969
141,5034,8,25,14933
142,5066,14,26,14894
143,5101,16,26,14857
144,5123,21,26,14830
145,5164,29,24,14783
146,5203,20,33,14744
147,5237,25,31,14707
148,5280,26,32,14662
149,5314,23,37,14626
150,5340,22,39,14599
151,5382,20,45,14553
152,5412,22,45,14521
153,5460,24,44,14472
154,5498,26,46,14430
155,5529,31,47,14393
156,5578,36,47,14339
157,5612,28,58,14302
158,5645,40,56,14259
159,5685,36,62,14217
160,5716,35,72,14177
161,5740,39,72,14149
162,5767,42,68,14123
163,5787,48,70,14095
164,5811,49,76,14064
165,5833,60,79,14028
166,5848,67,89,13996
167,5863,74,94,13969
168,5889,78,90,13943
169,5913,79,100,13908
170,5920,88,101,13891
171,5940,78,120,13862
172,5965,83,125,13827
173,5959,87,139,13815
174,5968,100,141,13791
175,5979,98,152,13771
176,5972,114,166,13748
177,5955,125,177,13743
178,5935,146,195,13724
179,5934,162,210,13694
180,5933,160,233,13674
181,5928,179,239,13654
182,5926,177,249,13648
183,5908,189,244,13659
184,5897,190,262,13651
185,5881,193,285,13641
186,5861,208,297,13634
187,5824,212,311,13653
188,5791,224,331,13654
189,5750,236,348,13666
190,5708,248,381,13663
191,5650,274,399,13677
192,5586,296,426,13692
193,5541,303,461,13695
194,5474,332,483,13711
195,5429,321,523,13727
196,5367,335,540,13758
197,5306,343,568,13783
198,5225,366,579,13830
199,5131,405,594,13870
200,5046,407,626,13921
201,4978,416,660,13946
202,4890,433,679,13998
203,4809,453,700,14038
204,4715,464,740,14081
205,4620,479,780,14121
206,4538,466,821,14175
207,4436,477,850,14237
208,4352,485,852,14311
209,4246,498,859,14397
210,4181,488,875,14456
211,4097,486,880,14537
212,4016,494,903,14587
213,3932,488,928,14652
214,3843,486,938,14733
215,3754,502,940,14804
216,3664,497,949,14890
217,3561,495,960,14984
218,3486,476,979,15059
219,3401,483,975,15141
220,3379,443,1002,15176
221,3305,447,999,15249
222,3228,456,964,15352
223,3174,444,977,15405
224,3127,437,954,15482
225,3065,427,952,15556
226,3020,412,944,15624
227,2969,396,947,15688
228,2930,378,922,15770
229,2906,390,880,15824
230,2884,364,882,15870
231,2845,368,843,15944
232,2816,344,836,16004
233,2808,330,820,16042
234,2799,319,819,16063
235,2769,305,814,16112
236,2760,290,793,16157
237,2734,303,761,16202
238,2728,295,744,16233
239,2746,273,745,16236
240,2743,261,722,16274
241,2752,262,687,16299
242,2760,243,669,16328
243,2772,248,640,16340
244,2804,251,611,16334
245,2821,243,608,16328
246,2816,239,603,16342
247,2831,235,585,16349
248,2844,222,563,16371
249,2862,227,546,16365
250,2908,209,541,16342
251,2948,196,543,16313
252,2967,198,532,16303
253,2975,211,517,16297
254,2996,204,515,16285
255,3036,203,506,16255
256,3069,202,506,16223
257,3095,206,485,16214
258,3133,196,469,16202
259,3157,205,463,16175
260,3202,186,461,16151
261,3258,190,439,16113
262,3294,189,431,16086
263,3327,171,441,16061
264,3340,183,440,16037
265,3354,182,437,16027
266,3383,193,429,15995
267,3401,199,412,15988
268,3453,196,412,15939
269,3482,200,397,15921
270,3533,181,411,15875
271,3573,180,402,15845
272,3592,193,404,15811
273,3634,208,391,15767
274,3668,186,403,15743
275,3709,200,401,15690
276,3715,205,412,15668
277,3744,215,403,15638
278,3788,208,401,15603
279,3822,210,405,15563
280,3860,208,410,15522
281,3910,190,421,15479
282,3926,205,413,15456
283,3950,221,417,15412
284,3972,228,423,15377
285,3992,223,455,15330
286,3994,232,448,15326
287,4009,240,427,15324
288,4016,261,430,15293
289,4045,235,448,15272
290,4055,262,437,15246
291,4078,270,431,15221
292,4118,247,443,15192
293,4115,252,453,15180
294,4140,234,461,15165
295,4124,247,467,15162
296,4143,258,437,15162
297,4176,244,475,15105
298,4150,265,483,15102
299,4150,272,491,15087
300,4162,244,535,15059
301,4137,273,518,15072
302,4134,273,531,15062
303,4151,278,544,15027
304,4161,284,544,15011
305,4158,289,555,14998
306,4154,288,573,14985
307,4128,311,569,14992
308,4122,306,584,14988
309,4119,315,595,14971
310,4103,323,611,14963
311,4089,327,615,14969
312,4065,335,614,14986
313,4020,375,617,14988
314,4021,352,640,14987
315,4021,359,663,14957
316,3992,379,671,14958
317,3994,355,695,14956
318,3969,357,722,14952
319,3961,364,728,14947
320,3933,386,734,14947
321,3930,398,732,14940
322,3923,393,737,14947
323,3902,383,762,14953
324,3884,384,770,14962
325,3853,395,760,14992
326,3817,406,747,15030
327,3809,374,766,15051
328,3777,396,755,15072
329,3785,384,761,15070
330,3767,387,744,15102
331,3771,368,755,15106
332,3762,386,760,15092
333,3765,385,763,15087
334,3772,364,764,15100
335,3736,380,757,15127
336,3732,377,755,15136
337,3717,384,753,15146
338,3702,361,764,15173
339,3693,347,774,15186
340,3647,367,788,15198
341,3610,382,768,15240
342,3583,392,760,15265
343,3592,365,782,15261
344,3614,354,795,15237
345,3614,366,772,15248
346,3590,356,783,15271
347,3590,363,771,15276
348,3584,381,757,15278
349,3582,362,748,15308
350,3560,375,740,15325
351,3529,390,747,15334
352,3553,361,738,15348
353,3541,374,725,15360
354,3552,361,723,15364
355,3560,364,710,15366
356,3556,364,708,15372
357,3524,353,734,15389
358,3513,351,750,15386
359,3537,347,750,15366
360,3537,352,732,15379
361,3548,350,736,15366
362,3535,379,720,15366
363,3539,370,734,15357
364,3565,336,733,15366
365,3554,355,724,15367
366,3545,354,728,15373
367,3536,348,731,15385
368,3536,330,733,15401
369,3542,323,742,15393
370,3513,368,714,15405
371,3515,358,721,15406
372,3512,361,724,15403
373,3528,356,718,15398
374,3552,328,728,15392
375,3514,360,718,15408
376,3494,357,716,15433
377,3474,359,709,15458
378,3495,341,719,15445
379,3460,363,712,15465
380,3471,362,697,15470
381,3475,360,699,15466
382,3504,334,718,15444
383,3524,322,716,15438
384,3512,340,722,15426
385,3510,344,694,15452
386,3525,327,710,15438
387,3567,318,696,15419
388,3592,307,685,15416
389,3613,314,669,15404
390,3597,310,666,15427
391,3613,326,641,15420
392,3628,321,637,15414
393,3643,310,639,15408
394,3662,310,648,15380
395,3671,300,646,15383
396,3671,318,652,15359
397,3675,303,641,15381
398,3652,315,620,15413
399,3672,299,610,15419
400,3688,283,614,15415
401,3698,278,615,15409
402,3703,280,606,15411
403,3728,271,621,15380
404,3730,277,606,15387
405,3736,279,603,15382
406,3757,294,582,15367
407,3799,302,574,15325
408,3828,292,594,15286
409,3816,299,611,15274
410,3832,296,624,15248
411,3853,287,615,15245
412,3874,293,600,15233
413,3879,303,607,15211
414,3849,316,615,15220
415,3866,310,628,15196
416,3863,325,646,15166
417,3872,324,635,15169
418,3848,354,622,15176
419,3861,342,625,15172
420,3877,318,649,15156
421,3879,305,665,15151
422,3880,294,668,15158
423,3867,318,654,15161
424,3865,326,644,15165
425,3871,332,651,15146
426,3847,346,660,15147
427,3853,340,656,15151
428,3840,354,653,15153
429,3829,352,675,15144
430,3810,377,665,15148
431,3788,389,691,15132
432,3771,387,711,15131
433,3754,369,722,15155
434,3750,368,738,15144
435,3704,391,752,15153
436,3722,357,759,15162
437,3697,380,732,15191
438,3679,386,724,15211
439,3662,384,732,15222
440,3658,365,745,15232
441,3634,367,734,15265
442,3633,368,735,15264
443,3624,373,753,15250
444,3607,357,757,15279
445,3602,363,760,15275
446,3604,351,763,15282
447,3593,371,762,15274
448,3586,379,746,15289
449,3576,371,747,15306
450,3580,351,741,15328
451,3552,356,753,15339
452,3524,366,775,15335
453,3517,364,769,15350
454,3499,374,776,15351
455,3482,359,786,15373
456,3475,364,793,15368
457,3464,371,783,15382
458,3428,382,783,15407
459,3404,390,793,15413
460,3406,380,781,15433
461,3401,390,778,15431
462,3375,377,807,15441
463,3345,385,804,15466
464,3342,359,807,15492
465,3314,374,792,15520
466,3306,378,804,15512
467,3304,371,799,15526
468,3303,371,778,15548
469,3267,382,775,15576
470,3246,374,797,15583
471,3245,357,790,15608
472,3237,345,792,15626
473,3248,327,779,15646
474,3227,338,764,15671
475,3231,320,744,15705
476,3248,324,717,15711
477,3240,323,709,15728
478,3246,320,703,15731
479,3270,300,709,15721
480,3276,299,697,15728
481,3310,292,659,15739
482,3318,286,657,15739
483,3327,299,640,15734
484,3342,289,638,15731
485,3344,285,640,15731
486,3364,299,621,15716
487,3390,277,642,15691
488,3425,277,621,15677
489,3449,263,624,15664
490,3472,277,614,15637
491,3485,261,607,15647
492,3504,251,600,15645
493,3529,251,592,15628
494,3545,279,566,15610
495,3569,280,562,15589
496,3607,257,551,15585
497,3612,274,540,15574
498,3658,266,546,15530
499,3681,276,540,15503
500,3699,281,536,15484
501,3720,285,536,15459
502,3735,299,504,15462
503,3780,279,503,15438
504,3798,275,517,15410
505,3821,283,512,15384
506,3830,288,529,15353
507,3862,271,537,15330
508,3879,268,542,15311
509,3903,248,573,15276
510,3913,265,561,15261
511,3914,289,543,15254
512,3958,274,544,15224
513,3951,278,575,15196
514,3946,285,585,15184
515,3949,294,581,15176
516,3951,293,586,15170
517,3976,292,567,15165
518,4006,295,562,15137
519,4008,280,593,15119
520,4026,276,608,15090
521,4012,307,621,15060
522,4018,329,604,15049
523,4017,341,602,15040
524,4034,322,616,15028
525,4012,331,623,15034
526,4019,342,621,15018
527,4010,355,628,15007
528,3983,358,651,15008
529,3996,332,662,15010
530,4000,324,663,15013
531,3999,336,680,14985
532,3979,363,684,14974
533,3977,361,700,14962
534,3967,361,737,14935
535,3946,358,765,14931
536,3920,394,766,14920
537,3908,405,765,14922
538,3902,400,786,14912
539,3888,407,777,14928
540,3883,406,773,14938
541,3876,392,778,14954
542,3872,371,803,14954
543,3839,384,793,14984
544,3827,391,793,14989
545,3820,395,786,14999
546,3819,389,783,15009
547,3793,407,780,15020
548,3791,390,798,15021
549,3760,408,792,15040
550,3742,417,788,15053
551,3706,412,819,15063
552,3683,421,817,15079
553,3654,424,832,15090
554,3637,410,853,15100
555,3620,414,861,15105
556,3606,414,857,15123
557,3599,423,849,15129
558,3567,415,881,15137
559,3562,416,871,15151
560,3548,399,889,15164
561,3525,411,874,15190
562,3502,431,856,15211
563,3490,416,860,15234
564,3469,421,860,15250
565,3452,418,865,15265
566,3456,398,864,15282
567,3435,400,861,15304
568,3428,385,871,15316
569,3423,374,861,15342
570,3394,383,845,15378
571,3362,388,844,15406
572,3359,372,854,15415
573,3343,392,831,15434
574,3335,375,821,15469
575,3334,368,814,15484
576,3308,393,808,15491
577,3322,370,799,15509
578,3332,363,771,15534
579,3353,352,783,15512
580,3358,341,779,15522
581,3362,329,773,15536
582,3357,331,771,15541
583,3372,317,770,15541
584,3356,323,751,15570
585,3371,329,744,15556
586,3376,340,727,15557
587,3379,344,732,15545
588,3386,337,714,15563
589,3399,333,694,15574
590,3391,327,704,15578
591,3385,317,697,15601
592,3404,296,706,15594
593,3413,313,692,15582
594,3416,321,684,15579
595,3437,332,673,15558
596,3479,330,656,15535
597,3494,329,662,15515
598,3500,322,675,15503
599,3494,329,673,15504
600,3497,346,670,15487
601,3488,349,682,15481
602,3530,325,694,15451
603,3535,325,682,15458
604,3544,330,672,15454
605,3595,319,652,15434
606,3611,342,630,15417
607,3611,327,641,15421
608,3627,320,658,15395
609,3640,325,652,15383
610,3653,304,659,15384
611,3662,323,653,15362
612,3678,322,671,15329
613,3680,326,682,15312
614,3683,336,693,15288
615,3678,347,671,15304
616,3655,340,676,15329
617,3633,364,663,15340
618,3644,339,684,15333
619,3624,359,691,15326
620,3636,346,693,15325
621,3626,342,707,15325
622,3643,368,691,15298
623,3644,359,709,15288
624,3630,352,728,15290
625,3638,374,718,15270
626,3657,359,731,15253
627,3658,353,740,15249
628,3639,363,739,15259
629,3632,359,751,15258
630,3630,366,730,15274
631,3630,371,727,15272
632,3638,370,735,15257
633,3646,362,746,15246
634,3635,360,754,15251
635,3617,369,742,15272
636,3590,367,760,15283
637,3547,397,747,15309
638,3566,384,743,15307
639,3567,387,760,15286
640,3542,388,757,15313
641,3556,378,785,15281
642,3547,352,789,15312
643,3547,366,752,15335
644,3546,354,752,15348
645,3548,357,740,15355
646,3544,363,721,15372
647,3530,357,728,15385
648,3519,355,729,15397
649,3532,325,722,15421
650,3540,338,708,15414
651,3540,328,715,15417
652,3551,341,715,15393
653,3553,352,706,15389
654,3569,320,720,15391
655,3557,340,729,15374
656,3572,330,722,15376
657,3586,333,718,15363
658,3605,335,711,15349
659,3621,351,703,15325
660,3632,338,716,15314
661,3621,348,719,15312
662,3625,343,703,15329
663,3648,337,663,15352
664,3647,349,683,15321
665,3666,341,671,15322
666,3676,334,663,15327
667,3654,365,679,15302
668,3679,353,694,15274
669,3680,332,710,15278
670,3683,338,717,15262
671,3666,346,709,15279
672,3656,355,702,15287
673,3656,369,699,15276
674,3657,348,717,15278
675,3650,363,715,15272
676,3665,350,723,15262
677,3680,339,706,15275
678,3659,350,737,15254
679,3644,356,747,15253
680,3652,342,765,15241
681,3627,354,754,15265
682,3608,374,748,15270
683,3587,380,751,15282
684,3568,373,783,15276
685,3567,369,764,15300
686,3561,363,755,15321
687,3556,377,724,15343
688,3546,363,754,15337
689,3543,343,766,15348
690,3553,334,782,15331
691,3528,361,761,15350
692,3543,330,757,15370
693,3554,325,757,15364
694,3568,336,756,15340
695,3581,331,742,15346
696,3587,340,739,15334
697,3557,377,716,15350
698,3557,384,719,15340
699,3548,370,727,15355
700,3530,340,761,15369
701,3525,358,759,15358
702,3501,373,746,15380
703,3467,362,775,15396
704,3462,361,773,15404
705,3453,338,769,15440
706,3435,342,764,15459
707,3434,340,748,15478
708,3447,327,754,15472
709,3413,355,743,15489
710,3407,355,745,15493
711,3418,345,744,15493
712,3425,327,757,15491
713,3438,324,740,15498
714,3424,335,722,15519
715,3437,320,711,15532
716,3422,318,723,15537
717,3425,304,728,15543
718,3423,296,731,15550
719,3417,308,710,15565
720,3433,300,714,15553
721,3417,325,696,15562
722,3436,327,670,15567
723,3444,318,661,15577
724,3430,331,647,15592
725,3434,326,652,15588
726,3456,321,656,15567
727,3482,318,670,15530
728,3513,294,672,15521
729,3527,295,656,15522
730,3518,326,642,15514
