t,S,E,I,R
0,19980,0,20,0
1,19964,16,19,1
2,19948,29,19,4
3,19937,30,26,7
4,19911,43,35,11
5,19872,68,46,14
6,19828,92,58,22
7,19783,114,71,32
8,19719,149,88,44
9,19639,193,112,56
10,19533,241,148,78
11,19378,321,206,95
12,19214,396,265,125
13,19010,493,335,162
14,18742,623,429,206
15,18338,837,568,257
16,17912,1042,704,342
17,17393,1279,885,443
18,16696,1622,1128,554
19,15880,1989,1408,723
20,14933,2361,1782,924
21,13816,2794,2215,1175
22,12517,3326,2713,1444
23,11118,3774,3324,1784
24,9656,4168,3922,2254
25,8214,4454,4570,2762
26,6807,4608,5226,3359
27,5461,4647,5832,4060
28,4287,4548,6299,4866
29,3345,4218,6737,5700
30,2551,3818,7032,6599
31,1949,3353,7183,7515
32,1501,2791,7275,8433
33,1175,2372,7113,9340
34,904,1978,6870,10248
35,754,1622,6530,11094
36,616,1289,6150,11945
37,514,1019,5716,12751
38,458,829,5253,13460
39,430,668,4757,14145
40,416,546,4310,14728
41,407,454,3884,15255
42,398,391,3512,15699
43,406,318,3151,16125
44,435,265,2849,16451
45,429,225,2541,16805
46,463,206,2228,17103
47,488,177,1972,17363
48,522,156,1760,17562
49,568,136,1552,17744
50,602,124,1403,17871
51,628,122,1276,17974
52,664,108,1136,18092
53,696,98,1007,18199
54,756,83,893,18268
55,799,83,783,18335
56,852,81,689,18378
57,897,79,625,18399
58,951,67,556,18426
59,1011,63,507,18419
60,1079,71,452,18398
61,1122,76,409,18393
62,1163,64,361,18412
63,1217,66,330,18387
64,1261,60,298,18381
65,1320,53,269,18358
66,1372,52,230,18346
67,1419,55,202,18324
68,1480,49,197,18274
69,1517,48,185,18250
70,1564,38,177,18221
71,1594,43,171,18192
72,1648,37,160,18155
73,1701,36,145,18118
74,1766,41,134,18059
75,1827,43,125,18005
76,1888,32,122,17958
77,1951,27,107,17915
78,2006,27,103,17864
79,2047,31,99,17823
80,2109,27,93,17771
81,2166,23,93,17718
82,2226,18,88,17668
83,2269,21,84,17626
84,2318,27,76,17579
85,2377,29,74,17520
86,2446,26,70,17458
87,2493,22,71,17414
88,2526,20,70,17384
89,2594,18,61,17327
90,2653,19,53,17275
91,2705,27,50,17218
92,2767,24,52,17157
93,2825,27,40,17108
94,2868,22,42,17068
95,2920,20,38,17022
96,2972,20,35,16973
97,3027,16,35,16922
98,3078,14,37,16871
99,3120,8,38,16834
100,3171,9,32,16788
101,3227,14,30,16729
102,3269,15,29,16687
103,3323,12,30,16635
104,3369,8,32,16591
105,3411,14,27,16548
106,3463,17,28,16492
107,3510,19,32,16439
108,3554,21,30,16395
109,3597,24,32,16347
110,3640,22,33,16305
111,3686,16,39,16259
112,3735,11,45,16209
113,3773,13,43,16171
114,3810,10,39,16141
115,3853,13,36,16098
116,3886,14,36,16064
117,3934,14,34,16018
118,3969,16,32,15983
119,4013,15,36,15936
120,4056,20,36,15888
121,4097,16,38,15849
122,4144,14,35,15807
123,4188,14,29,15769
124,4231,13,31,15725
125,4273,15,29,15683
126,4317,17,27,15639
127,4348,17,26,15609
128,4379,15,25,15581
129,4415,14,23,15548
130,4448,17,26,15509
131,4482,16,26,15476
132,4513,16,28,15443
133,4547,19,26,15408
134,4598,17,27,15358
135,4624,18,26,15332
136,4665,18,30,15287
137,4710,18,29,15243
138,4745,19,28,15208
139,4784,19,30,15167
140,4828,22,26,15124
141,4873,17,32,15078
142,4911,21,35,15033
143,4936,26,36,15002
144,4986,22,40,14952
145,5021,22,43,14914
146,5056,20,46,14878
147,5101,24,41,14834
148,5139,30,37,14794
149,5170,29,40,14761
150,5207,31,47,14715
151,5254,30,50,14666
152,5283,34,53,14630
153,5317,37,57,14589
154,5345,35,66,14554
155,5355,45,66,14534
156,5381,48,69,14502
157,5413,49,70,14468
158,5430,54,73,14443
159,5464,45,86,14405
160,5504,48,85,14363
161,5529,56,93,14322
162,5560,59,95,14286
163,5578,77,97,14248
164,5593,71,108,14228
165,5610,75,110,14205
166,5627,82,119,14172
167,5642,92,136,14130
168,5656,105,145,14094
169,5661,108,158,14073
170,5673,102,169,14056
171,5686,99,175,14040
172,5705,102,175,14018
173,5706,101,178,14015
174,5706,114,182,13998
175,5717,118,188,13977
176,5712,139,186,13963
177,5702,150,194,13954
178,5703,156,213,13928
179,5700,143,241,13916
180,5684,152,258,13906
181,5668,159,272,13901
182,5638,194,284,13884
183,5600,219,295,13886
184,5582,212,313,13893
185,5548,208,354,13890
186,5536,223,358,13883
187,5492,251,371,13886
188,5438,271,406,13885
189,5394,269,433,13904
190,5360,288,438,13914
191,5315,304,466,13915
192,5255,324,491,13930
193,5198,326,520,13956
194,5142,357,529,13972
195,5087,368,534,14011
196,5009,391,552,14048
197,4949,395,572,14084
198,4876,386,611,14127
199,4809,390,645,14156
200,4753,381,678,14188
201,4663,411,704,14222
202,4607,408,718,14267
203,4509,429,752,14310
204,4443,423,782,14352
205,4345,470,775,14410
206,4271,464,802,14463
207,4191,470,810,14529
208,4105,469,836,14590
209,4058,446,843,14653
210,3984,449,868,14699
211,3906,468,870,14756
212,3828,460,883,14829
213,3749,435,937,14879
214,3672,440,945,14943
215,3594,448,944,15014
216,3516,434,962,15088
217,3449,426,965,15160
218,3356,451,945,15248
219,3299,441,960,15300
220,3255,426,942,15377
221,3210,431,928,15431
222,3159,434,924,15483
223,3089,419,943,15549
224,3053,402,927,15618
225,3014,385,919,15682
226,2978,394,887,15741
227,2937,397,895,15771
228,2924,389,867,15820
229,2914,357,886,15843
230,2871,355,873,15901
231,2854,350,845,15951
232,2823,342,822,16013
233,2813,313,823,16051
234,2809,312,775,16104
235,2790,333,738,16139
236,2773,318,723,16186
237,2753,290,735,16222
238,2761,277,726,16236
239,2774,289,700,16237
240,2776,280,675,16269
241,2769,262,665,16304
242,2784,254,649,16313
243,2782,266,614,16338
244,2786,262,616,16336
245,2792,273,590,16345
246,2802,275,574,16349
247,2832,247,565,16356
248,2852,242,567,16339
249,2871,236,558,16335
250,2917,221,546,16316
251,2941,213,529,16317
252,2948,242,506,16304
253,2982,224,509,16285
254,3013,224,494,16269
255,3036,229,487,16248
256,3039,234,486,16241
257,3080,218,495,16207
258,3103,203,504,16190
259,3136,212,481,16171
260,3171,200,472,16157
261,3205,190,469,16136
262,3245,183,450,16122
263,3281,192,439,16088
264,3322,165,433,16080
265,3344,189,410,16057
266,3376,188,407,16029
267,3400,195,398,16007
268,3448,195,418,15939
269,3487,194,404,15915
270,3535,176,408,15881
271,3582,190,386,15842
272,3617,178,392,15813
273,3633,179,402,15786
274,3655,191,400,15754
275,3685,197,398,15720
276,3712,194,385,15709
277,3750,189,391,15670
278,3785,198,394,15623
279,3820,186,387,15607
280,3855,192,385,15568
281,3867,191,378,15564
282,3893,191,396,15520
283,3933,195,392,15480
284,3970,189,390,15451
285,3993,200,376,15431
286,4011,201,381,15407
287,4054,190,390,15366
288,4081,196,390,15333
289,4109,191,393,15307
290,4101,210,400,15289
291,4110,222,420,15248
292,4132,214,434,15220
293,4157,220,432,15191
294,4173,228,440,15159
295,4201,220,454,15125
296,4215,233,461,15091
297,4200,250,467,15083
298,4216,251,479,15054
299,4219,243,494,15044
300,4213,266,490,15031
301,4221,267,503,15009
302,4192,277,521,15010
303,4181,277,543,14999
304,4166,309,544,14981
305,4180,305,564,14951
306,4172,305,582,14941
307,4140,346,583,14931
308,4119,330,621,14930
309,4096,359,629,14916
310,4078,349,640,14933
311,4070,359,646,14925
312,4060,355,655,14930
313,4061,363,657,14919
314,4057,357,673,14913
315,4078,341,693,14888
316,4053,353,690,14904
317,4026,359,715,14900
