t,S,E,I,R
0,19980,0,20,0
1,19966,14,17,3
2,19954,22,19,5
3,19936,39,18,7
4,19925,42,24,9
5,19903,51,35,11
6,19874,66,44,16
7,19837,78,66,19
8,19784,107,87,22
9,19713,144,108,35
10,19608,206,143,43
11,19471,279,189,61
12,19282,381,256,81
13,19079,472,338,111
14,18806,600,442,152
15,18462,772,557,209
16,17975,1015,717,293
17,17419,1264,932,385
18,16699,1620,1181,500
19,15898,1988,1453,661
20,14886,2465,1786,863
21,13781,2849,2271,1099
22,12501,3312,2756,1431
23,11066,3780,3377,1777
24,9620,4220,3913,2247
25,8224,4434,4558,2784
26,6840,4580,5231,3349
27,5562,4606,5787,4045
28,4349,4509,6337,4805
29,3343,4221,6786,5650
30,2523,3896,7014,6567
31,1958,3380,7175,7487
32,1526,2918,7094,8462
33,1199,2408,7011,9382
34,966,1993,6792,10249
35,773,1629,6471,11127
36,630,1319,6044,12007
37,543,1065,5616,12776
38,495,831,5178,13496
39,450,697,4724,14129
40,436,565,4283,14716
41,405,489,3807,15299
42,405,393,3451,15751
43,416,331,3121,16132
44,430,265,2774,16531
45,445,215,2489,16851
46,461,192,2209,17138
47,488,158,1941,17413
48,516,141,1724,17619
49,540,130,1519,17811
50,575,120,1352,17953
51,611,103,1170,18116
52,656,95,1033,18216
53,702,91,916,18291
54,749,85,795,18371
55,814,68,722,18396
56,842,72,622,18464
57,884,67,571,18478
58,936,67,500,18497
59,994,54,440,18512
60,1058,49,388,18505
61,1100,54,344,18502
62,1155,41,310,18494
63,1193,37,280,18490
64,1237,40,250,18473
65,1287,39,228,18446
66,1345,35,202,18418
67,1415,32,179,18374
68,1471,31,153,18345
69,1524,30,143,18303
70,1594,21,135,18250
71,1654,19,125,18202
72,1717,20,110,18153
73,1771,25,91,18113
74,1806,25,84,18085
75,1874,24,80,18022
76,1925,20,69,17986
77,1971,19,63,17947
78,2035,17,55,17893
79,2099,15,54,17832
80,2138,14,45,17803
81,2215,14,49,17722
82,2291,19,41,17649
83,2349,17,43,17591
84,2396,18,41,17545
85,2450,16,41,17493
86,2501,16,36,17447
87,2546,13,38,17403
88,2600,11,40,17349
89,2641,12,37,17310
90,2705,10,37,17248
91,2751,10,37,17202
92,2798,8,37,17157
93,2852,5,36,17107
94,2898,7,38,17057
95,2943,6,33,17018
96,2986,9,28,16977
97,3032,5,30,16933
