t,S,E,I,R
0,19980,0,20,0
1,19969,11,18,2
2,19957,21,18,4
3,19949,19,24,8
4,19934,28,24,14
5,19908,45,30,17
6,19879,57,43,21
7,19852,69,52,27
8,19809,97,58,36
9,19758,120,73,49
10,19680,161,99,60
11,19593,203,130,74
12,19474,271,159,96
13,19332,337,209,122
14,19129,433,291,147
15,18890,562,354,194
16,18591,710,460,239
17,18212,903,588,297
18,17742,1108,775,375
19,17136,1395,1004,465
20,16383,1737,1272,608
21,15498,2163,1553,786
22,14464,2629,1912,995
23,13314,3065,2367,1254
24,12068,3461,2884,1587
25,10593,3973,3464,1970
26,9095,4402,4065,2438
27,7678,4569,4829,2924
28,6279,4663,5487,3571
29,5024,4572,6114,4290
30,3952,4373,6574,5101
31,3061,4043,6915,5981
32,2378,3593,7086,6943
33,1841,3116,7185,7858
34,1402,2640,7157,8801
35,1109,2231,6941,9719
36,885,1847,6687,10581
37,729,1500,6346,11425
38,624,1246,5862,12268
39,547,989,5438,13026
40,495,793,5009,13703
41,447,637,4597,14319
42,436,516,4175,14873
43,424,423,3776,15377
44,428,351,3386,15835
45,428,302,3046,16224
46,441,254,2738,16567
47,458,211,2447,16884
48,467,190,2172,17171
49,491,153,1881,17475
50,519,144,1664,17673
51,567,113,1486,17834
52,616,108,1295,17981
53,634,94,1157,18115
54,653,97,1032,18218
55,696,95,908,18301
56,737,87,818,18358
57,783,94,731,18392
58,834,87,658,18421
59,877,83,575,18465
60,940,74,531,18455
61,969,75,465,18491
62,1015,79,415,18491
63,1066,78,372,18484
64,1113,69,337,18481
65,1169,64,298,18469
66,1208,58,282,18452
67,1268,48,259,18425
68,1324,46,237,18393
69,1386,44,207,18363
70,1450,34,192,18324
71,1511,31,179,18279
72,1560,34,163,18243
73,1614,37,151,18198
74,1687,38,134,18141
75,1741,34,129,18096
76,1796,37,117,18050
77,1855,35,111,17999
78,1909,34,104,17953
79,1958,34,104,17904
80,2008,22,109,17861
81,2061,21,104,17814
82,2101,26,89,17784
83,2152,28,85,17735
84,2202,18,88,17692
85,2251,25,79,17645
86,2306,24,67,17603
87,2369,26,60,17545
88,2413,26,54,17507
89,2465,20,54,17461
90,2516,17,52,17415
91,2559,14,48,17379
92,2624,15,40,17321
93,2672,19,36,17273
94,2713,15,33,17239
95,2756,17,28,17199
96,2810,14,29,17147
97,2860,11,33,17096
98,2916,9,35,17040
99,2962,9,31,16998
100,3003,12,28,16957
101,3047,10,25,16918
102,3102,10,24,16864
103,3151,11,23,16815
104,3209,10,21,16760
105,3259,13,22,16706
106,3308,11,23,16658
107,3353,11,21,16615
108,3394,13,21,16572
109,3435,11,21,16533
110,3482,6,23,16489
111,3530,9,19,16442
112,3567,8,20,16405
113,3622,5,20,16353
114,3667,6,18,16309
115,3723,9,16,16252
116,3767,12,16,16205
117,3822,11,19,16148
118,3867,11,22,16100
119,3905,12,18,16065
120,3969,9,19,16003
121,4004,10,21,15965
122,4051,11,22,15916
123,4099,11,25,15865
124,4133,14,26,15827
125,4179,12,30,15779
126,4232,15,32,15721
127,4271,22,31,15676
128,4311,17,39,15633
129,4348,24,39,15589
130,4385,22,43,15550
131,4426,22,39,15513
132,4466,21,37,15476
133,4509,17,38,15436
134,4543,20,37,15400
135,4595,21,37,15347
136,4634,17,38,15311
137,4664,16,38,15282
138,4697,16,39,15248
139,4735,22,39,15204
140,4780,27,40,15153
141,4814,29,43,15114
142,4841,31,45,15083
143,4882,37,46,15035
144,4923,39,51,14987
145,4957,40,58,14945
146,4992,44,60,14904
147,5035,47,64,14854
148,5059,48,76,14817
149,5087,44,84,14785
150,5104,45,84,14767
151,5140,43,84,14733
152,5158,55,87,14700
153,5166,60,92,14682
154,5194,69,93,14644
155,5220,74,89,14617
156,5253,68,95,14584
157,5265,82,93,14560
158,5293,79,100,14528
159,5311,72,114,14503
160,5331,73,117,14479
