t,S,E,I,R
0,19980,0,20,0
1,19961,19,18,2
2,19950,27,19,4
3,19935,34,23,8
4,19920,42,28,10
5,19885,61,42,12
6,19844,82,56,18
7,19797,109,69,25
8,19746,137,79,38
9,19682,150,116,52
10,19560,228,150,62
11,19424,312,180,84
12,19249,384,262,105
13,19023,492,347,138
14,18746,629,443,182
15,18340,860,545,255
16,17865,1095,723,317
17,17325,1318,938,419
18,16667,1604,1170,559
19,15788,2016,1482,714
20,14760,2500,1841,899
21,13600,2962,2303,1135
22,12338,3398,2830,1434
23,10922,3841,3441,1796
24,9414,4321,4030,2235
25,7970,4563,4698,2769
26,6608,4659,5275,3458
27,5277,4659,5922,4142
28,4116,4477,6470,4937
29,3184,4154,6889,5773
30,2432,3819,7027,6722
31,1857,3305,7199,7639
32,1422,2825,7211,8542
33,1098,2352,7031,9519
34,890,1951,6724,10435
35,722,1583,6392,11303
36,597,1286,5980,12137
37,509,1017,5540,12934
38,447,841,5057,13655
39,420,650,4586,14344
40,396,531,4166,14907
41,403,430,3764,15403
42,405,353,3367,15875
43,400,294,3044,16262
44,413,251,2702,16634
45,432,227,2416,16925
46,449,188,2154,17209
47,465,167,1917,17451
48,510,138,1666,17686
49,536,132,1477,17855
50,581,120,1297,18002
51,621,99,1144,18136
52,672,83,1008,18237
53,715,87,901,18297
54,772,72,820,18336
55,825,76,716,18383
56,863,78,634,18425
57,931,66,579,18424
58,975,60,530,18435
59,1032,60,456,18452
60,1087,61,413,18439
61,1139,60,367,18434
62,1187,55,327,18431
63,1250,48,300,18402
64,1276,64,261,18399
65,1316,56,228,18400
66,1375,46,215,18364
67,1421,41,202,18336
68,1479,33,194,18294
69,1531,38,166,18265
70,1580,36,141,18243
71,1624,37,127,18212
72,1660,40,110,18190
73,1720,34,101,18145
74,1774,28,101,18097
75,1827,28,88,18057
76,1885,26,85,18004
77,1942,23,82,17953
78,1997,25,76,17902
79,2048,19,75,17858
80,2104,14,71,17811
81,2163,14,66,17757
82,2221,16,63,17700
83,2281,15,55,17649
84,2341,16,58,17585
85,2387,16,51,17546
86,2426,14,47,17513
87,2477,11,38,17474
88,2526,13,29,17432
89,2583,12,30,17375
90,2628,14,26,17332
91,2685,15,23,17277
92,2741,15,22,17222
93,2796,12,25,17167
94,2838,10,24,17128
95,2884,7,27,17082
96,2940,10,25,17025
97,3001,11,24,16964
98,3045,7,23,16925
99,3099,7,22,16872
100,3151,6,20,16823
101,3211,7,16,16766
102,3263,9,15,16713
103,3314,6,18,16662
104,3370,6,17,16607
105,3424,5,18,16553
106,3461,8,16,16515
107,3503,8,12,16477
