t,S,E,I,R
0,19980,0,20,0
1,19961,19,17,3
2,19950,23,22,5
3,19930,36,26,8
4,19913,39,34,14
5,19878,65,38,19
6,19840,85,51,24
7,19801,100,68,31
8,19756,116,85,43
9,19667,173,109,51
10,19563,228,145,64
11,19434,300,177,89
12,19284,381,217,118
13,19066,493,288,153
14,18802,619,393,186
15,18457,791,515,237
16,18049,976,673,302
17,17521,1239,827,413
18,16850,1569,1060,521
19,16030,1915,1394,661
20,15111,2313,1740,836
21,13916,2865,2159,1060
22,12624,3319,2728,1329
23,11237,3734,3346,1683
24,9721,4218,3997,2064
25,8189,4531,4664,2616
26,6745,4677,5344,3234
27,5409,4674,5952,3965
28,4213,4569,6428,4790
29,3279,4254,6849,5618
30,2495,3844,7116,6545
31,1887,3387,7235,7491
32,1411,2912,7284,8393
33,1069,2415,7194,9322
34,847,1954,6917,10282
35,685,1595,6539,11181
36,560,1304,6128,12008
37,469,1059,5670,12802
38,410,857,5166,13567
39,376,674,4741,14209
40,367,532,4268,14833
41,377,419,3823,15381
42,387,328,3436,15849
43,398,270,3110,16222
44,412,227,2806,16555
45,424,188,2511,16877
46,423,174,2216,17187
47,452,149,1953,17446
48,487,129,1722,17662
49,516,122,1501,17861
50,552,122,1321,18005
51,596,101,1190,18113
52,643,100,1065,18192
53,689,95,946,18270
54,719,89,831,18361
55,777,78,728,18417
56,822,80,634,18464
57,869,64,575,18492
58,921,60,545,18474
59,989,65,474,18472
60,1035,62,436,18467
61,1089,64,389,18458
62,1158,51,357,18434
63,1214,53,329,18404
64,1262,57,294,18387
65,1316,57,265,18362
66,1357,56,260,18327
67,1424,58,246,18272
68,1495,52,220,18233
69,1543,45,206,18206
70,1591,41,192,18176
71,1648,39,176,18137
72,1707,43,162,18088
73,1752,44,139,18065
74,1811,47,116,18026
75,1862,38,106,17994
76,1917,38,100,17945
77,1973,34,99,17894
78,2020,33,94,17853
79,2065,36,88,17811
80,2124,29,89,17758
81,2175,30,80,17715
82,2234,25,81,17660
83,2292,26,77,17605
84,2351,17,78,17554
85,2407,20,66,17507
86,2454,25,63,17458
87,2508,22,61,17409
88,2565,24,53,17358
89,2608,21,51,17320
90,2659,20,50,17271
91,2699,15,51,17235
92,2737,18,50,17195
93,2775,20,43,17162
94,2823,17,39,17121
95,2876,14,42,17068
96,2922,13,42,17023
97,2987,9,47,16957
98,3047,8,44,16901
99,3093,13,42,16852
100,3132,16,46,16806
101,3173,14,45,16768
102,3215,15,41,16729
103,3275,15,37,16673
104,3328,11,38,16623
105,3360,11,43,16586
106,3408,13,36,16543
107,3460,11,38,16491
108,3504,12,33,16451
109,3552,17,33,16398
110,3591,17,29,16363
111,3640,18,27,16315
112,3682,12,26,16280
113,3723,13,26,16238
114,3771,11,30,16188
115,3820,10,29,16141
116,3860,13,28,16099
117,3905,14,31,16050
118,3946,17,29,16008
119,3988,19,27,15966
120,4029,22,25,15924
121,4076,16,29,15879
122,4106,18,25,15851
123,4151,16,27,15806
124,4187,17,29,15767
125,4230,14,30,15726
126,4262,14,31,15693
127,4304,19,30,15647
128,4349,24,30,15597
129,4392,18,35,15555
130,4430,22,36,15512
131,4476,26,35,15463
132,4519,21,32,15428
133,4558,18,37,15387
134,4602,20,35,15343
135,4629,18,39,15314
136,4671,21,42,15266
137,4714,18,46,15222
138,4754,25,47,15174
139,4789,26,45,15140
140,4824,27,46,15103
141,4871,27,44,15058
142,4909,28,40,15023
143,4959,24,43,14974
144,4994,23,41,14942
145,5023,26,36,14915
146,5068,29,38,14865
147,5107,27,46,14820
148,5147,27,46,14780
149,5176,31,43,14750
150,5214,29,41,14716
151,5253,26,51,14670
152,5285,25,56,14634
153,5314,29,53,14604
154,5353,30,50,14567
155,5382,32,51,14535
156,5421,35,48,14496
157,5459,37,52,14452
158,5491,42,46,14421
159,5516,46,49,14389
160,5548,37,56,14359
161,5567,44,56,14333
162,5601,36,65,14298
163,5620,42,65,14273
164,5656,46,64,14234
165,5683,44,67,14206
166,5704,48,70,14178
167,5722,51,76,14151
168,5757,56,75,14112
169,5791,55,80,14074
170,5811,56,90,14043
171,5835,62,94,14009
172,5856,62,104,13978
173,5881,71,106,13942
174,5890,79,112,13919
175,5920,80,112,13888
176,5931,80,115,13874
177,5952,82,115,13851
178,5960,84,122,13834
179,5982,83,128,13807
180,5987,95,125,13793
181,5979,102,143,13776
182,5990,104,146,13760
183,5995,113,161,13731
184,5989,124,163,13724
185,5991,131,170,13708
186,5984,141,180,13695
187,5990,135,205,13670
188,5999,144,212,13645
189,6007,131,232,13630
190,5996,152,240,13612
191,5992,163,253,13592
192,5989,173,267,13571
193,5975,200,266,13559
194,5935,223,291,13551
195,5918,214,311,13557
196,5895,227,320,13558
197,5876,223,352,13549
198,5846,227,369,13558
199,5794,258,374,13574
200,5741,283,388,13588
201,5704,282,430,13584
202,5640,308,442,13610
203,5579,314,481,13626
204,5524,325,503,13648
205,5473,321,521,13685
206,5415,340,541,13704
207,5338,371,566,13725
208,5282,374,594,13750
209,5205,381,641,13773
210,5130,411,651,13808
211,5067,411,681,13841
212,4975,445,706,13874
213,4889,441,737,13933
214,4809,441,747,14003
215,4725,462,766,14047
216,4612,481,797,14110
217,4517,498,822,14163
218,4419,506,858,14217
219,4337,493,912,14258
220,4245,498,902,14355
221,4155,499,917,14429
222,4064,484,952,14500
223,3947,510,977,14566
224,3853,527,957,14663
225,3760,507,997,14736
226,3681,487,1015,14817
227,3613,461,1022,14904
228,3537,457,1026,14980
229,3450,472,1009,15069
230,3377,458,1023,15142
231,3295,474,1006,15225
232,3253,447,1003,15297
233,3190,443,994,15373
234,3136,423,982,15459
235,3085,432,978,15505
236,3045,432,983,15540
237,2991,423,976,15610
238,2960,427,948,15665
239,2927,391,943,15739
240,2897,403,924,15776
241,2884,390,893,15833
242,2851,375,899,15875
243,2844,344,910,15902
244,2805,361,867,15967
245,2815,335,868,15982
246,2787,352,828,16033
247,2746,351,798,16105
248,2748,334,788,16130
249,2752,313,777,16158
250,2733,302,745,16220
251,2725,306,707,16262
252,2728,286,720,16266
253,2765,269,708,16258
254,2776,266,684,16274
255,2779,242,689,16290
256,2795,254,655,16296
257,2793,257,620,16330
258,2815,251,606,16328
259,2843,256,579,16322
260,2850,238,574,16338
261,2906,214,569,16311
262,2947,198,565,16290
263,2949,200,549,16302
264,2978,205,527,16290
265,2994,217,518,16271
266,3021,208,518,16253
267,3056,206,482,16256
