t,S,E,I,R
0,19980,0,20,0
1,19963,17,15,5
2,19950,24,18,8
3,19923,44,23,10
4,19898,57,33,12
5,19867,76,42,15
6,19833,89,56,22
7,19784,113,74,29
8,19714,145,103,38
9,19626,185,135,54
10,19523,238,167,72
11,19383,315,203,99
12,19214,395,273,118
13,19008,486,357,149
14,18696,644,476,184
15,18321,848,581,250
16,17788,1143,753,316
17,17144,1471,966,419
18,16361,1801,1294,544
19,15425,2277,1607,691
20,14410,2674,2001,915
21,13170,3135,2536,1159
22,11833,3637,3058,1472
23,10344,4084,3695,1877
24,8836,4447,4353,2364
25,7404,4636,5013,2947
26,6056,4667,5632,3645
27,4785,4656,6154,4405
28,3718,4385,6667,5230
29,2829,4013,7006,6152
30,2198,3505,7217,7080
31,1666,3029,7251,8054
32,1282,2563,7179,8976
33,999,2121,7000,9880
34,794,1752,6661,10793
35,640,1451,6234,11675
36,536,1185,5816,12463
37,463,954,5377,13206
38,426,775,4933,13866
39,400,629,4483,14488
40,401,514,4065,15020
41,391,421,3698,15490
42,400,351,3347,15902
43,399,299,2968,16334
44,421,273,2625,16681
45,452,232,2337,16979
46,474,196,2094,17236
47,508,173,1852,17467
48,519,151,1645,17685
49,539,136,1461,17864
50,556,133,1283,18028
51,589,124,1147,18140
52,624,116,1025,18235
53,653,103,921,18323
54,696,88,832,18384
55,739,76,741,18444
56,799,75,642,18484
57,838,73,577,18512
58,884,72,511,18533
59,942,57,449,18552
60,987,72,392,18549
61,1039,66,354,18541
62,1098,62,320,18520
63,1139,63,287,18511
64,1198,54,272,18476
65,1251,44,259,18446
66,1317,41,225,18417
67,1374,43,202,18381
68,1424,40,189,18347
69,1484,38,170,18308
70,1538,32,156,18274
71,1585,34,139,18242
72,1629,33,123,18215
73,1691,29,117,18163
74,1761,27,103,18109
75,1815,30,100,18055
76,1867,27,89,18017
77,1917,33,86,17964
78,1949,31,89,17931
79,2015,26,89,17870
80,2075,23,83,17819
81,2137,23,77,17763
82,2197,26,63,17714
83,2258,21,66,17655
84,2308,16,61,17615
85,2360,20,60,17560
86,2399,20,63,17518
87,2449,19,64,17468
88,2502,18,64,17416
89,2553,19,56,17372
90,2606,21,48,17325
91,2644,19,51,17286
92,2699,17,48,17236
93,2747,14,44,17195
94,2810,15,39,17136
95,2854,17,35,17094
96,2892,14,34,17060
97,2936,15,31,17018
98,2981,19,31,16969
99,3028,17,30,16925
100,3064,13,31,16892
101,3116,13,31,16840
102,3167,14,31,16788
103,3210,11,37,16742
104,3254,10,34,16702
105,3301,10,29,16660
106,3328,11,28,16633
107,3382,15,28,16575
108,3423,15,24,16538
109,3461,15,23,16501
110,3522,10,26,16442
111,3561,11,26,16402
112,3605,10,23,16362
113,3651,13,21,16315
114,3695,11,20,16274
115,3738,10,21,16231
116,3776,7,21,16196
117,3822,7,22,16149
118,3861,10,22,16107
119,3912,7,21,16060
120,3964,5,20,16011
121,3995,5,21,15979
122,4049,5,18,15928
123,4092,9,17,15882
124,4138,9,18,15835
125,4187,7,19,15787
126,4248,7,16,15729
127,4303,9,14,15674
128,4338,13,14,15635
129,4385,15,14,15586
130,4423,12,18,15547
131,4465,13,20,15502
132,4515,13,19,15453
133,4551,13,22,15414
134,4595,16,24,15365
135,4636,12,26,15326
136,4678,13,25,15284
137,4724,17,23,15236
138,4765,15,25,15195
139,4825,11,29,15135
140,4869,10,23,15098
141,4901,11,22,15066
142,4942,16,22,15020
143,4980,17,22,14981
144,5019,21,21,14939
145,5053,20,20,14907
146,5082,20,24,14874
147,5116,21,26,14837
148,5155,23,26,14796
149,5200,27,26,14747
