t,S,E,I,R
0,19980,0,20,0
1,19968,12,18,2
2,19951,23,21,5
3,19936,35,21,8
4,19926,37,26,11
5,19904,50,30,16
6,19875,65,40,20
7,19850,70,54,26
8,19797,107,65,31
9,19749,128,83,40
10,19682,163,107,48
11,19583,215,147,55
12,19448,292,189,71
13,19272,378,251,99
14,19076,454,340,130
15,18794,599,425,182
16,18472,742,546,240
17,18046,978,680,296
18,17501,1236,867,396
19,16834,1553,1110,503
20,16000,1938,1411,651
21,15063,2306,1794,837
22,13917,2783,2213,1087
23,12669,3273,2691,1367
24,11302,3666,3339,1693
25,9842,4099,3906,2153
26,8337,4482,4511,2670
27,6881,4669,5198,3252
28,5553,4624,5904,3919
29,4373,4497,6415,4715
30,3416,4225,6863,5496
31,2614,3866,7056,6464
32,2042,3361,7203,7394
33,1576,2841,7246,8337
34,1174,2433,7117,9276
35,906,2011,6915,10168
36,697,1696,6514,11093
37,579,1363,6101,11957
38,474,1118,5617,12791
39,437,874,5183,13506
40,405,710,4736,14149
41,375,584,4240,14801
42,367,475,3839,15319
43,344,391,3483,15782
44,353,320,3109,16218
45,362,260,2794,16584
46,385,227,2481,16907
47,410,195,2215,17180
48,432,166,1948,17454
49,468,146,1746,17640
50,511,129,1535,17825
51,559,113,1358,17970
52,596,98,1234,18072
53,630,96,1097,18177
54,678,86,966,18270
55,723,85,845,18347
56,776,72,759,18393
57,835,70,663,18432
58,889,62,589,18460
59,936,64,527,18473
60,987,55,479,18479
61,1039,51,438,18472
62,1082,62,391,18465
63,1123,61,358,18458
64,1177,56,321,18446
65,1222,64,291,18423
66,1266,54,276,18404
67,1314,48,246,18392
68,1375,44,210,18371
69,1421,49,182,18348
70,1474,49,173,18304
71,1523,46,160,18271
72,1577,41,143,18239
73,1638,39,129,18194
74,1686,37,123,18154
75,1750,34,114,18102
76,1822,32,106,18040
77,1888,29,98,17985
78,1947,27,97,17929
79,2002,30,88,17880
80,2052,30,82,17836
81,2090,29,81,17800
82,2133,29,70,17768
83,2182,26,70,17722
84,2240,22,70,17668
85,2280,28,66,17626
86,2325,27,58,17590
87,2373,25,57,17545
88,2427,25,49,17499
89,2476,21,46,17457
90,2519,22,45,17414
91,2578,27,39,17356
92,2639,22,45,17294
93,2704,19,43,17234
94,2750,18,44,17188
95,2797,18,39,17146
96,2845,19,37,17099
97,2903,18,38,17041
98,2955,14,36,16995
99,3005,15,35,16945
100,3060,19,32,16889
101,3113,20,33,16834
102,3160,24,35,16781
103,3199,26,35,16740
104,3244,25,36,16695
105,3292,21,34,16653
106,3351,17,33,16599
107,3393,18,29,16560
108,3450,15,28,16507
109,3493,19,31,16457
110,3545,18,30,16407
111,3597,20,31,16352
112,3645,17,30,16308
113,3698,16,33,16253
114,3724,20,35,16221
115,3779,13,38,16170
116,3829,12,40,16119
117,3873,14,40,16073
118,3914,15,40,16031
119,3955,18,39,15988
120,3990,24,37,15949
121,4033,20,38,15909
122,4084,18,42,15856
123,4122,18,39,15821
124,4167,20,37,15776
125,4220,23,36,15721
126,4256,24,34,15686
127,4303,21,35,15641
128,4341,25,31,15603
129,4379,19,42,15560
130,4401,20,43,15536
131,4438,21,40,15501
132,4473,21,39,15467
133,4512,21,42,15425
134,4559,21,45,15375
135,4580,25,41,15354
136,4624,23,44,15309
137,4661,23,45,15271
138,4699,24,46,15231
139,4743,26,47,15184
140,4774,32,44,15150
141,4801,38,46,15115
142,4836,33,48,15083
143,4866,37,47,15050
144,4912,32,47,15009
145,4949,36,45,14970
146,4983,39,44,14934
147,5031,30,53,14886
148,5062,30,58,14850
149,5092,34,63,14811
150,5126,35,66,14773
151,5154,37,68,14741
152,5180,43,73,14704
153,5202,48,80,14670
154,5228,54,82,14636
155,5252,60,85,14603
156,5275,65,90,14570
157,5296,70,94,14540
158,5322,74,99,14505
159,5345,72,109,14474
160,5362,72,116,14450
161,5379,80,113,14428
162,5390,80,128,14402
163,5396,97,124,14383
164,5399,96,141,14364
165,5403,104,139,14354
166,5412,100,162,14326
167,5436,105,165,14294
168,5439,111,176,14274
169,5450,124,177,14249
170,5479,112,195,14214
171,5490,117,199,14194
172,5492,125,213,14170
173,5494,125,219,14162
174,5496,143,227,14134
175,5497,147,228,14128
176,5497,142,237,14124
177,5512,143,244,14101
178,5504,149,250,14097
179,5490,165,263,14082
180,5459,189,272,14080
181,5469,188,269,14074
182,5449,198,290,14063
183,5437,194,321,14048
184,5413,212,332,14043
185,5385,222,349,14044
186,5346,223,374,14057
187,5309,236,399,14056
188,5271,261,410,14058
189,5226,284,440,14050
190,5186,287,475,14052
191,5136,293,496,14075
192,5095,313,513,14079
193,5042,331,518,14109
194,4980,345,535,14140
195,4926,346,564,14164
196,4873,363,587,14177
197,4791,378,608,14223
198,4703,412,628,14257
199,4637,401,659,14303
200,4562,412,681,14345
201,4479,427,686,14408
202,4436,412,721,14431
203,4360,413,729,14498
204,4290,416,749,14545
205,4229,400,765,14606
206,4141,413,785,14661
207,4094,416,803,14687
208,4029,429,804,14738
209,3960,418,834,14788
210,3895,433,830,14842
211,3832,430,840,14898
212,3766,436,831,14967
213,3706,440,845,15009
214,3644,441,834,15081
215,3577,435,864,15124
216,3483,479,851,15187
217,3425,461,853,15261
218,3387,434,861,15318
219,3319,430,847,15404
220,3284,415,851,15450
221,3248,415,834,15503
222,3213,396,834,15557
223,3163,388,832,15617
224,3134,365,827,15674
225,3106,369,829,15696
226,3079,351,843,15727
227,3047,333,827,15793
228,3047,315,798,15840
229,3026,317,773,15884
230,3022,317,763,15898
231,2999,321,748,15932
232,2996,308,739,15957
233,2974,304,731,15991
234,2964,287,719,16030
235,2982,271,687,16060
236,2987,274,647,16092
237,2997,256,653,16094
238,3001,264,630,16105
239,3005,254,601,16140
240,3015,251,594,16140
241,3044,236,589,16131
242,3074,241,575,16110
243,3070,252,582,16096
244,3074,248,564,16114
245,3107,232,553,16108
246,3129,231,538,16102
247,3146,225,535,16094
248,3154,254,525,16067
249,3151,246,515,16088
250,3188,238,506,16068
251,3230,219,499,16052
252,3242,235,490,16033
253,3262,212,498,16028
254,3287,215,482,16016
255,3319,207,478,15996
256,3336,208,473,15983
257,3372,202,465,15961
258,3414,198,463,15925
259,3418,199,452,15931
260,3451,194,443,15912
261,3478,202,440,15880
262,3520,199,436,15845
263,3556,183,434,15827
264,3591,192,405,15812
265,3618,191,399,15792
266,3639,203,398,15760
267,3673,196,406,15725
268,3705,186,415,15694
269,3760,182,397,15661
270,3783,211,388,15618
271,3806,202,399,15593
272,3818,213,384,15585
273,3859,216,383,15542
274,3896,213,393,15498
275,3908,216,393,15483
276,3917,213,401,15469
277,3948,229,406,15417
278,3957,238,420,15385
279,3964,240,422,15374
280,3986,240,423,15351
281,4014,238,426,15322
282,4035,242,430,15293
283,4063,221,443,15273
284,4087,219,441,15253
285,4099,221,451,15229
286,4117,238,438,15207
287,4143,229,442,15186
288,4167,216,439,15178
289,4167,227,436,15170
290,4183,242,439,15136
291,4211,239,452,15098
292,4219,261,449,15071
293,4214,274,468,15044
294,4234,257,465,15044
295,4226,270,469,15035
296,4218,271,479,15032
297,4222,272,497,15009
298,4229,274,506,14991
299,4221,292,512,14975
300,4223,265,550,14962
301,4208,292,552,14948
302,4191,298,563,14948
303,4192,289,565,14954
304,4175,299,588,14938
305,4163,297,607,14933
306,4134,288,626,14952
307,4105,300,630,14965
308,4097,322,627,14954
309,4082,323,634,14961
310,4044,342,654,14960
311,4019,343,679,14959
312,3989,350,699,14962
313,3946,386,695,14973
314,3940,394,706,14960
315,3918,404,722,14956
316,3902,391,728,14979
317,3879,400,732,14989
318,3863,396,773,14968
319,3837,402,785,14976
320,3789,418,793,15000
321,3758,409,817,15016
322,3753,411,818,15018
323,3707,427,827,15039
324,3660,433,835,15072
325,3629,431,833,15107
326,3606,420,851,15123
327,3590,394,857,15159
328,3572,377,861,15190
329,3549,398,845,15208
330,3533,397,859,15211
331,3503,405,857,15235
332,3469,423,842,15266
333,3447,409,840,15304
334,3432,401,834,15333
335,3417,390,844,15349
336,3395,382,850,15373
337,3397,378,836,15389
338,3364,420,802,15414
339,3346,402,792,15460
340,3342,415,770,15473
341,3341,406,753,15500
342,3355,391,761,15493
343,3372,335,791,15502
344,3349,357,764,15530
345,3358,331,786,15525
346,3340,330,774,15556
347,3352,326,772,15550
348,3346,327,766,15561
349,3350,338,730,15582
350,3352,335,727,15586
351,3366,334,718,15582
352,3385,318,707,15590
353,3364,338,690,15608
354,3366,320,702,15612
355,3355,346,675,15624
356,3352,339,691,15618
357,3373,321,681,15625
358,3403,308,670,15619
359,3430,315,657,15598
360,3437,338,643,15582
361,3441,344,662,15553
362,3464,325,648,15563
363,3467,316,644,15573
364,3487,302,630,15581
365,3506,296,620,15578
366,3516,308,612,15564
367,3542,294,622,15542
368,3571,296,631,15502
369,3571,300,643,15486
370,3577,302,629,15492
371,3588,298,628,15486
372,3601,288,641,15470
373,3594,308,627,15471
374,3596,306,629,15469
375,3589,317,616,15478
376,3599,329,610,15462
377,3631,299,629,15441
378,3645,298,648,15409
379,3644,299,649,15408
380,3650,297,674,15379
381,3663,306,658,15373
382,3667,324,648,15361
383,3701,311,655,15333
384,3704,291,671,15334
385,3715,300,672,15313
386,3709,292,686,15313
387,3725,296,674,15305
388,3690,338,679,15293
389,3676,327,685,15312
390,3690,331,681,15298
391,3696,311,693,15300
392,3695,334,678,15293
393,3697,323,693,15287
394,3698,323,693,15286
395,3678,355,679,15288
396,3672,369,670,15289
397,3650,375,675,15300
398,3642,369,670,15319
399,3650,349,664,15337
400,3641,351,666,15342
401,3663,301,693,15343
402,3659,326,680,15335
403,3681,320,677,15322
404,3664,339,687,15310
405,3667,335,692,15306
406,3671,339,678,15312
407,3677,338,662,15323
408,3670,317,686,15327
409,3669,316,695,15320
410,3685,313,683,15319
411,3680,306,679,15335
412,3663,322,666,15349
413,3668,319,678,15335
414,3670,303,702,15325
415,3667,314,690,15329
416,3669,302,702,15327
417,3666,323,686,15325
418,3632,352,688,15328
419,3658,326,709,15307
420,3665,344,681,15310
421,3654,355,675,15316
422,3653,348,668,15331
423,3671,339,674,15316
424,3689,347,679,15285
425,3672,337,695,15296
426,3641,340,699,15320
427,3647,336,680,15337
428,3657,315,697,15331
429,3664,323,676,15337
430,3678,332,663,15327
431,3677,310,693,15320
432,3657,326,689,15328
433,3635,330,679,15356
434,3636,336,681,15347
435,3631,345,681,15343
436,3628,349,661,15362
437,3656,331,679,15334
438,3670,328,668,15334
439,3672,315,672,15341
440,3698,301,680,15321
441,3721,300,650,15329
442,3708,306,653,15333
443,3717,304,650,15329
444,3720,314,664,15302
445,3714,328,644,15314
446,3736,321,642,15301
447,3723,341,637,15299
448,3697,345,643,15315
449,3693,330,648,15329
450,3663,351,639,15347
451,3689,329,658,15324
452,3702,333,653,15312
453,3721,326,664,15289
454,3737,324,663,15276
455,3714,329,677,15280
456,3719,338,667,15276
457,3711,354,659,15276
458,3713,367,659,15261
459,3731,349,686,15234
460,3730,359,682,15229
461,3717,379,691,15213
462,3713,362,717,15208
463,3692,374,708,15226
464,3685,360,710,15245
465,3666,349,727,15258
466,3647,362,735,15256
467,3624,360,758,15258
468,3614,362,768,15256
469,3604,359,755,15282
470,3583,385,740,15292
471,3576,387,748,15289
472,3537,396,747,15320
473,3549,378,784,15289
474,3544,370,762,15324
475,3520,363,760,15357
476,3524,347,776,15353
477,3540,324,773,15363
478,3513,333,774,15380
479,3524,315,761,15400
480,3519,315,743,15423
481,3503,321,739,15437
482,3501,313,755,15431
483,3524,311,731,15434
484,3496,333,719,15452
485,3515,321,725,15439
486,3508,326,732,15434
487,3476,369,711,15444
488,3495,335,722,15448
489,3517,325,716,15442
490,3505,339,710,15446
491,3519,332,714,15435
492,3500,355,693,15452
493,3503,350,697,15450
494,3469,347,694,15490
495,3451,369,682,15498
496,3462,334,696,15508
497,3484,330,694,15492
498,3480,359,670,15491
499,3482,344,668,15506
500,3484,330,678,15508
501,3504,314,712,15470
502,3527,300,709,15464
503,3526,310,705,15459
504,3522,307,690,15481
505,3533,307,678,15482
506,3551,300,679,15470
507,3533,306,667,15494
508,3521,322,667,15490
509,3535,303,689,15473
510,3545,302,675,15478
511,3562,301,684,15453
512,3573,305,687,15435
513,3573,325,669,15433
514,3580,327,664,15429
515,3576,340,651,15433
516,3582,320,667,15431
517,3608,310,700,15382
518,3593,333,694,15380
519,3595,331,693,15381
520,3600,348,669,15383
521,3608,347,671,15374
522,3602,346,683,15369
523,3609,341,692,15358
524,3602,360,683,15355
525,3592,366,689,15353
526,3589,356,694,15361
527,3612,325,713,15350
528,3620,333,701,15346
529,3608,336,691,15365
530,3604,342,686,15368
531,3604,342,680,15374
532,3603,349,673,15375
533,3610,326,677,15387
534,3608,346,665,15381
535,3630,336,675,15359
536,3642,349,650,15359
537,3657,326,661,15356
538,3652,293,683,15372
539,3667,294,678,15361
540,3670,307,666,15357
541,3666,319,660,15355
542,3667,327,672,15334
543,3687,322,670,15321
544,3705,300,676,15319
545,3710,309,662,15319
546,3716,295,670,15319
547,3717,318,642,15323
548,3718,311,645,15326
549,3725,309,661,15305
550,3719,326,653,15302
551,3756,311,642,15291
552,3763,332,629,15276
553,3767,340,632,15261
554,3777,344,621,15258
555,3788,323,644,15245
556,3805,331,632,15232
557,3784,319,646,15251
558,3794,326,628,15252
559,3786,323,653,15238
560,3797,338,642,15223
561,3814,353,636,15197
562,3812,335,656,15197
563,3833,330,649,15188
564,3855,340,633,15172
565,3856,353,614,15177
566,3858,361,632,15149
567,3871,361,641,15127
568,3879,344,660,15117
569,3869,352,675,15104
570,3899,330,679,15092
571,3896,339,684,15081
572,3885,360,693,15062
573,3882,364,703,15051
574,3858,377,700,15065
575,3851,368,720,15061
576,3872,350,713,15065
577,3869,355,685,15091
578,3894,347,684,15075
579,3881,358,682,15079
580,3872,353,706,15069
581,3857,346,716,15081
582,3873,358,684,15085
583,3874,353,696,15077
584,3872,354,705,15069
585,3880,353,692,15075
586,3882,354,697,15067
587,3902,354,718,15026
588,3881,372,739,15008
589,3903,367,741,14989
590,3906,378,750,14966
591,3861,379,770,14990
592,3837,391,781,14991
593,3821,385,794,15000
594,3809,392,795,15004
595,3787,412,778,15023
596,3766,420,781,15033
597,3731,433,800,15036
598,3723,401,832,15044
599,3713,365,856,15066
600,3686,385,844,15085
601,3684,385,840,15091
602,3648,404,846,15102
603,3624,402,849,15125
604,3588,416,847,15149
605,3565,419,852,15164
606,3558,425,847,15170
607,3542,394,832,15232
608,3539,408,832,15221
609,3509,424,836,15231
610,3517,414,844,15225
611,3494,408,831,15267
612,3486,407,825,15282
613,3474,414,814,15298
614,3473,419,832,15276
615,3494,389,859,15258
616,3464,388,852,15296
617,3457,372,843,15328
618,3413,398,833,15356
619,3419,371,832,15378
620,3413,362,809,15416
621,3409,370,785,15436
622,3387,362,800,15451
623,3365,366,794,15475
624,3366,389,771,15474
625,3364,359,786,15491
626,3354,352,784,15510
627,3346,344,775,15535
628,3326,353,770,15551
629,3336,362,746,15556
630,3333,353,757,15557
631,3356,359,738,15547
632,3352,345,767,15536
633,3356,358,743,15543
634,3349,363,747,15541
635,3338,365,742,15555
636,3368,338,753,15541
637,3368,332,752,15548
638,3384,321,751,15544
639,3373,341,742,15544
640,3348,366,747,15539
641,3377,348,734,15541
642,3375,345,732,15548
643,3389,336,724,15551
