t,S,E,I,R
0,19980,0,20,0
1,19960,20,19,1
2,19949,25,22,4
3,19931,36,26,7
4,19909,45,33,13
5,19883,60,39,18
6,19833,87,54,26
7,19786,114,67,33
8,19723,151,89,37
9,19639,192,118,51
10,19518,260,152,70
11,19399,309,196,96
12,19229,382,270,119
13,18986,512,340,162
14,18699,640,468,193
15,18309,865,568,258
16,17837,1104,729,330
17,17293,1333,944,430
18,16565,1686,1195,554
19,15676,2093,1509,722
20,14670,2514,1899,917
21,13488,3023,2342,1147
22,12162,3477,2900,1461
23,10726,3903,3487,1884
24,9251,4289,4121,2339
25,7736,4565,4788,2911
26,6298,4735,5465,3502
27,5013,4641,6169,4177
28,3884,4420,6752,4944
29,2946,4158,7099,5797
30,2248,3695,7393,6664
31,1673,3247,7467,7613
32,1297,2713,7421,8569
33,1014,2232,7243,9511
34,787,1813,6977,10423
35,635,1476,6583,11306
36,527,1208,6072,12193
37,472,957,5592,12979
38,425,764,5065,13746
39,396,603,4615,14386
40,385,501,4150,14964
41,372,412,3750,15466
42,378,325,3361,15936
43,391,280,2994,16335
44,411,236,2639,16714
45,438,202,2382,16978
46,459,181,2134,17226
47,487,167,1872,17474
48,527,139,1692,17642
49,573,119,1473,17835
50,616,100,1333,17951
51,665,88,1152,18095
52,710,89,1010,18191
53,743,98,898,18261
54,782,91,797,18330
55,835,79,726,18360
56,865,91,630,18414
57,919,80,576,18425
58,967,73,525,18435
59,1014,77,474,18435
60,1057,77,410,18456
61,1102,65,389,18444
62,1173,54,367,18406
63,1222,50,335,18393
64,1296,52,300,18352
65,1351,45,267,18337
66,1417,38,227,18318
67,1468,40,194,18298
68,1530,42,165,18263
69,1574,41,148,18237
70,1641,30,138,18191
71,1691,24,130,18155
72,1756,30,115,18099
73,1805,32,106,18057
74,1845,32,94,18029
75,1901,23,98,17978
76,1954,21,87,17938
77,2015,15,82,17888
78,2078,19,73,17830
79,2124,27,61,17788
80,2175,24,63,17738
81,2216,24,63,17697
82,2268,24,62,17646
83,2317,26,60,17597
84,2358,17,56,17569
85,2413,19,43,17525
86,2465,16,50,17469
87,2531,14,46,17409
88,2597,20,42,17341
89,2648,21,32,17299
90,2702,18,32,17248
91,2742,15,32,17211
92,2794,12,31,17163
93,2854,14,30,17102
94,2917,16,28,17039
95,2969,18,24,16989
96,3009,14,30,16947
97,3049,14,24,16913
98,3104,12,24,16860
99,3154,9,27,16810
100,3203,8,28,16761
101,3248,11,28,16713
102,3292,11,28,16669
103,3343,12,25,16620
104,3387,13,24,16576
105,3438,14,18,16530
106,3485,10,21,16484
107,3529,11,21,16439
108,3572,14,22,16392
109,3611,13,24,16352
110,3669,8,28,16295
111,3702,9,30,16259
112,3753,11,28,16208
113,3788,12,30,16170
114,3824,12,32,16132
115,3868,12,29,16091
116,3902,12,29,16057
117,3948,10,30,16012
118,3982,12,28,15978
119,4028,17,26,15929
120,4085,12,28,15875
121,4131,15,26,15828
122,4162,16,31,15791
123,4191,22,30,15757
124,4234,18,33,15715
125,4273,17,34,15676
126,4312,11,42,15635
127,4352,12,38,15598
128,4398,11,34,15557
129,4435,17,29,15519
130,4469,24,30,15477
131,4528,22,34,15416
132,4572,24,33,15371
133,4632,20,29,15319
134,4669,18,33,15280
135,4711,21,37,15231
136,4736,28,42,15194
137,4778,31,42,15149
138,4806,29,47,15118
139,4835,32,54,15079
140,4877,36,55,15032
141,4906,31,60,15003
142,4926,43,62,14969
143,4951,47,63,14939
144,4987,45,66,14902
145,5003,48,66,14883
146,5039,42,78,14841
147,5082,41,84,14793
148,5118,42,84,14756
149,5161,45,81,14713
150,5184,52,84,14680
151,5215,62,78,14645
152,5245,63,87,14605
153,5278,56,101,14565
154,5290,71,95,14544
155,5311,77,102,14510
156,5324,77,106,14493
157,5342,70,123,14465
158,5366,84,122,14428
