t,S,E,I,R
0,19980,0,20,0
1,19962,18,19,1
2,19951,22,23,4
3,19933,35,25,7
4,19911,49,28,12
5,19890,55,37,18
6,19843,81,55,21
7,19796,104,70,30
8,19741,129,84,46
9,19672,166,105,57
10,19560,229,138,73
11,19412,308,194,86
12,19255,374,256,115
13,19034,478,329,159
14,18738,635,429,198
15,18423,776,558,243
16,17978,993,711,318
17,17423,1252,908,417
18,16736,1592,1126,546
19,15889,2003,1409,699
20,14961,2361,1770,908
21,13850,2816,2194,1140
22,12573,3301,2689,1437
23,11171,3742,3287,1800
24,9630,4184,3948,2238
25,8121,4541,4557,2781
26,6752,4663,5219,3366
27,5423,4679,5848,4050
28,4271,4537,6383,4809
29,3367,4231,6744,5658
30,2546,3880,7017,6557
31,1934,3425,7157,7484
32,1507,2849,7269,8375
33,1173,2425,7052,9350
34,925,1988,6798,10289
35,770,1637,6441,11152
36,658,1314,6053,11975
37,553,1069,5633,12745
38,499,890,5165,13446
39,455,711,4736,14098
40,428,576,4308,14688
41,411,479,3869,15241
42,416,390,3500,15694
43,426,315,3117,16142
44,450,250,2821,16479
45,474,224,2513,16789
46,487,190,2306,17017
47,498,166,2047,17289
48,512,162,1823,17503
49,546,134,1644,17676
50,574,124,1451,17851
51,616,122,1284,17978
52,640,117,1137,18106
53,676,104,1021,18199
54,728,100,906,18266
55,764,96,795,18345
56,811,95,724,18370
57,851,86,655,18408
58,903,80,579,18438
59,942,75,512,18471
60,982,69,479,18470
61,1029,70,438,18463
62,1085,67,391,18457
63,1125,66,347,18462
64,1175,64,315,18446
65,1210,59,306,18425
66,1261,47,279,18413
67,1332,45,260,18363
68,1393,46,234,18327
69,1442,41,224,18293
70,1514,38,204,18244
71,1568,39,176,18217
72,1618,41,147,18194
73,1670,38,135,18157
74,1720,33,124,18123
75,1795,27,110,18068
76,1852,23,104,18021
77,1905,22,100,17973
78,1958,21,87,17934
79,2012,15,84,17889
80,2049,19,80,17852
81,2094,20,71,17815
82,2155,20,68,17757
83,2203,14,60,17723
84,2269,13,49,17669
85,2337,14,44,17605
86,2407,14,42,17537
87,2471,17,41,17471
88,2518,11,45,17426
89,2579,9,35,17377
90,2634,8,34,17324
91,2695,9,29,17267
92,2755,8,27,17210
93,2822,4,29,17145
94,2885,4,25,17086
95,2937,5,22,17036
96,3001,4,19,16976
97,3058,5,16,16921
98,3096,6,13,16885
99,3154,7,8,16831
100,3198,7,10,16785
101,3246,7,8,16739
102,3288,5,11,16696
103,3337,6,10,16647
104,3393,2,12,16593
105,3439,2,7,16552
106,3488,0,9,16503
107,3534,2,9,16455
108,3575,4,10,16411
109,3621,4,11,16364
110,3674,5,10,16311
111,3719,6,11,16264
112,3770,6,13,16211
113,3815,6,14,16165
114,3859,8,16,16117
115,3903,8,16,16073
116,3958,7,17,16018
117,4004,6,15,15975
