t,S,E,I,R
0,19980,0,20,0
1,19965,15,15,5
2,19948,29,16,7
3,19930,36,24,10
4,19912,44,29,15
5,19891,56,34,19
6,19855,79,43,23
7,19821,91,61,27
8,19782,105,77,36
9,19710,151,95,44
10,19634,185,125,56
11,19510,257,160,73
12,19379,317,210,94
13,19189,419,270,122
14,18934,557,354,155
15,18634,705,455,206
16,18213,932,595,260
17,17746,1116,802,336
18,17127,1416,1026,431
19,16320,1803,1331,546
20,15378,2229,1685,708
21,14259,2720,2094,927
22,13047,3195,2574,1184
23,11673,3646,3119,1562
24,10195,4064,3784,1957
25,8685,4455,4386,2474
26,7227,4691,5044,3038
27,5829,4756,5750,3665
28,4622,4634,6338,4406
29,3607,4341,6804,5248
30,2758,3968,7166,6108
31,2106,3564,7285,7045
32,1625,3067,7361,7947
33,1207,2681,7227,8885
34,910,2230,7018,9842
35,712,1815,6720,10753
36,591,1427,6376,11606
37,510,1161,5936,12393
38,460,919,5494,13127
39,405,737,5051,13807
40,391,572,4558,14479
41,384,454,4133,15029
42,385,364,3702,15549
43,399,309,3327,15965
44,410,255,2997,16338
45,418,204,2692,16686
46,421,177,2410,16992
47,434,155,2168,17243
48,440,143,1933,17484
49,470,135,1665,17730
50,511,119,1459,17911
51,535,106,1314,18045
52,598,91,1169,18142
53,627,99,1031,18243
54,649,102,910,18339
55,689,83,835,18393
56,733,79,755,18433
57,787,78,674,18461
58,827,75,605,18493
59,874,69,551,18506
60,937,51,507,18505
61,1009,51,447,18493
62,1060,51,388,18501
63,1111,49,337,18503
64,1163,54,303,18480
65,1225,42,284,18449
66,1276,43,253,18428
67,1318,48,227,18407
68,1387,40,209,18364
69,1453,39,183,18325
70,1526,34,169,18271
71,1587,30,151,18232
72,1643,34,135,18188
73,1697,34,112,18157
74,1748,28,109,18115
75,1815,27,105,18053
76,1880,32,96,17992
77,1944,25,89,17942
78,2004,27,79,17890
79,2089,26,66,17819
80,2149,22,65,17764
81,2209,20,61,17710
82,2261,20,55,17664
83,2313,19,50,17618
84,2364,18,52,17566
85,2428,16,43,17513
86,2478,13,44,17465
87,2534,13,44,17409
88,2595,17,42,17346
89,2636,16,42,17306
90,2686,12,41,17261
91,2731,16,38,17215
92,2761,16,39,17184
93,2798,17,40,17145
94,2848,15,41,17096
95,2899,18,38,17045
96,2939,20,37,17004
97,2992,15,35,16958
98,3029,15,37,16919
99,3077,20,28,16875
100,3119,17,31,16833
101,3155,20,29,16796
102,3216,15,28,16741
103,3267,17,30,16686
104,3321,16,30,16633
105,3368,11,29,16592
106,3416,12,28,16544
107,3454,9,33,16504
108,3515,9,32,16444
109,3552,5,33,16410
110,3594,5,29,16372
111,3638,9,27,16326
112,3685,8,26,16281
113,3728,11,21,16240
114,3764,11,21,16204
115,3813,9,21,16157
116,3850,9,23,16118
117,3895,9,22,16074
118,3943,12,21,16024
119,3979,12,25,15984
120,4028,11,26,15935
121,4070,8,24,15898
122,4130,8,22,15840
123,4158,12,18,15812
124,4194,13,19,15774
125,4244,11,16,15729
126,4298,10,15,15677
127,4344,10,14,15632
128,4373,12,12,15603
129,4435,10,11,15544
130,4479,8,14,15499
131,4528,8,13,15451
132,4567,9,10,15414
133,4603,9,12,15376
134,4644,10,14,15332
135,4692,15,12,15281
136,4726,15,16,15243
137,4769,16,15,15200
138,4802,15,22,15161
139,4830,17,26,15127
140,4874,16,25,15085
141,4908,17,23,15052
142,4947,16,26,15011
143,4981,14,30,14975
144,5022,13,33,14932
145,5058,14,38,14890
146,5100,17,34,14849
147,5139,21,36,14804
148,5177,25,38,14760
149,5207,28,35,14730
150,5247,32,40,14681
151,5295,30,45,14630
152,5339,30,46,14585
153,5371,31,44,14554
154,5412,35,39,14514
155,5437,38,46,14479
156,5469,34,51,14446
157,5496,32,55,14417
158,5520,36,58,14386
159,5543,38,62,14357
160,5566,51,64,14319
161,5587,55,60,14298
162,5617,59,66,14258
163,5653,49,78,14220
164,5682,53,80,14185
165,5706,54,87,14153
166,5729,57,96,14118
167,5747,67,93,14093
168,5764,69,93,14074
169,5793,77,100,14030
170,5803,81,107,14009
171,5816,88,120,13976
172,5824,99,131,13946
173,5810,120,146,13924
174,5824,117,166,13893
175,5820,128,177,13875
176,5817,137,195,13851
177,5805,146,215,13834
178,5792,159,227,13822
179,5780,179,231,13810
180,5779,169,254,13798
181,5759,177,262,13802
182,5747,183,289,13781
183,5716,198,311,13775
184,5669,213,325,13793
185,5625,239,319,13817
186,5582,244,343,13831
187,5552,259,365,13824
188,5511,279,394,13816
189,5461,289,430,13820
190,5390,303,462,13845
191,5328,320,478,13874
192,5284,306,525,13885
193,5233,321,536,13910
194,5151,350,557,13942
195,5089,361,592,13958
196,5013,381,615,13991
197,4934,402,639,14025
198,4858,408,665,14069
199,4802,410,687,14101
200,4727,421,706,14146
201,4634,441,725,14200
202,4555,448,746,14251
203,4455,456,789,14300
204,4400,464,773,14363
205,4318,482,787,14413
206,4240,474,803,14483
207,4160,478,825,14537
208,4090,482,844,14584
209,4015,470,868,14647
210,3952,467,868,14713
211,3877,451,917,14755
212,3811,433,944,14812
213,3744,437,943,14876
214,3689,436,936,14939
215,3628,442,909,15021
216,3554,452,919,15075
217,3480,471,910,15139
218,3425,440,918,15217
219,3369,428,932,15271
220,3318,414,940,15328
221,3265,428,907,15400
222,3238,397,921,15444
223,3172,424,886,15518
224,3146,407,897,15550
225,3082,426,872,15620
226,3031,430,862,15677
227,2992,401,870,15737
228,2950,402,845,15803
229,2925,407,848,15820
230,2903,370,871,15856
231,2891,357,858,15894
232,2854,349,852,15945
233,2847,320,851,15982
234,2819,331,820,16030
235,2819,322,792,16067
236,2817,299,770,16114
237,2811,287,748,16154
238,2804,287,711,16198
239,2812,282,702,16204
240,2808,290,703,16199
241,2804,282,697,16217
242,2826,256,679,16239
243,2829,244,670,16257
244,2824,249,664,16263
245,2839,247,633,16281
246,2856,235,628,16281
247,2844,237,622,16297
248,2869,225,607,16299
249,2888,225,605,16282
250,2905,222,581,16292
251,2939,225,560,16276
252,2972,210,547,16271
253,2997,205,542,16256
254,3014,209,511,16266
255,3023,213,502,16262
256,3060,207,499,16234
257,3113,197,491,16199
258,3166,189,474,16171
259,3192,203,446,16159
260,3240,197,441,16122
261,3275,193,435,16097
262,3252,228,428,16092
263,3283,234,434,16049
264,3322,227,420,16031
265,3376,205,423,15996
266,3398,215,424,15963
267,3423,235,417,15925
268,3450,211,441,15898
269,3498,192,447,15863
270,3522,202,428,15848
271,3540,199,433,15828
272,3559,194,437,15810
273,3596,191,429,15784
274,3619,194,406,15781
275,3640,190,408,15762
276,3659,194,403,15744
277,3676,208,389,15727
278,3681,217,392,15710
279,3718,206,379,15697
280,3755,186,396,15663
281,3760,201,394,15645
282,3787,207,383,15623
283,3802,211,380,15607
284,3815,209,394,15582
285,3838,205,405,15552
286,3850,204,417,15529
287,3887,206,404,15503
288,3900,218,409,15473
289,3945,204,413,15438
290,3970,204,423,15403
291,4001,222,424,15353
292,4008,229,433,15330
293,4025,225,460,15290
294,4028,246,450,15276
295,4052,246,467,15235
296,4089,252,475,15184
297,4073,278,482,15167
298,4089,276,506,15129
299,4089,277,526,15108
300,4086,272,539,15103
301,4118,265,531,15086
302,4111,290,547,15052
303,4126,299,542,15033
304,4121,285,581,15013
305,4123,300,575,15002
306,4097,311,567,15025
307,4100,314,576,15010
308,4092,309,598,15001
309,4084,315,610,14991
310,4064,341,581,15014
311,4064,329,595,15012
312,4074,334,604,14988
313,4057,330,618,14995
314,4063,328,643,14966
315,4061,328,660,14951
316,4033,345,673,14949
317,4015,355,681,14949
318,4026,354,677,14943
319,4008,353,685,14954
320,3998,358,688,14956
321,3966,387,686,14961
322,3948,375,723,14954
323,3907,388,731,14974
324,3888,380,739,14993
325,3857,397,765,14981
326,3832,393,774,15001
327,3831,406,763,15000
328,3823,386,776,15015
329,3793,414,765,15028
330,3775,416,777,15032
331,3732,427,789,15052
332,3724,409,806,15061
333,3719,392,831,15058
334,3693,381,838,15088
335,3678,375,840,15107
336,3658,388,826,15128
337,3660,379,823,15138
338,3621,406,814,15159
339,3613,399,819,15169
340,3569,419,828,15184
341,3544,425,842,15189
342,3534,405,861,15200
343,3523,397,857,15223
344,3511,414,849,15226
345,3499,389,838,15274
346,3462,394,830,15314
347,3432,409,835,15324
348,3432,371,856,15341
349,3383,395,838,15384
350,3364,420,829,15387
351,3357,399,843,15401
352,3325,383,838,15454
353,3329,401,822,15448
354,3343,363,843,15451
355,3335,352,847,15466
356,3320,347,836,15497
357,3300,346,809,15545
358,3295,353,811,15541
359,3284,350,780,15586
360,3284,349,790,15577
361,3297,346,795,15562
362,3298,348,781,15573
363,3302,336,771,15591
364,3329,335,745,15591
365,3326,333,749,15592
366,3346,334,729,15591
367,3368,305,740,15587
368,3375,323,712,15590
369,3351,319,720,15610
370,3347,329,699,15625
371,3351,334,691,15624
372,3399,293,697,15611
373,3420,279,693,15608
374,3434,278,696,15592
375,3436,300,677,15587
376,3438,302,683,15577
377,3445,300,669,15586
378,3463,284,672,15581
379,3477,297,645,15581
380,3480,306,637,15577
381,3510,305,621,15564
382,3529,293,655,15523
383,3529,315,650,15506
384,3542,309,618,15531
385,3549,328,618,15505
386,3588,311,633,15468
387,3613,296,654,15437
388,3597,325,609,15469
389,3621,315,622,15442
390,3644,302,615,15439
391,3662,286,645,15407
392,3671,285,646,15398
393,3669,299,631,15401
394,3659,304,634,15403
395,3662,300,645,15393
396,3680,308,652,15360
397,3676,312,673,15339
398,3696,314,671,15319
399,3693,338,658,15311
400,3696,325,672,15307
401,3692,339,670,15299
402,3676,340,691,15293
403,3661,341,708,15290
404,3680,337,715,15268
405,3653,335,726,15286
406,3681,311,713,15295
407,3669,323,730,15278
408,3658,341,730,15271
409,3662,340,736,15262
410,3662,332,743,15263
411,3667,355,733,15245
412,3672,358,735,15235
413,3663,352,729,15256
414,3656,361,727,15256
415,3672,335,729,15264
416,3677,330,756,15237
417,3648,368,732,15252
418,3643,362,747,15248
419,3643,379,727,15251
420,3638,376,731,15255
421,3624,379,726,15271
422,3621,377,732,15270
423,3584,409,726,15281
424,3581,397,746,15276
425,3590,378,755,15277
426,3591,357,776,15276
427,3571,360,762,15307
428,3569,359,754,15318
429,3554,358,768,15320
430,3551,373,763,15313
431,3533,375,763,15329
432,3521,371,760,15348
433,3525,362,772,15341
434,3514,377,750,15359
435,3522,384,748,15346
436,3516,383,746,15355
437,3514,377,757,15352
438,3484,369,760,15387
439,3485,352,768,15395
440,3478,350,769,15403
441,3458,351,751,15440
442,3463,345,749,15443
443,3447,339,764,15450
444,3445,322,780,15453
445,3439,333,748,15480
446,3448,329,738,15485
447,3469,313,734,15484
448,3434,327,741,15498
449,3430,328,738,15504
450,3411,339,730,15520
451,3422,346,730,15502
452,3418,346,739,15497
453,3397,364,733,15506
454,3377,363,755,15505
455,3367,369,755,15509
456,3363,366,753,15518
457,3384,346,756,15514
458,3396,331,768,15505
459,3388,334,750,15528
460,3375,332,773,15520
461,3368,342,762,15528
462,3379,334,743,15544
463,3368,350,759,15523
464,3356,341,748,15555
465,3383,332,730,15555
466,3378,337,721,15564
467,3388,334,698,15580
468,3391,317,696,15596
