t,S,E,I,R
0,19980,0,20,0
1,19963,17,16,4
2,19955,19,20,6
3,19944,25,17,14
4,19936,24,21,19
5,19915,38,25,22
6,19887,58,31,24
7,19851,77,46,26
8,19809,105,52,34
9,19751,138,73,38
10,19676,170,109,45
11,19577,220,145,58
12,19451,281,196,72
13,19292,347,264,97
14,19069,487,311,133
15,18818,612,402,168
16,18465,780,535,220
17,18078,954,675,293
18,17533,1224,863,380
19,16829,1583,1098,490
20,16020,1931,1402,647
21,15088,2279,1799,834
22,13999,2743,2176,1082
23,12727,3202,2715,1356
24,11379,3660,3239,1722
25,9939,4118,3766,2177
26,8448,4412,4468,2672
27,6959,4669,5108,3264
28,5616,4687,5747,3950
29,4408,4570,6329,4693
30,3419,4231,6792,5558
31,2623,3831,7053,6493
32,2020,3346,7272,7362
33,1521,2912,7213,8354
34,1149,2427,7172,9252
35,906,2038,6865,10191
36,727,1679,6560,11034
37,617,1325,6156,11902
38,528,1108,5644,12720
39,469,872,5226,13433
40,438,688,4805,14069
41,406,532,4397,14665
42,396,444,3943,15217
43,385,368,3537,15710
44,367,329,3194,16110
45,391,261,2876,16472
46,411,214,2592,16783
47,417,192,2320,17071
48,455,179,2076,17290
49,464,158,1879,17499
50,493,138,1682,17687
51,536,114,1520,17830
52,567,108,1336,17989
53,598,108,1191,18103
54,642,89,1070,18199
55,683,78,941,18298
56,738,71,836,18355
57,774,79,733,18414
58,823,84,653,18440
59,869,82,587,18462
60,922,71,538,18469
61,980,66,476,18478
62,1022,61,433,18484
63,1071,63,391,18475
64,1128,68,345,18459
65,1180,66,314,18440
66,1220,62,286,18432
67,1272,58,275,18395
68,1336,45,249,18370
69,1379,46,216,18359
70,1434,46,195,18325
71,1485,40,187,18288
72,1539,44,158,18259
73,1590,39,152,18219
74,1647,31,149,18173
75,1689,28,132,18151
76,1738,30,123,18109
77,1789,20,118,18073
78,1865,19,109,18007
79,1908,22,99,17971
80,1953,32,95,17920
81,2008,33,90,17869
82,2056,31,87,17826
83,2104,31,79,17786
84,2141,27,75,17757
85,2185,28,75,17712
86,2237,26,75,17662
87,2303,24,72,17601
88,2351,23,67,17559
89,2378,24,63,17535
90,2421,25,61,17493
91,2469,27,57,17447
92,2508,26,54,17412
93,2556,29,52,17363
94,2620,23,59,17298
95,2678,21,60,17241
96,2725,26,56,17193
97,2790,22,61,17127
98,2835,23,57,17085
99,2885,23,52,17040
100,2927,19,54,17000
101,2959,24,48,16969
102,3029,20,46,16905
103,3085,19,46,16850
104,3128,21,44,16807
105,3181,15,46,16758
106,3225,18,42,16715
107,3272,15,43,16670
108,3309,16,38,16637
109,3356,19,32,16593
110,3412,16,29,16543
111,3452,18,27,16503
112,3484,13,28,16475
113,3513,16,29,16442
114,3563,15,31,16391
115,3607,15,29,16349
116,3639,19,29,16313
117,3672,16,31,16281
118,3718,16,30,16236
119,3765,14,29,16192
120,3821,15,22,16142
121,3871,18,24,16087
122,3922,16,25,16037
123,3961,19,23,15997
124,4014,10,29,15947
125,4071,9,34,15886
126,4107,14,29,15850
127,4145,16,27,15812
128,4185,16,27,15772
129,4216,14,27,15743
130,4242,14,24,15720
131,4290,10,26,15674
132,4339,12,28,15621
133,4375,13,27,15585
134,4428,12,27,15533
135,4476,13,29,15482
136,4516,13,30,15441
137,4555,16,31,15398
138,4604,12,31,15353
139,4642,17,26,15315
140,4668,17,27,15288
141,4704,17,29,15250
142,4747,20,25,15208
143,4776,22,31,15171
144,4814,27,32,15127
145,4843,26,34,15097
146,4874,23,36,15067
147,4898,22,40,15040
148,4933,21,39,15007
149,4980,23,38,14959
150,5016,22,41,14921
151,5064,23,39,14874
152,5099,29,37,14835
153,5117,29,48,14806
154,5157,34,47,14762
155,5184,35,50,14731
156,5210,36,63,14691
157,5251,39,65,14645
158,5278,36,69,14617
159,5295,38,70,14597
160,5324,43,64,14569
161,5354,47,67,14532
162,5383,44,77,14496
163,5404,53,72,14471
164,5439,45,86,14430
165,5471,54,82,14393
166,5482,63,91,14364
167,5507,63,96,14334
168,5523,67,102,14308
169,5539,75,104,14282
170,5567,73,104,14256
171,5573,73,110,14244
172,5576,91,107,14226
173,5598,94,116,14192
174,5610,88,132,14170
175,5612,96,143,14149
176,5623,102,148,14127
177,5636,96,177,14091
178,5630,112,178,14080
179,5623,137,177,14063
180,5623,135,200,14042
181,5610,148,210,14032
182,5621,145,222,14012
183,5601,154,239,14006
184,5595,154,252,13999
185,5588,163,257,13992
186,5579,172,269,13980
187,5564,184,267,13985
188,5544,189,279,13988
189,5518,196,300,13986
190,5483,207,318,13992
191,5454,217,331,13998
192,5431,215,344,14010
193,5410,220,359,14011
194,5401,207,387,14005
195,5361,241,387,14011
196,5317,235,414,14034
197,5265,255,435,14045
198,5207,276,448,14069
199,5179,270,467,14084
200,5112,300,478,14110
201,5079,294,510,14117
202,5043,287,533,14137
203,4993,311,540,14156
204,4925,337,571,14167
205,4854,361,594,14191
206,4783,380,611,14226
207,4686,403,651,14260
208,4621,400,690,14289
209,4545,405,745,14305
210,4464,423,742,14371
211,4389,436,758,14417
212,4304,438,784,14474
213,4209,440,816,14535
214,4115,459,845,14581
215,4033,464,838,14665
216,3963,470,862,14705
217,3896,453,872,14779
218,3797,467,888,14848
219,3731,443,907,14919
220,3655,444,918,14983
221,3570,440,902,15088
222,3512,439,897,15152
223,3462,426,909,15203
224,3399,416,898,15287
225,3325,422,893,15360
226,3258,401,917,15424
227,3188,397,897,15518
228,3133,379,910,15578
229,3090,373,919,15618
230,3070,366,926,15638
231,3025,383,905,15687
232,2976,391,885,15748
233,2931,395,865,15809
