t,S,E,I,R
0,19980,0,20,0
1,19959,21,19,1
2,19947,27,21,5
3,19924,41,30,5
4,19897,59,32,12
5,19864,72,47,17
6,19832,83,64,21
7,19771,125,75,29
8,19703,163,94,40
9,19629,194,127,50
10,19500,265,161,74
11,19363,333,209,95
12,19189,412,273,126
13,18937,545,351,167
14,18602,720,473,205
15,18211,914,612,263
16,17716,1147,779,358
17,17056,1464,1023,457
18,16335,1810,1272,583
19,15473,2188,1567,772
20,14403,2650,1969,978
21,13214,3106,2424,1256
22,11894,3547,2997,1562
23,10399,4023,3638,1940
24,8925,4376,4245,2454
25,7482,4595,4904,3019
26,6118,4650,5561,3671
27,4836,4584,6198,4382
28,3756,4355,6720,5169
29,2883,4073,6966,6078
30,2224,3631,7208,6937
31,1659,3165,7264,7912
32,1285,2646,7256,8813
33,964,2242,7037,9757
34,765,1819,6732,10684
35,652,1436,6380,11532
36,536,1184,5933,12347
37,466,909,5462,13163
38,437,718,5046,13799
39,403,581,4546,14470
40,397,457,4079,15067
41,382,393,3654,15571
42,381,315,3283,16021
43,388,257,2891,16464
44,426,221,2590,16763
45,440,204,2306,17050
46,460,170,2071,17299
47,477,153,1847,17523
48,510,135,1655,17700
49,540,119,1492,17849
50,575,108,1318,17999
51,604,101,1165,18130
52,645,98,1024,18233
53,672,103,919,18306
54,716,94,820,18370
55,765,86,734,18415
56,807,84,649,18460
57,870,71,577,18482
58,918,64,519,18499
59,960,55,472,18513
60,999,53,426,18522
61,1051,42,387,18520
62,1103,42,336,18519
63,1166,42,309,18483
64,1207,44,280,18469
65,1254,54,255,18437
66,1324,47,232,18397
67,1381,41,215,18363
68,1438,46,196,18320
69,1486,44,182,18288
70,1539,44,164,18253
71,1584,44,149,18223
72,1627,38,145,18190
73,1677,44,130,18149
74,1719,45,117,18119
75,1781,39,116,18064
76,1829,35,113,18023
77,1882,26,110,17982
78,1922,27,100,17951
79,1982,31,93,17894
80,2044,30,87,17839
81,2094,27,82,17797
82,2148,27,71,17754
83,2193,32,68,17707
84,2263,29,60,17648
85,2315,27,57,17601
86,2367,26,55,17552
87,2425,27,53,17495
88,2478,30,46,17446
89,2527,29,45,17399
90,2586,20,50,17344
91,2627,22,45,17306
92,2670,20,46,17264
93,2712,22,43,17223
94,2754,23,43,17180
95,2804,21,38,17137
96,2863,22,34,17081
97,2907,21,37,17035
98,2952,21,28,16999
99,3000,22,31,16947
100,3040,19,34,16907
101,3088,18,38,16856
102,3136,22,40,16802
103,3177,24,40,16759
104,3224,14,46,16716
105,3267,18,42,16673
106,3317,18,42,16623
107,3371,13,45,16571
108,3397,19,43,16541
109,3433,20,45,16502
110,3472,22,46,16460
111,3517,19,50,16414
112,3567,19,49,16365
113,3611,21,46,16322
114,3646,23,48,16283
115,3688,24,44,16244
116,3750,22,41,16187
117,3792,23,41,16144
118,3832,21,44,16103
119,3867,21,49,16063
120,3920,21,44,16015
121,3950,23,41,15986
122,3985,25,46,15944
123,4023,22,48,15907
124,4065,17,51,15867
125,4109,24,46,15821
126,4138,25,41,15796
127,4176,21,48,15755
128,4217,23,46,15714
129,4264,23,45,15668
130,4299,27,46,15628
131,4347,25,43,15585
132,4394,24,45,15537
133,4433,24,42,15501
134,4487,27,35,15451
135,4525,24,41,15410
136,4569,26,35,15370
137,4607,24,37,15332
138,4638,24,35,15303
139,4668,24,36,15272
140,4705,25,39,15231
141,4739,30,42,15189
142,4778,32,43,15147
143,4817,33,43,15107
144,4867,31,41,15061
145,4898,33,45,15024
146,4938,32,45,14985
147,4968,33,44,14955
148,5008,32,49,14911
149,5051,36,48,14865
150,5083,30,53,14834
151,5122,25,51,14802
152,5161,22,53,14764
153,5202,23,44,14731
154,5238,28,44,14690
155,5262,29,43,14666
156,5302,29,41,14628
157,5334,29,43,14594
158,5372,33,44,14551
159,5410,32,48,14510
160,5444,36,54,14466
161,5472,36,51,14441
162,5518,31,59,14392
163,5555,39,55,14351
164,5585,42,61,14312
165,5607,50,62,14281
166,5620,57,70,14253
167,5658,51,80,14211
168,5693,51,88,14168
169,5732,46,91,14131
170,5773,50,86,14091
171,5794,55,82,14069
172,5809,57,85,14049
