t,S,E,I,R
0,19980,0,20,0
1,19964,16,16,4
2,19947,28,19,6
3,19934,33,27,6
4,19910,48,32,10
5,19886,60,42,12
6,19846,86,50,18
7,19814,85,80,21
8,19733,136,102,29
9,19666,171,124,39
10,19578,204,155,63
11,19457,259,205,79
12,19302,330,265,103
13,19083,453,327,137
14,18827,584,413,176
15,18483,747,538,232
16,18013,1024,664,299
17,17492,1266,873,369
18,16816,1582,1115,487
19,16040,1951,1360,649
20,15074,2326,1780,820
21,13900,2809,2230,1061
22,12625,3295,2700,1380
23,11192,3793,3304,1711
24,9746,4226,3885,2143
25,8298,4551,4478,2673
26,6905,4669,5189,3237
27,5585,4637,5889,3889
28,4422,4499,6485,4594
29,3398,4278,6875,5449
30,2570,3915,7157,6358
31,1984,3412,7326,7278
32,1524,2965,7199,8312
33,1205,2469,7090,9236
34,941,2106,6795,10158
35,770,1702,6437,11091
36,615,1406,6020,11959
37,535,1150,5580,12735
38,488,936,5139,13437
39,454,764,4705,14077
40,433,610,4291,14666
41,403,490,3895,15212
42,403,390,3529,15678
43,409,298,3157,16136
44,422,267,2817,16494
45,437,235,2537,16791
46,469,211,2257,17063
47,484,187,1991,17338
48,500,167,1751,17582
49,536,142,1584,17738
50,581,124,1422,17873
51,624,107,1252,18017
52,656,93,1100,18151
53,708,96,959,18237
54,755,96,823,18326
55,798,91,737,18374
56,860,86,649,18405
57,923,76,570,18431
58,986,69,506,18439
59,1034,65,458,18443
60,1098,61,410,18431
61,1147,54,374,18425
62,1197,55,320,18428
63,1257,51,295,18397
64,1306,51,270,18373
65,1347,50,254,18349
66,1398,41,230,18331
67,1460,45,206,18289
68,1511,38,177,18274
69,1564,33,155,18248
70,1619,28,142,18211
71,1689,26,128,18157
72,1757,22,125,18096
73,1809,25,116,18050
74,1856,22,110,18012
75,1924,24,95,17957
76,1968,26,82,17924
77,2022,24,68,17886
78,2090,17,69,17824
79,2153,12,65,17770
80,2227,10,62,17701
81,2281,12,52,17655
82,2348,14,48,17590
83,2396,14,50,17540
84,2458,13,50,17479
85,2505,15,43,17437
86,2541,16,43,17400
87,2593,12,44,17351
88,2648,12,41,17299
89,2708,12,38,17242
90,2760,13,36,17191
91,2806,12,34,17148
92,2859,12,32,17097
93,2893,12,25,17070
94,2934,10,22,17034
95,2979,9,20,16992
96,3028,10,22,16940
97,3081,11,21,16887
98,3130,10,22,16838
99,3176,13,18,16793
100,3217,12,20,16751
101,3271,12,18,16699
102,3321,10,16,16653
103,3349,7,18,16626
104,3393,7,17,16583
105,3436,7,14,16543
106,3490,6,13,16491
107,3527,4,15,16454
108,3568,2,14,16416
109,3607,1,14,16378
110,3648,1,10,16341
111,3685,2,10,16303
112,3734,2,9,16255
113,3779,2,8,16211
114,3822,3,8,16167
115,3862,2,8,16128
116,3910,4,8,16078
117,3949,4,10,16037
118,3998,5,8,15989
119,4050,5,7,15938
120,4090,5,5,15900
121,4133,7,5,15855
122,4165,6,7,15822
123,4206,6,8,15780
124,4243,5,8,15744
125,4290,3,9,15698
126,4336,5,10,15649
127,4380,6,10,15604
128,4423,6,8,15563
129,4470,7,5,15518
130,4513,8,6,15473
131,4563,5,8,15424
132,4606,5,8,15381
133,4654,5,10,15331
134,4693,4,9,15294
135,4742,4,6,15248
136,4780,5,7,15208
137,4823,5,8,15164
138,4864,6,12,15118
139,4908,7,14,15071
140,4954,4,18,15024
141,4991,9,18,14982
142,5017,8,18,14957
143,5041,15,14,14930
144,5080,14,17,14889
145,5110,15,19,14856
146,5140,14,20,14826
147,5178,17,20,14785
148,5215,20,27,14738
149,5248,20,32,14700
150,5283,18,34,14665
151,5312,18,40,14630
152,5332,18,44,14606
153,5378,25,36,14561
154,5412,25,33,14530
155,5446,28,33,14493
156,5477,29,33,14461
157,5517,28,36,14419
158,5545,33,34,14388
159,5574,33,36,14357
160,5599,28,45,14328
161,5632,29,49,14290
162,5670,32,53,14245
163,5696,35,55,14214
164,5736,40,50,14174
165,5759,49,53,14139
166,5795,47,57,14101
167,5820,47,63,14070
168,5853,47,64,14036
169,5870,47,69,14014
170,5893,55,71,13981
171,5929,54,86,13931
172,5958,53,95,13894
173,5959,65,101,13875
174,5967,78,100,13855
175,5981,83,110,13826
176,5995,93,108,13804
177,6003,89,123,13785
178,6014,90,123,13773
179,6031,88,134,13747
180,6024,112,142,13722
181,6031,108,158,13703
182,6030,129,160,13681
183,6031,127,175,13667
184,6020,133,199,13648
185,6018,141,212,13629
186,5997,169,230,13604
187,5985,180,246,13589
188,5970,181,266,13583
189,5939,205,277,13579
190,5917,202,301,13580
191,5903,188,335,13574
192,5868,216,344,13572
193,5831,238,354,13577
194,5794,252,368,13586
195,5749,261,384,13606
196,5706,274,404,13616
197,5644,305,421,13630
198,5579,332,444,13645
199,5530,315,492,13663
200,5477,323,534,13666
201,5430,332,558,13680
202,5344,360,585,13711
203,5262,377,609,13752
204,5182,423,609,13786
205,5112,424,661,13803
206,5017,430,694,13859
207,4927,441,716,13916
208,4872,430,738,13960
209,4796,433,761,14010
210,4722,436,762,14080
211,4607,480,767,14146
212,4520,483,803,14194
213,4427,462,828,14283
214,4327,477,862,14334
215,4233,479,871,14417
216,4114,498,916,14472
217,4039,495,921,14545
218,3942,521,913,14624
219,3876,499,940,14685
220,3771,542,940,14747
221,3668,544,963,14825
222,3586,546,968,14900
223,3501,550,971,14978
