t,S,E,I,R
0,19980,0,20,0
1,19960,20,19,1
2,19943,29,25,3
3,19920,46,25,9
4,19897,57,36,10
5,19849,91,47,13
6,19807,108,68,17
7,19732,145,100,23
8,19634,202,121,43
9,19530,258,154,58
10,19418,312,181,89
11,19262,385,246,107
12,19055,486,323,136
13,18756,641,426,177
14,18407,820,549,224
15,17970,1043,712,275
16,17400,1343,891,366
17,16728,1639,1147,486
18,15936,1986,1431,647
19,14983,2404,1788,825
20,13858,2890,2175,1077
21,12602,3295,2744,1359
22,11179,3766,3318,1737
23,9676,4198,3973,2153
24,8124,4555,4680,2641
25,6675,4722,5365,3238
26,5335,4786,5952,3927
27,4143,4573,6550,4734
28,3262,4091,7058,5589
29,2504,3694,7226,6576
30,1889,3269,7308,7534
31,1443,2831,7249,8477
32,1110,2353,7128,9409
33,859,1982,6789,10370
34,683,1606,6434,11277
35,548,1323,5997,12132
36,477,1077,5543,12903
37,417,877,5137,13569
38,400,706,4675,14219
39,383,575,4190,14852
40,376,463,3823,15338
41,361,379,3450,15810
42,361,309,3083,16247
43,385,245,2749,16621
44,403,196,2450,16951
45,426,158,2162,17254
46,448,132,1899,17521
47,478,115,1678,17729
48,510,105,1485,17900
49,555,96,1322,18027
50,607,89,1177,18127
51,651,82,1041,18226
52,687,81,917,18315
53,727,75,811,18387
54,769,68,715,18448
55,816,78,642,18464
56,870,70,578,18482
57,905,69,526,18500
58,955,65,473,18507
59,1015,67,423,18495
60,1070,57,374,18499
61,1119,61,346,18474
62,1157,54,312,18477
63,1208,48,282,18462
64,1262,33,257,18448
65,1307,33,226,18434
66,1365,33,204,18398
67,1417,31,175,18377
68,1477,34,149,18340
69,1525,39,131,18305
70,1577,39,116,18268
71,1636,26,120,18218
72,1694,29,110,18167
73,1741,25,99,18135
74,1798,22,97,18083
75,1848,21,96,18035
76,1897,21,84,17998
77,1947,30,68,17955
78,2005,28,65,17902
79,2049,29,59,17863
80,2105,24,47,17824
81,2167,21,47,17765
82,2235,16,46,17703
83,2283,16,43,17658
84,2327,14,42,17617
85,2388,14,37,17561
86,2450,13,35,17502
87,2516,12,31,17441
88,2568,9,29,17394
89,2618,10,27,17345
90,2670,8,25,17297
91,2721,7,22,17250
92,2773,8,22,17197
93,2816,6,22,17156
94,2885,4,24,17087
95,2918,8,25,17049
96,2962,8,23,17007
97,3007,8,20,16965
98,3063,8,17,16912
99,3103,10,13,16874
100,3157,9,11,16823
101,3208,8,11,16773
102,3254,7,12,16727
103,3303,7,9,16681
104,3349,4,12,16635
105,3393,3,13,16591
106,3442,3,12,16543
107,3489,4,10,16497
108,3540,4,9,16447
109,3595,5,9,16391
110,3645,4,11,16340
111,3682,7,9,16302
112,3729,5,10,16256
113,3777,3,12,16208
114,3824,2,11,16163
115,3879,5,9,16107
116,3921,7,12,16060
117,3962,6,12,16020
118,4002,7,12,15979
119,4045,3,15,15937
120,4083,4,13,15900
121,4131,4,13,15852
122,4164,6,14,15816
123,4215,5,11,15769
124,4266,6,9,15719
125,4298,5,10,15687
126,4332,5,12,15651
127,4380,8,10,15602
128,4430,8,12,15550
129,4481,10,14,15495
130,4510,11,16,15463
131,4545,7,19,15429
132,4586,6,19,15389
133,4633,6,19,15342
134,4671,7,17,15305
135,4704,13,15,15268
136,4733,12,18,15237
137,4777,12,18,15193
138,4818,11,21,15150
139,4850,11,25,15114
140,4894,11,26,15069
141,4934,12,24,15030
142,4960,18,18,15004
143,4998,14,21,14967
144,5047,12,23,14918
145,5071,18,23,14888
146,5122,18,22,14838
147,5158,17,25,14800
148,5206,17,25,14752
149,5240,18,28,14714
150,5273,19,27,14681
151,5308,20,27,14645
152,5331,21,32,14616
153,5366,22,33,14579
154,5413,21,34,14532
155,5447,21,36,14496
156,5466,26,33,14475
157,5510,29,33,14428
158,5540,33,35,14392
