t,S,E,I,R
0,19980,0,20,0
1,19971,9,20,0
2,19955,23,18,4
3,19940,32,20,8
4,19921,40,29,10
5,19895,59,32,14
6,19865,75,42,18
7,19828,85,63,24
8,19766,124,80,30
9,19705,149,103,43
10,19622,191,128,59
11,19517,250,154,79
12,19363,339,201,97
13,19156,447,270,127
14,18930,549,351,170
15,18617,693,469,221
16,18249,849,611,291
17,17748,1119,763,370
18,17198,1362,983,457
19,16475,1697,1243,585
20,15593,2119,1538,750
21,14599,2540,1907,954
22,13446,2990,2341,1223
23,12098,3474,2885,1543
24,10725,3868,3453,1954
25,9235,4288,4100,2377
26,7675,4593,4837,2895
27,6255,4714,5463,3568
28,5056,4624,6021,4299
29,3905,4462,6560,5073
30,2973,4122,6981,5924
31,2279,3649,7254,6818
32,1764,3151,7312,7773
33,1343,2738,7223,8696
34,1039,2281,6991,9689
35,825,1793,6799,10583
36,671,1478,6410,11441
37,571,1161,6024,12244
38,494,945,5561,13000
39,433,779,5026,13762
40,403,656,4539,14402
41,379,545,4098,14978
42,378,431,3772,15419
43,383,346,3394,15877
44,405,293,3027,16275
45,430,240,2701,16629
46,465,206,2395,16934
47,492,168,2139,17201
48,499,165,1883,17453
49,519,163,1671,17647
50,547,141,1510,17802
51,590,133,1336,17941
52,632,130,1198,18040
53,668,113,1060,18159
54,720,103,951,18226
55,763,89,856,18292
56,815,86,765,18334
57,868,74,691,18367
58,908,82,613,18397
59,970,76,550,18404
60,1007,79,507,18407
61,1063,69,458,18410
62,1105,64,407,18424
63,1137,68,359,18436
64,1190,50,341,18419
65,1244,51,315,18390
66,1294,54,280,18372
67,1341,51,248,18360
68,1390,57,226,18327
69,1437,49,209,18305
70,1488,47,196,18269
71,1542,37,180,18241
72,1597,34,174,18195
73,1650,40,150,18160
74,1699,40,132,18129
75,1739,40,120,18101
76,1792,26,113,18069
77,1850,26,100,18024
78,1916,25,89,17970
79,1975,22,84,17919
80,2043,16,76,17865
81,2094,21,70,17815
82,2139,21,65,17775
83,2190,19,58,17733
84,2241,18,55,17686
85,2319,16,54,17611
86,2383,11,50,17556
