t,S,E,I,R
0,19980,0,20,0
1,19962,18,17,3
2,19942,35,18,5
3,19925,45,25,5
4,19899,57,37,7
5,19872,67,45,16
6,19838,85,55,22
7,19791,108,71,30
8,19716,150,94,40
9,19625,193,132,50
10,19527,236,167,70
11,19393,307,202,98
12,19225,390,259,126
13,19014,503,326,157
14,18751,620,431,198
15,18410,793,548,249
16,17942,1041,690,327
17,17388,1312,889,411
18,16705,1601,1163,531
19,15851,2012,1452,685
20,14869,2429,1813,889
21,13761,2849,2259,1131
22,12455,3344,2736,1465
23,11043,3839,3306,1812
24,9544,4229,3992,2235
25,8009,4551,4635,2805
26,6547,4735,5270,3448
27,5227,4732,5916,4125
28,4139,4508,6424,4929
29,3145,4168,6880,5807
30,2386,3794,7191,6629
31,1864,3229,7336,7571
32,1399,2775,7235,8591
33,1098,2336,7033,9533
34,847,1931,6734,10488
35,665,1583,6388,11364
36,561,1282,6000,12157
37,484,1035,5603,12878
38,431,854,5139,13576
39,394,684,4682,14240
40,394,564,4263,14779
41,397,444,3875,15284
42,394,358,3500,15748
43,401,313,3090,16196
44,418,260,2802,16520
45,441,234,2480,16845
46,448,210,2219,17123
47,484,173,1987,17356
48,515,144,1791,17550
49,540,132,1576,17752
50,572,114,1423,17891
51,615,104,1253,18028
52,640,117,1115,18128
53,698,108,994,18200
54,746,101,885,18268
55,793,102,783,18322
56,828,101,693,18378
57,871,89,609,18431
58,933,80,564,18423
59,986,63,508,18443
60,1046,48,461,18445
61,1098,50,408,18444
62,1171,45,359,18425
63,1217,51,319,18413
64,1261,49,288,18402
65,1322,50,261,18367
66,1385,51,229,18335
67,1440,43,219,18298
68,1506,33,209,18252
69,1559,40,185,18216
70,1613,45,166,18176
71,1662,43,152,18143
72,1722,38,138,18102
73,1794,31,123,18052
74,1852,32,113,18003
75,1901,32,107,17960
76,1953,40,83,17924
77,2002,35,79,17884
78,2054,25,80,17841
79,2108,26,70,17796
80,2146,29,70,17755
81,2193,24,66,17717
82,2244,28,60,17668
83,2290,22,59,17629
84,2338,22,57,17583
85,2398,21,60,17521
86,2449,25,48,17478
87,2496,20,49,17435
88,2570,21,45,17364
89,2625,19,46,17310
90,2683,21,38,17258
91,2731,21,39,17209
92,2791,12,41,17156
93,2837,16,35,17112
94,2878,14,34,17074
95,2934,15,34,17017
96,2997,13,30,16960
97,3041,8,36,16915
98,3082,14,31,16873
99,3124,12,35,16829
100,3156,17,30,16797
101,3212,17,29,16742
102,3257,16,31,16696
103,3304,18,34,16644
104,3358,19,39,16584
105,3409,15,44,16532
106,3451,17,44,16488
107,3497,17,36,16450
108,3536,15,34,16415
109,3589,14,34,16363
110,3633,15,36,16316
111,3692,13,35,16260
112,3728,19,30,16223
113,3775,18,29,16178
114,3820,18,28,16134
115,3859,15,33,16093
116,3892,19,36,16053
117,3940,18,38,16004
118,3991,11,45,15953
119,4038,10,36,15916
120,4091,17,28,15864
121,4147,16,30,15807
122,4189,18,29,15764
123,4216,18,27,15739
124,4248,15,32,15705
125,4276,12,31,15681
126,4313,11,30,15646
127,4347,17,32,15604
128,4378,16,35,15571
129,4405,21,32,15542
130,4455,19,35,15491
