t,S,E,I,R
0,19980,0,20,0
1,19966,14,18,2
2,19951,25,21,3
3,19932,35,28,5
4,19893,62,36,9
5,19861,74,49,16
6,19808,113,59,20
7,19759,132,80,29
8,19701,156,104,39
9,19610,202,136,52
10,19485,261,181,73
11,19333,337,236,94
12,19094,468,319,119
13,18815,600,422,163
14,18474,756,552,218
15,18024,1016,667,293
16,17461,1286,868,385
17,16790,1599,1115,496
18,15949,1996,1404,651
19,15031,2361,1769,839
20,13883,2839,2208,1070
21,12566,3398,2645,1391
22,11119,3873,3276,1732
23,9642,4277,3945,2136
24,8117,4548,4641,2694
25,6688,4645,5342,3325
26,5344,4701,5987,3968
27,4175,4525,6525,4775
28,3245,4162,6996,5597
29,2430,3811,7269,6490
30,1866,3374,7312,7448
31,1421,2875,7254,8450
32,1102,2424,7098,9376
33,894,1997,6802,10307
34,728,1650,6453,11169
35,597,1348,6065,11990
36,502,1094,5659,12745
37,443,900,5177,13480
38,412,743,4745,14100
39,380,616,4271,14733
40,383,469,3917,15231
41,391,378,3528,15703
42,409,307,3163,16121
43,425,258,2811,16506
44,436,230,2508,16826
45,450,213,2227,17110
46,490,185,1975,17350
47,509,155,1776,17560
48,528,135,1597,17740
49,556,121,1420,17903
50,601,116,1234,18049
51,642,109,1079,18170
52,682,98,972,18248
53,737,84,867,18312
54,772,78,769,18381
55,819,78,683,18420
56,876,72,593,18459
57,933,62,544,18461
58,972,61,497,18470
59,1030,54,462,18454
60,1091,49,406,18454
61,1141,48,365,18446
62,1194,40,334,18432
63,1241,42,299,18418
64,1289,37,282,18392
65,1337,40,251,18372
66,1384,44,231,18341
67,1442,39,202,18317
68,1513,40,182,18265
69,1562,46,170,18222
70,1612,40,165,18183
71,1668,40,148,18144
72,1730,34,145,18091
73,1789,36,132,18043
74,1832,36,123,18009
75,1880,32,118,17970
76,1946,23,116,17915
77,1994,23,106,17877
78,2047,24,100,17829
79,2092,24,97,17787
80,2144,21,85,17750
81,2189,29,75,17707
82,2259,22,77,17642
83,2313,23,78,17586
84,2363,25,78,17534
85,2411,32,74,17483
86,2461,27,77,17435
87,2497,32,67,17404
88,2543,28,65,17364
89,2600,20,64,17316
90,2657,18,61,17264
91,2708,17,58,17217
92,2764,17,53,17166
93,2808,19,52,17121
94,2857,22,53,17068
95,2923,21,48,17008
96,2967,18,49,16966
97,3008,16,46,16930
98,3065,21,44,16870
99,3098,16,49,16837
100,3158,16,51,16775
101,3193,19,47,16741
102,3240,25,39,16696
103,3298,21,46,16635
104,3345,19,46,16590
105,3392,22,44,16542
106,3431,19,44,16506
107,3483,14,43,16460
108,3521,16,43,16420
109,3568,21,39,16372
110,3613,18,46,16323
111,3663,16,42,16279
112,3702,16,44,16238
113,3755,19,43,16183
114,3808,22,44,16126
115,3856,23,46,16075
116,3896,24,42,16038
117,3947,24,44,15985
118,3994,25,43,15938
119,4040,22,45,15893
120,4076,25,43,15856
121,4113,26,42,15819
122,4153,21,47,15779
123,4185,22,45,15748
124,4223,21,43,15713
125,4271,24,40,15665
126,4308,25,38,15629
127,4340,26,40,15594
128,4370,25,44,15561
129,4405,18,46,15531
130,4444,22,49,15485
131,4492,26,50,15432
132,4537,25,51,15387
133,4572,28,54,15346
134,4607,24,49,15320
135,4637,25,50,15288
136,4665,29,54,15252
137,4706,29,55,15210
138,4729,28,54,15189
139,4776,27,51,15146
140,4810,28,57,15105
141,4841,36,56,15067
142,4871,39,52,15038
143,4888,44,56,15012
144,4910,47,58,14985
145,4937,41,71,14951
146,4971,34,80,14915
147,5012,39,81,14868
148,5052,37,80,14831
149,5085,43,83,14789
150,5106,46,87,14761
151,5139,38,90,14733
152,5150,48,91,14711
153,5176,50,92,14682
154,5201,59,91,14649
155,5226,63,95,14616
156,5241,61,98,14600
157,5259,69,95,14577
158,5274,71,102,14553
159,5297,71,109,14523
160,5331,68,112,14489
161,5356,63,126,14455
162,5377,71,126,14426
163,5391,82,133,14394
164,5412,91,132,14365
165,5436,87,145,14332
166,5452,89,147,14312
167,5474,90,158,14278
168,5473,91,164,14272
169,5485,90,175,14250
170,5488,101,185,14226
171,5471,115,190,14224
172,5487,122,192,14199
173,5479,141,194,14186
174,5490,145,202,14163
175,5495,151,213,14141
176,5487,157,227,14129
177,5497,157,238,14108
178,5480,169,253,14098
179,5466,181,259,14094
180,5457,189,268,14086
181,5443,193,281,14083
182,5427,200,293,14080
183,5420,201,303,14076
184,5398,201,329,14072
185,5376,214,332,14078
186,5346,213,346,14095
187,5322,231,364,14083
188,5299,246,369,14086
189,5284,228,393,14095
190,5255,236,412,14097
191,5217,248,426,14109
192,5207,249,427,14117
193,5172,256,440,14132
194,5142,276,453,14129
195,5118,273,469,14140
196,5078,286,482,14154
197,5020,306,499,14175
198,4993,318,512,14177
199,4926,334,517,14223
200,4872,346,524,14258
201,4803,374,546,14277
202,4754,369,577,14300
203,4697,366,595,14342
204,4655,346,629,14370
205,4592,369,636,14403
206,4523,386,663,14428
207,4441,408,683,14468
208,4394,407,676,14523
209,4331,408,684,14577
210,4276,406,720,14598
211,4213,397,736,14654
212,4121,403,760,14716
213,4064,399,771,14766
214,3998,414,776,14812
215,3950,411,781,14858
216,3893,417,773,14917
217,3843,414,790,14953
218,3782,423,795,15000
219,3717,423,818,15042
220,3665,420,816,15099
221,3626,405,821,15148
222,3563,409,812,15216
223,3528,406,827,15239
224,3478,411,812,15299
225,3440,389,835,15336
226,3408,375,836,15381
227,3375,360,811,15454
228,3343,360,786,15511
229,3288,388,782,15542
230,3250,374,781,15595
231,3214,369,785,15632
232,3232,346,785,15637
233,3204,370,767,15659
234,3176,354,785,15685
235,3140,369,753,15738
236,3125,360,763,15752
237,3117,339,777,15767
238,3098,322,758,15822
239,3083,328,708,15881
240,3092,296,708,15904
241,3088,296,683,15933
242,3078,300,665,15957
243,3079,304,661,15956
244,3063,316,637,15984
245,3083,304,635,15978
246,3082,309,647,15962
247,3103,297,638,15962
248,3119,274,648,15959
249,3120,252,629,15999
250,3119,260,615,16006
251,3097,267,612,16024
252,3120,256,617,16007
253,3126,253,604,16017
254,3123,268,609,16000
255,3128,277,605,15990
256,3135,268,609,15988
257,3150,283,589,15978
258,3156,280,598,15966
259,3167,274,589,15970
260,3157,266,589,15988
261,3181,251,599,15969
262,3183,269,585,15963
263,3176,262,579,15983
264,3189,249,581,15981
265,3209,248,577,15966
266,3220,252,567,15961
267,3244,246,574,15936
268,3275,239,573,15913
269,3287,243,546,15924
270,3291,248,526,15935
271,3312,231,528,15929
272,3298,233,534,15935
273,3335,218,539,15908
274,3373,216,536,15875
275,3410,208,539,15843
276,3417,234,505,15844
277,3441,226,502,15831
278,3466,217,505,15812
279,3474,235,488,15803
280,3483,248,475,15794
281,3508,238,486,15768
282,3542,232,494,15732
283,3563,220,494,15723
284,3572,224,489,15715
285,3593,230,482,15695
286,3612,233,477,15678
287,3610,247,471,15672
288,3642,248,478,15632
289,3664,251,474,15611
290,3692,245,476,15587
291,3734,215,487,15564
292,3758,218,494,15530
293,3764,232,488,15516
294,3781,233,498,15488
295,3817,219,501,15463
296,3848,244,498,15410
297,3861,240,510,15389
298,3878,246,501,15375
299,3877,270,492,15361
300,3883,261,497,15359
301,3897,265,492,15346
302,3958,262,488,15292
303,3995,262,479,15264
304,4012,274,498,15216
305,4041,277,487,15195
306,4031,294,487,15188
307,4038,284,498,15180
308,4066,274,510,15150
309,4061,270,523,15146
310,4057,271,532,15140
311,4048,299,535,15118
312,4046,293,541,15120
313,4041,304,544,15111
314,4027,318,561,15094
315,4024,310,580,15086
316,4021,323,598,15058
317,3999,333,599,15069
318,4007,320,610,15063
319,4005,306,628,15061
320,3999,334,606,15061
321,3980,340,619,15061
322,3972,327,646,15055
323,3978,337,639,15046
324,3978,329,673,15020
325,3966,331,668,15035
326,3963,345,656,15036
327,3936,357,652,15055
328,3955,355,642,15048
329,3960,356,652,15032
330,3960,377,652,15011
331,3948,355,691,15006
332,3902,380,705,15013
333,3865,390,708,15037
334,3859,374,731,15036
335,3844,393,730,15033
336,3811,409,728,15052
337,3789,403,736,15072
338,3759,403,751,15087
339,3723,401,745,15131
340,3718,388,742,15152
341,3690,381,756,15173
342,3697,357,753,15193
343,3677,371,767,15185
344,3661,365,771,15203
345,3637,361,779,15223
346,3612,379,776,15233
347,3617,380,780,15223
348,3597,379,780,15244
349,3583,367,776,15274
350,3577,366,773,15284
351,3547,371,779,15303
352,3548,380,775,15297
353,3531,371,786,15312
354,3502,392,779,15327
355,3488,385,770,15357
356,3492,369,777,15362
357,3496,386,766,15352
358,3510,360,781,15349
359,3477,380,777,15366
360,3473,357,772,15398
361,3476,357,749,15418
362,3447,361,740,15452
363,3463,342,749,15446
364,3446,352,734,15468
365,3449,348,719,15484
366,3467,359,703,15471
367,3477,337,715,15471
368,3485,325,711,15479
369,3488,328,719,15465
370,3488,326,713,15473
371,3519,315,718,15448
372,3535,320,710,15435
373,3516,337,687,15460
374,3501,359,674,15466
375,3522,339,685,15454
376,3528,340,690,15442
377,3551,343,694,15412
378,3576,335,681,15408
379,3575,356,674,15395
380,3596,333,679,15392
381,3615,317,694,15374
382,3620,328,701,15351
383,3632,334,699,15335
384,3616,359,673,15352
385,3607,361,672,15360
386,3599,351,683,15367
387,3600,315,697,15388
388,3580,353,689,15378
389,3580,351,701,15368
390,3590,335,705,15370
391,3592,327,706,15375
392,3584,346,694,15376
393,3593,352,685,15370
394,3592,344,699,15365
395,3594,349,704,15353
396,3625,342,706,15327
397,3655,324,735,15286
398,3677,320,728,15275
399,3647,333,720,15300
400,3639,331,709,15321
401,3633,338,682,15347
402,3630,314,666,15390
403,3652,305,670,15373
404,3671,293,675,15361
405,3676,310,652,15362
406,3694,308,628,15370
407,3696,322,613,15369
408,3707,325,619,15349
409,3726,314,637,15323
410,3731,322,644,15303
411,3730,317,639,15314
