t,S,E,I,R
0,19980,0,20,0
1,19965,15,18,2
2,19945,32,19,4
3,19923,46,27,4
4,19900,55,35,10
5,19872,65,48,15
6,19836,84,61,19
7,19780,114,80,26
8,19693,167,100,40
9,19601,211,138,50
10,19477,278,180,65
11,19324,348,246,82
12,19128,448,314,110
13,18847,601,392,160
14,18531,761,498,210
15,18093,999,631,277
16,17579,1206,851,364
17,16971,1480,1063,486
18,16181,1858,1351,610
19,15231,2308,1695,766
20,14137,2768,2107,988
21,12881,3271,2599,1249
22,11471,3723,3215,1591
23,9969,4191,3827,2013
24,8435,4474,4563,2528
25,6965,4714,5230,3091
26,5594,4742,5927,3737
27,4404,4636,6456,4504
28,3372,4368,6910,5350
29,2535,4027,7157,6281
30,1924,3479,7364,7233
31,1467,2961,7360,8212
32,1132,2469,7205,9194
33,874,2001,7005,10120
34,700,1651,6583,11066
35,563,1395,6109,11933
36,484,1105,5699,12712
37,444,888,5203,13465
38,401,717,4732,14150
39,387,575,4313,14725
40,388,475,3906,15231
41,385,377,3512,15726
42,380,315,3156,16149
43,393,244,2842,16521
44,402,215,2507,16876
45,427,181,2240,17152
46,457,148,2003,17392
47,489,134,1738,17639
48,524,122,1545,17809
49,552,129,1338,17981
50,605,114,1190,18091
51,655,95,1057,18193
52,692,90,927,18291
53,737,85,825,18353
54,783,79,742,18396
55,853,76,674,18397
56,890,76,599,18435
57,933,80,532,18455
58,991,69,493,18447
59,1022,58,445,18475
60,1067,57,386,18490
61,1125,64,343,18468
62,1193,63,311,18433
63,1254,61,278,18407
64,1305,50,255,18390
65,1348,48,231,18373
66,1400,48,211,18341
67,1440,50,185,18325
68,1487,43,172,18298
69,1532,44,157,18267
70,1586,39,144,18231
71,1637,40,138,18185
72,1719,31,123,18127
73,1770,33,103,18094
74,1825,37,93,18045
75,1878,32,89,18001
76,1921,25,93,17961
77,1963,21,86,17930
78,2027,16,86,17871
79,2067,19,64,17850
80,2133,17,60,17790
81,2180,23,54,17743
82,2225,25,54,17696
83,2279,19,53,17649
84,2332,16,52,17600
85,2392,12,50,17546
86,2433,12,50,17505
87,2488,11,40,17461
88,2537,14,34,17415
89,2585,18,28,17369
90,2633,18,28,17321
91,2683,19,24,17274
92,2736,18,23,17223
93,2803,18,22,17157
94,2847,21,24,17108
95,2893,15,30,17062
96,2950,14,32,17004
97,3001,13,27,16959
98,3043,13,28,16916
99,3091,12,33,16864
100,3144,8,31,16817
101,3203,11,25,16761
102,3254,13,23,16710
103,3289,12,24,16675
104,3336,14,25,16625
105,3381,14,24,16581
106,3433,14,24,16529
107,3485,12,24,16479
108,3531,11,22,16436
109,3587,8,25,16380
110,3631,9,27,16333
111,3678,8,30,16284
112,3721,13,26,16240
113,3757,18,23,16202
114,3806,19,24,16151
115,3851,19,28,16102
116,3887,13,33,16067
117,3920,13,31,16036
118,3945,13,35,16007
119,3988,15,31,15966
120,4041,12,31,15916
121,4077,9,31,15883
122,4123,14,27,15836
123,4155,16,26,15803
124,4194,13,31,15762
125,4241,11,31,15717
126,4277,13,30,15680
127,4325,13,32,15630
128,4367,18,29,15586
129,4408,19,27,15546
130,4443,18,30,15509
131,4479,20,30,15471
132,4520,24,29,15427
133,4562,15,37,15386
134,4603,12,39,15346
135,4640,18,35,15307
136,4668,21,32,15279
137,4710,19,34,15237
138,4748,20,30,15202
139,4792,21,26,15161
140,4825,12,35,15128
141,4863,17,35,15085
142,4896,17,37,15050
143,4931,18,38,15013
144,4970,19,39,14972
145,5010,20,41,14929
146,5046,24,40,14890
147,5093,23,35,14849
148,5125,24,36,14815
149,5151,25,41,14783
150,5192,24,43,14741
151,5215,34,42,14709
152,5241,38,40,14681
153,5274,40,40,14646
154,5303,37,49,14611
155,5339,25,60,14576
156,5361,25,64,14550
157,5380,32,67,14521
158,5415,35,62,14488
159,5435,43,64,14458
160,5464,40,61,14435
161,5492,49,58,14401
162,5516,54,60,14370
163,5550,49,72,14329
164,5566,55,65,14314
165,5601,40,76,14283
166,5637,42,83,14238
167,5670,43,82,14205
168,5685,51,84,14180
169,5700,62,91,14147
170,5719,66,101,14114
171,5747,76,101,14076
172,5767,69,121,14043
173,5797,70,128,14005
174,5811,78,139,13972
175,5838,77,135,13950
176,5834,99,129,13938
177,5831,96,152,13921
