t,S,E,I,R
0,19980,0,20,0
1,19973,7,18,2
2,19956,21,20,3
3,19943,27,25,5
4,19917,45,32,6
5,19890,63,34,13
6,19846,88,44,22
7,19808,105,59,28
8,19753,132,76,39
9,19695,151,102,52
10,19607,201,130,62
11,19506,250,161,83
12,19369,306,221,104
13,19167,424,284,125
14,18932,547,360,161
15,18647,683,469,201
16,18273,844,611,272
17,17791,1094,752,363
18,17200,1359,979,462
19,16506,1675,1237,582
20,15668,2015,1569,748
21,14623,2478,1934,965
22,13400,3020,2341,1239
23,12142,3396,2922,1540
24,10716,3809,3575,1900
25,9194,4279,4170,2357
26,7729,4574,4753,2944
27,6355,4672,5435,3538
28,5038,4680,6041,4241
29,3930,4483,6532,5055
30,3047,4156,6898,5899
31,2338,3717,7071,6874
32,1767,3245,7177,7811
33,1366,2757,7071,8806
34,1046,2336,6880,9738
35,809,1919,6606,10666
36,672,1578,6224,11526
37,540,1281,5874,12305
38,481,1002,5441,13076
39,430,783,5022,13765
40,381,667,4557,14395
41,364,555,4112,14969
42,371,443,3705,15481
43,375,364,3334,15927
44,393,303,2974,16330
45,404,259,2649,16688
46,415,218,2339,17028
47,445,178,2061,17316
48,477,155,1831,17537
49,520,134,1615,17731
50,552,119,1428,17901
51,568,127,1262,18043
52,597,132,1102,18169
53,624,115,987,18274
54,669,85,886,18360
55,717,82,772,18429
56,773,79,687,18461
57,819,72,618,18491
58,897,56,563,18484
59,942,50,500,18508
60,990,45,455,18510
61,1048,53,396,18503
62,1091,56,362,18491
63,1140,51,333,18476
64,1188,49,303,18460
65,1243,38,290,18429
66,1292,40,254,18414
67,1357,45,232,18366
68,1401,50,207,18342
69,1442,43,193,18322
70,1495,45,173,18287
71,1551,39,159,18251
72,1589,42,142,18227
73,1641,38,124,18197
74,1698,29,120,18153
75,1760,30,108,18102
76,1816,31,98,18055
77,1864,31,90,18015
78,1918,30,80,17972
79,1981,31,78,17910
80,2040,26,75,17859
81,2077,29,67,17827
82,2131,26,60,17783
83,2188,27,54,17731
84,2241,27,52,17680
85,2303,20,54,17623
86,2361,20,54,17565
87,2406,23,50,17521
88,2450,13,51,17486
89,2507,16,45,17432
90,2556,15,47,17382
91,2608,12,44,17336
92,2659,13,40,17288
93,2719,15,35,17231
94,2769,13,33,17185
95,2806,8,36,17150
96,2857,14,36,17093
97,2915,12,38,17035
98,2971,11,38,16980
99,3019,13,36,16932
100,3068,12,32,16888
101,3115,12,27,16846
102,3166,14,26,16794
103,3209,11,32,16748
104,3259,14,31,16696
105,3312,11,32,16645
106,3351,16,27,16606
107,3384,15,31,16570
108,3434,18,25,16523
109,3483,17,26,16474
110,3531,17,30,16422
111,3572,19,33,16376
112,3604,19,32,16345
113,3650,21,32,16297
114,3691,18,31,16260
115,3727,16,32,16225
116,3775,14,32,16179
117,3809,17,33,16141
118,3862,15,31,16092
119,3912,13,29,16046
120,3949,10,31,16010
121,3991,10,30,15969
122,4027,12,28,15933
123,4071,12,27,15890
124,4111,15,24,15850
125,4173,16,27,15784
126,4210,11,27,15752
127,4251,10,27,15712
128,4305,14,26,15655
129,4337,16,28,15619
130,4377,15,29,15579
131,4414,16,30,15540
132,4454,23,30,15493
133,4481,27,33,15459
134,4528,21,35,15416
135,4559,24,34,15383
136,4612,18,43,15327
137,4654,21,42,15283
138,4689,16,43,15252
139,4713,25,43,15219
140,4750,28,45,15177
141,4782,30,51,15137
142,4814,29,51,15106
143,4850,25,53,15072
144,4882,28,56,15034
145,4913,29,55,15003
146,4952,27,48,14973
147,4991,30,50,14929
148,5018,30,55,14897
149,5037,33,54,14876
150,5067,38,53,14842
151,5111,38,54,14797
152,5148,40,56,14756
153,5178,48,58,14716
154,5206,55,59,14680
155,5236,50,63,14651
156,5259,48,71,14622
157,5289,51,71,14589
158,5325,47,77,14551
159,5352,49,82,14517
160,5378,57,76,14489
161,5398,55,83,14464
162,5428,48,90,14434
163,5450,49,88,14413
164,5473,54,89,14384
165,5492,48,99,14361
166,5512,62,94,14332
167,5546,67,102,14285
168,5558,81,109,14252
169,5580,84,117,14219
170,5602,83,118,14197
171,5620,80,126,14174
172,5626,79,133,14162
173,5650,90,138,14122
174,5669,97,136,14098
175,5677,100,148,14075
176,5686,106,152,14056
177,5697,99,158,14046
178,5696,106,168,14030
179,5689,120,172,14019
180,5697,121,183,13999
181,5698,125,198,13979
182,5686,139,201,13974
183,5694,134,212,13960
184,5682,138,224,13956
185,5676,157,224,13943
186,5671,156,241,13932
187,5664,174,240,13922
188,5640,181,240,13939
189,5624,195,250,13931
190,5611,197,276,13916
191,5599,203,288,13910
192,5570,219,295,13916
193,5528,250,317,13905
194,5505,239,355,13901
195,5452,269,359,13920
196,5428,267,386,13919
197,5395,277,405,13923
198,5338,284,448,13930
199,5282,301,446,13971
200,5212,314,468,14006
201,5180,316,480,14024
202,5133,292,509,14066
203,5091,302,514,14093
204,5036,338,530,14096
205,4976,335,553,14136
206,4916,351,579,14154
207,4831,371,597,14201
208,4770,373,617,14240
209,4710,356,661,14273
210,4668,341,681,14310
211,4592,365,680,14363
212,4518,383,681,14418
213,4460,380,721,14439
214,4391,392,742,14475
215,4303,408,752,14537
216,4246,405,768,14581
217,4179,422,772,14627
218,4092,440,788,14680
219,4040,429,823,14708
220,3977,439,835,14749
221,3910,438,852,14800
222,3854,423,835,14888
223,3778,426,859,14937
224,3722,445,861,14972
225,3668,453,867,15012
226,3602,452,869,15077
227,3567,448,851,15134
228,3520,454,877,15149
229,3468,451,872,15209
230,3408,449,872,15271
231,3334,454,873,15339
232,3271,448,898,15383
233,3215,443,899,15443
234,3160,436,916,15488
235,3124,411,909,15556
236,3088,390,921,15601
237,3050,405,903,15642
238,3019,397,876,15708
239,2989,370,867,15774
240,2977,360,832,15831
241,2936,358,813,15893
242,2905,361,787,15947
243,2905,349,764,15982
244,2915,315,755,16015
245,2903,311,729,16057
246,2890,300,718,16092
247,2883,302,711,16104
248,2900,295,704,16101
249,2898,294,670,16138
250,2888,288,655,16169
251,2876,299,660,16165
252,2877,304,639,16180
253,2891,283,639,16187
254,2900,283,629,16188
255,2925,274,621,16180
256,2936,255,636,16173
257,2925,261,635,16179
258,2940,259,625,16176
259,2960,248,618,16174
260,2970,257,588,16185
261,2978,255,580,16187
262,2992,252,566,16190
263,2997,249,560,16194
264,3007,258,553,16182
265,3010,247,557,16186
266,3024,240,547,16189
267,3053,224,534,16189
268,3085,221,530,16164
269,3099,232,522,16147
270,3120,225,510,16145
271,3149,217,511,16123
272,3182,218,490,16110
273,3213,219,481,16087
274,3244,210,476,16070
275,3261,200,476,16063
276,3285,209,467,16039
277,3321,211,462,16006
278,3356,203,446,15995
279,3384,200,446,15970
280,3421,192,444,15943
281,3465,187,429,15919
282,3526,176,415,15883
283,3569,174,411,15846
284,3598,178,404,15820
285,3625,179,396,15800
286,3655,186,387,15772
287,3693,186,398,15723
288,3713,204,393,15690
289,3741,189,406,15664
290,3762,195,397,15646
291,3800,204,407,15589
292,3841,193,414,15552
293,3871,193,414,15522
294,3871,205,408,15516
295,3901,207,401,15491
296,3930,202,413,15455
297,3947,212,421,15420
298,3965,215,429,15391
299,3989,216,435,15360
300,3989,220,450,15341
301,3988,235,452,15325
302,4038,220,464,15278
303,4064,235,450,15251
304,4088,245,466,15201
305,4114,233,468,15185
306,4138,233,463,15166
307,4158,243,460,15139
308,4190,249,473,15088
309,4198,256,486,15060
310,4193,267,480,15060
311,4194,279,487,15040
312,4201,283,481,15035
313,4218,281,489,15012
314,4216,293,509,14982
315,4201,299,514,14986
316,4188,312,516,14984
317,4202,291,543,14964
318,4205,303,531,14961
319,4206,306,537,14951
320,4207,309,534,14950
321,4202,303,547,14948
322,4203,304,573,14920
323,4172,322,584,14922
324,4196,306,589,14909
325,4182,331,572,14915
326,4181,333,582,14904
327,4188,326,597,14889
328,4163,354,593,14890
329,4181,337,606,14876
330,4169,345,619,14867
331,4167,362,616,14855
332,4167,358,620,14855
